id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,armazem-du-chefe,Armazém Du Chefe,"Rua Rodolfo Chermont, 1493 - Marambaia",Marambaia,Belém,belem,2026,-1.3962057,-48.4540177,91984473586,Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 2h | Sábado: 11h – 2h | Domingo: 11h – 0h,armazem-du-chefe_bolinho-de-cupim-com-tuile-de-jambu.jpg,"[{""nome"":""Bolinho de cupim com tuile de jambu"",""descricao"":""Bolinho de cupim com tuile de jambu, acompanha maionese de chicória e mostarda."",""foto"":""armazem-du-chefe_bolinho-de-cupim-com-tuile-de-jambu.jpg""}]",https://comidadibuteco.com.br/buteco/armazem-du-chefe/
2,barao-bistro,Barão Bistro,"Av. Marquês de Herval, 1405",Pedreira,Belém,belem,2026,-1.4285628,-48.4689117,91981171330,Terça-feira: 18h – 23h30 | Quarta-feira: 18h – 23h30 | Quinta-feira: 18h – 23h30 | Sexta-feira: 12h – 23h30 | Sábado: 12h – 23h30 | Domingo: 18h – 23h30,barao-bistro_farofa-amazonica.jpg,"[{""nome"":""Farofa Amazônica"",""descricao"":""Farofa de pirarucu com cheiro-verde e banana-da-terra frita, acompanhada de molho lambão à paraense, homus de feijão-branco e cebola caramelizada com missô."",""foto"":""barao-bistro_farofa-amazonica.jpg""}]",https://comidadibuteco.com.br/buteco/barao-bistro/
3,boteco-do-bacu,Boteco do Bacú,"Rua Triunvirato, 303",Cidade Velha,Belém,belem,2026,-1.4629003,-48.5007188,91988474887,Segunda-feira: 11h – 15h e 18h – 0h | Terça-feira: 11h – 15h e 18h – 0h | Quarta-feira: 11h – 15h e 18h – 0h | Quinta-feira: 11h – 15h e 18h – 0h | Sexta-feira: 11h – 15h e 18h – 0h | Sábado: 11h – 0h | Domingo: 11h – 16h,boteco-do-bacu_bolinho-da-tia-jo.jpg,"[{""nome"":""Bolinho da tia Jô"",""descricao"":""Bolinhos de pirarucu recheados de queijo muçarela, acompanhados de molho de redução de tucupi à moda da casa."",""foto"":""boteco-do-bacu_bolinho-da-tia-jo.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-do-bacu/
4,24713-revision-v1,Caldos & Cia Bar e Restaurante,"Avenida Marquês de Herval, 1364",Pedreira,Belém,belem,2026,-1.4286147,-48.4684215,91986147765,Segunda-feira: 11h30 – 15h e 18h – 0h | Terça-feira: 11h30 – 15h e 18h – 0h | Quarta-feira: 11h30 – 15h e 18h – 0h | Quinta-feira: 11h30 – 15h e 18h – 0h | Sexta-feira: 11h30 – 2h | Sábado: 11h30 – 2h | Domingo: 11h30 – 0h,caldos-cia-bar-e-restaurante_egua-do-sertao.jpg,"[{""nome"":""Égua do sertão"",""descricao"":""Carne de sol mergulhada num creme de nata temperado com alho, cebola e alho-poró e temperos da casa, acompanhada de uma torrada com manteiga e ervas."",""foto"":""caldos-cia-bar-e-restaurante_egua-do-sertao.jpg""}]",https://comidadibuteco.com.br/buteco/24713-revision-v1/
5,cervejaria-uriboca,Cervejaria Uriboca,"R. Bernal do Couto, 579",Umarizal,Belém,belem,2026,-1.4412902,-48.485163,91984447796,Terça-feira: 18h – 0h | Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 1h | Sábado: 18h – 1h,cervejaria-uriboca_bao-to-no-tucupi.jpg,"[{""nome"":""Bao-to no tucupi"",""descricao"":""Pão de jambu cozido no vapor com recheio de pato desfiado e maionese de tucupi e chicória do Pará."",""foto"":""cervejaria-uriboca_bao-to-no-tucupi.jpg""}]",https://comidadibuteco.com.br/buteco/cervejaria-uriboca/
6,clube-do-espeto-grill,Clube do Espeto Grill,"Av. Duque de Caxias, 987",Marco,Belém,belem,2026,-1.4321009,-48.4636183,(91) 92002-9181 | (91) 3352-3970,Segunda-feira: 18h30 – 23h | Terça-feira: 18h30 – 23h | Quarta-feira: 18h30 – 23h | Quinta-feira: 18h30 – 23h | Sexta-feira: 18h30 – 23h | Sábado: 11h30 – 15h e 18h30 – 23h | Domingo: 11h30 – 15h,clube-do-espeto-grill_bendito-cupim.jpg,"[{""nome"":""Bendito cupim"",""descricao"":""Bolinhos de cupim com requeijão e alho-poró, servidos com geleia de cupuaçu e pimenta-rosa."",""foto"":""clube-do-espeto-grill_bendito-cupim.jpg""}]",https://comidadibuteco.com.br/buteco/clube-do-espeto-grill/
7,confraria-do-fraga,Confraria do Fraga,"R. Veiga Cabral, 439",Cidade Velha,Belém,belem,2026,-1.4645389,-48.5000684,91986277871,Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 18h – 0h,confraria-do-fraga_carimbo-sirimbo-siria-no-tucupi-do-tacaca.jpg,"[{""nome"":""Carimbó, sirimbó, siriá no tucupi do tacacá"",""descricao"":""Bolinhos de maniçoba de pato e pernil de porco, refogados na cachaça de jambu e tucupi, com recheio de camarão regional, muçarela, cheiro-verde, jambu, alho, cebola, chicória e empanados na farinha bragantina com alfavaca e panko."",""foto"":""confraria-do-fraga_carimbo-sirimbo-siria-no-tucupi-do-tacaca.jpg""}]",https://comidadibuteco.com.br/buteco/confraria-do-fraga/
8,eguatche,Eguatchê,"Avenida Santarém, 670",Marambaia,Belém,belem,2026,-1.3954958,-48.4577349,(91) 98151-4471 | (91) 98193-0211,Segunda-feira: 19h – 23h | Terça-feira: 19h – 23h | Quarta-feira: 19h – 23h | Quinta-feira: 19h – 0h | Sexta-feira: 19h – 0h | Sábado: 19h – 0h | Domingo: 11h – 15h,eguatche_amoela.jpg,"[{""nome"":""Amoela"",""descricao"":""Moela envolvida por lâminas de bacon intercaladas com cubos de queijo coalho coberto com uma camada crocante. Servida com molho de couve-flor e rúcula levemente picante, sobre uma camada de farofa de tapioca."",""foto"":""eguatche_amoela.jpg""}]",https://comidadibuteco.com.br/buteco/eguatche/
9,espetinho-do-fabricio,Espetinho do Fabrício,"Trav. Cristóvão Colombo, 1439",Cruzeiro (Icoaraci),Belém,belem,2026,-1.2985908,-48.4886559,91983866367,Segunda-feira: 19h – 2h | Quarta-feira: 19h – 2h | Quinta-feira: 19h – 2h | Sexta-feira: 19h – 2h | Sábado: 19h – 2h | Domingo: 19h – 2h,espetinho-do-fabricio_enroladinho-de-costela-bovina-no-bafo.png,"[{""nome"":""Enroladinho de costela bovina no bafo"",""descricao"":""Enroladinho com massa de pão recheada com purê de batata e costela bovina, ao molho de vinagrete picante."",""foto"":""espetinho-do-fabricio_enroladinho-de-costela-bovina-no-bafo.png""}]",https://comidadibuteco.com.br/buteco/espetinho-do-fabricio/
10,flor-do-grao-para,Flor do Grão Pará,"Travessa Nove de Janeiro, 2233",Cremação,Belém,belem,2026,-1.4614797,-48.4753118,91988398989,Segunda-feira: 11h – 0h | Terça-feira: 11h – 0h | Quarta-feira: 11h – 0h | Quinta-feira: 11h – 0h | Sexta-feira: 11h – 0h | Sábado: 11h – 0h | Domingo: 11h – 0h,flor-do-grao-para_cestinho-de-marinada.jpg,"[{""nome"":""Cestinho de marinada"",""descricao"":""Marinada de legumes e verduras."",""foto"":""flor-do-grao-para_cestinho-de-marinada.jpg""}]",https://comidadibuteco.com.br/buteco/flor-do-grao-para/
