id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,alek-bar,Alek Bar,"R. Henrique Dias, 32",Velha,Blumenau,blumenau,2026,-26.9146956,-49.0910191,47992057895,Segunda-feira: 17h – 23h | Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 11h – 23h,alek-bar_pate-do-popeye.jpg,"[{""nome"":""Patê do Popeye"",""descricao"":""Patê de bacon defumado com espinafre, finalizado com tomates confitados. Acompanha pães rústicos de cerveja regados no azeite de oliva."",""foto"":""alek-bar_pate-do-popeye.jpg""}]",https://comidadibuteco.com.br/buteco/alek-bar/
2,bistro-pai-degua,Bistrô Pai D’Égua,"R. General Osório, 3730",Água Verde,Blumenau,blumenau,2026,-26.9070617,-49.1295085,47992821965,Quarta-feira: 18h30 – 23h | Quinta-feira: 18h30 – 23h | Sexta-feira: 18h30 – 23h | Sábado: 12h – 0h | Domingo: 12h – 0h,bistro-pai-d-egua_bolinho-de-tacaca.jpg,"[{""nome"":""Bolinho de Tacacá"",""descricao"":""Bolinhos de tacacá feitos com massa de macaxeira. Acompanha: maionese de jambu e molho de pimenta de tucupi."",""foto"":""bistro-pai-d-egua_bolinho-de-tacaca.jpg""}]",https://comidadibuteco.com.br/buteco/bistro-pai-degua/
3,boteco-do-jonathan-ferrari,Boteco do Jonathan Ferrari,"R. São Bernardo, 75",Itoupava Norte,Blumenau,blumenau,2026,-26.8936695,-49.0674787,47997048923,Segunda-feira: 6h30 – 20h | Terça-feira: 6h30 – 20h | Quarta-feira: 6h30 – 20h | Quinta-feira: 6h30 – 22h | Sexta-feira: 6h30 – 22h,boteco-do-jonathan-ferrari_vaca-louca.jpg,"[{""nome"":""Vaca Louca"",""descricao"":""Carne chapeada com cebola. Acompanha: legumes salteados e batatas rústicas."",""foto"":""boteco-do-jonathan-ferrari_vaca-louca.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-do-jonathan-ferrari/
4,campeiraco-assados-e-espetinhos,Campeiraço Assados e Espetinhos,"R. Werner Duwe, 667",Badenfurt,Blumenau,blumenau,2026,-26.8713812,-49.1421023,47992079562,Segunda-feira: 18h – 2h | Terça-feira: 18h – 2h | Quarta-feira: 18h – 2h | Quinta-feira: 18h – 2h | Sexta-feira: 18h – 2h | Sábado: 18h – 2h | Domingo: 18:00 às 02:00,campeiraco-assados-e-espetinhos_popeye-campeiro.jpg,"[{""nome"":""Popeye Campeiro"",""descricao"":""Massa de crepioca com um toque de rúcula, recheada com costela assada na brasa e coberta com queijo. Acompanha polenta frita e molho da casa."",""foto"":""campeiraco-assados-e-espetinhos_popeye-campeiro.jpg""}]",https://comidadibuteco.com.br/buteco/campeiraco-assados-e-espetinhos/
5,casa-portella,Casa Portella,"R. Frederico Jensen, 1360 - Casa",Itoupavazinha,Blumenau,blumenau,2026,-26.8539316,-49.1302194,47992406667,Terça-feira: 10h – 13h30 e 18h – 0h | Quarta-feira: 10h – 13h30 e 18h – 0h | Quinta-feira: 10h – 13h30 e 18h – 0h | Sexta-feira: 10h – 13h e 18h – 0h | Sábado: 10h – 14h e 18h – 0h | Domingo: 18h – 23h45,casa-portella_alcatra-do-portella.jpg,"[{""nome"":""Alcatra do Portella"",""descricao"":""Alcatra ao molho de chopp. Acompanha pão caseiro, brócolis refogado e"",""foto"":""casa-portella_alcatra-do-portella.jpg""}]",https://comidadibuteco.com.br/buteco/casa-portella/
6,dark-sport-bar,Dark Sport Bar,"R. Fritz Spernau, 511",Fortaleza,Blumenau,blumenau,2026,-26.885872,-49.0628642,4797864931,Segunda-feira: 18h – 23h | Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h,dark-sport-bar_entrevarios.jpg,"[{""nome"":""Entrevários"",""descricao"":"""",""foto"":""dark-sport-bar_entrevarios.jpg""}]",https://comidadibuteco.com.br/buteco/dark-sport-bar/
7,duvidoso-bar,Duvidoso Bar,"Rua Almirante Tamandaré, 488",Vila Nova,Blumenau,blumenau,2026,-26.9114138,-49.0858864,47999184762,Terça-feira: 20h – 1h | Quarta-feira: 20h – 1h | Quinta-feira: 20h – 1h | Sexta-feira: 20h – 2h | Sábado: 20h – 2h,duvidoso-bar_kafta-duvidosa.jpg,"[{""nome"":""Kafta duvidosa"",""descricao"":""Kafta de espinafre com aioli de espinafre com hortelã."",""foto"":""duvidoso-bar_kafta-duvidosa.jpg""}]",https://comidadibuteco.com.br/buteco/duvidoso-bar/
8,emporio-do-pastel,Empório do Pastel,"R. Progresso, 2178",Progresso,Blumenau,blumenau,2026,-26.9691888,-49.0728159,47988130860,Terça-feira: 11h – 0h | Quarta-feira: 11h – 0h | Quinta-feira: 11h – 0h | Sexta-feira: 11h – 0h | Sábado: 11h – 0h | Domingo: 16h – 23h,emporio-do-pastel_entre-brocolis-e-goiabada.jpg,"[{""nome"":""Entre brócolis e goiabada."",""descricao"":""3 pastéis: carne de panela, alho-poró e queijo; frango, erva-doce e palmito; queijo com goiabada. 3 bolinhos de brócolis recheados com: linguiça, queijo e bacon. Acompanham: vinagrete, molho verde e molho de mostarda e mel."",""foto"":""emporio-do-pastel_entre-brocolis-e-goiabada.jpg""}]",https://comidadibuteco.com.br/buteco/emporio-do-pastel/
9,espetinho-ce-ta-doido,Espetinho Cê Tá Doido,"R. José Reuter, 914",Velha Central,Blumenau,blumenau,2026,-26.9334164,-49.1339687,47 997805298,Segunda-feira: 15h – 22h30 | Terça-feira: 15h – 22h30 | Quarta-feira: 15h – 22h30 | Quinta-feira: 15h – 22h30 | Sexta-feira: 15h – 22h30 | Sábado: 15h – 22h30,espetinho-ce-ta-doido_combo-da-alegria.jpg,"[{""nome"":""Combo da Alegria"",""descricao"":""Farofa recheada de couve. Acompanham espetinhos: bovinos com bacon, bovino com queijo e misto (bovino, frango e calabresa)."",""foto"":""espetinho-ce-ta-doido_combo-da-alegria.jpg""}]",https://comidadibuteco.com.br/buteco/espetinho-ce-ta-doido/
10,jacos-bar,Jacó’s Bar,"R. Lucie Herkenhoff, 48",Velha Central,Blumenau,blumenau,2026,,,47991632129,Quarta-feira: 11h – 14h e 16h – 23h30 | Quinta-feira: 11h – 14h e 16h – 23h30 | Sexta-feira: 11h – 14h e 16h – 23h30 | Sábado: 11h – 14h e 16h – 23h30 | Domingo: 11h – 14h,jaco-s-bar_a-vaca-foi-pro-queijo.jpg,"[{""nome"":""A Vaca foi pro Queijo"",""descricao"":""Pedaços de alcatra refogados com alho-poró, acompanhados de cubos de queijo coalho grelhados, batatas fritas crocantes e molho de espinafre cremoso."",""foto"":""jaco-s-bar_a-vaca-foi-pro-queijo.jpg""}]",https://comidadibuteco.com.br/buteco/jacos-bar/
11,lanches-ponto-certo,Lanches Ponto Certo,"R. Júlio Michel, 136",Fortaleza,Blumenau,blumenau,2026,-26.8796911,-49.0662803,4732884339,Terça-feira: 11h – 13h30 e 18h – 0h | Quarta-feira: 11h – 13h30 e 18h – 0h | Quinta-feira: 11h – 13h30 e 18h – 0h | Sexta-feira: 11h – 13h30 e 18h – 0h | Sábado: 11h – 13h30 e 18h – 0h | Domingo: 18h – 23h30,lanches-ponto-certo_trio-da-resenha.jpg,"[{""nome"":""Trio da Resenha"",""descricao"":""3 minibúrgueres: carne de panela e alho-poró crispy; hambúrguer tradicional com rúcula e tomate confit; hambúrguer de acém à milanesa com cebola caramelizada. Acompanham: molhos agridoce e molho verde com couve-flor."",""foto"":""lanches-ponto-certo_trio-da-resenha.jpg""}]",https://comidadibuteco.com.br/buteco/lanches-ponto-certo/
12,mega-lanches-na-brasa,Mega Lanches na Brasa,"R. Heinz Scheidemantel, 268",Testo Salto,Blumenau,blumenau,2026,-26.8563773,-49.1570411,47991094567,Terça-feira: 18h – 0h | Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 18h – 0h,mega-lanches-na-brasa_mini-combo-buteco.jpg,"[{""nome"":""Mini Combo Buteco"",""descricao"":""3 mini-hambúrgueres: hambúrguer, geleia de abacaxi com bacon e alho-poró, muçarela e rúcula; lascas de costela, alface, muçarela e farofa de repolho refogado; hambúrguer, espinafre, muçarela e molho da casa (mostarda, barbecue, maionese e hortelã). Acompanham batatas fritas e maionese."",""foto"":""mega-lanches-na-brasa_mini-combo-buteco.jpg""}]",https://comidadibuteco.com.br/buteco/mega-lanches-na-brasa/
13,pastelle-pastelaria,Pastelle Pastelaria,"R. Progresso, 1919",Progresso,Blumenau,blumenau,2026,-26.9650502,-49.0717578,4733064383,Segunda-feira: 17h – 0h | Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h | Domingo: 17h – 0h,pastelle-pastelaria_vou-de-trintao.jpg,"[{""nome"":""Vou de Trintão"",""descricao"":""Massa de pastel de 30 cm, recheada com carne em cubos, couve mineira, alho-poró, cebola e bacon. Acompanha geleia de pimenta, maionese caseira com pimenta defumada e tirinhas de massinha com ganache de chocolate sabor pistache."",""foto"":""pastelle-pastelaria_vou-de-trintao.jpg""}]",https://comidadibuteco.com.br/buteco/pastelle-pastelaria/
14,portilho-lanches,Portilho Lanches,"R. Johann Sachse, 3155",Badenfurt,Blumenau,blumenau,2026,-26.8683252,-49.1304327,47991431249,Terça-feira: 18h30 – 23h | Quarta-feira: 18h30 – 23h | Quinta-feira: 18h30 – 23h | Sexta-feira: 18h30 – 23h | Sábado: 18h30 – 23h,portilho-lanches_petisco-portilho.jpg,"[{""nome"":""Petisco Portilho"",""descricao"":""Petisco de x-salada: pão, hambúrguer, queijo, maionese, ketchup, mostarda, alface, tomate, milho, ervilha. Acompanha batata frita, cheddar e bacon."",""foto"":""portilho-lanches_petisco-portilho.jpg""}]",https://comidadibuteco.com.br/buteco/portilho-lanches/
15,rota-377,Rota 377,"Rua Sete de Maio, 377",Itoupava Norte,Blumenau,blumenau,2026,-26.8885367,-49.067755,47997473059,Terça-feira: 11h – 14h | Quarta-feira: 11h – 14h e 18h – 23h | Quinta-feira: 11h – 14h e 18h – 23h | Sexta-feira: 11h – 23h | Sábado: 17h – 23h,rota-377_costelation.jpg,"[{""nome"":""COSTELATION"",""descricao"":""Rolinho crocante, feito com massa de lasanha empanada na farinha panko, recheado com costela desfiada, queijo derretido e um toque de alho-poró. Servido com maionese caseira."",""foto"":""rota-377_costelation.jpg""}]",https://comidadibuteco.com.br/buteco/rota-377/
16,sanduba-lanches,Sanduba Lanches,"R. Amazonas, 2107",Garcia,Blumenau,blumenau,2026,-26.9263987,-49.0567559,47999941713,Terça-feira: 18h – 0h | Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 18h – 0h | Domingo: 18h – 23h,sanduba-lanches_flor-da-montanha.jpg,"[{""nome"":""Flor da Montanha"",""descricao"":""Croqueta estilo espanhola, de couve-flor e legumes. Acompanha maionese de gengibre e queijo montanhês."",""foto"":""sanduba-lanches_flor-da-montanha.jpg""}]",https://comidadibuteco.com.br/buteco/sanduba-lanches/
