id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,404-brasas-bar-e-espetaria,404 Brasas Bar e Espetaria,QR 404 - Samambaia Norte,Samambaia Norte,Brasília,brasilia-butecos,2026,-15.8644551,-48.0864188,61981531841,Segunda-feira: 16h – 0h | Terça-feira: 16h – 0h | Quarta-feira: 16h – 0h | Quinta-feira: 16h – 0h | Sexta-feira: 16h – 0h | Sábado: 10h – 0h,404-brasas-bar-e-espetaria_3-meninas.jpg,"[{""nome"":""3 Meninas"",""descricao"":""Massa de pastel aberta feita com alho-poró, recheada com funghi, finalizada com crispy de alho-poró. Acompanhada de pesto de salsa."",""foto"":""404-brasas-bar-e-espetaria_3-meninas.jpg""}]",https://comidadibuteco.com.br/buteco/404-brasas-bar-e-espetaria/
2,adega-da-cachaca,Adega da Cachaça,"QD C 01, 4 - Lote 11",Taguatinga Centro,Brasília,brasilia-butecos,2026,-15.8451274,-48.0588231,6132572470,Segunda-feira: 11h – 0h | Terça-feira: 11h – 0h | Quarta-feira: 11h – 0h | Quinta-feira: 11h – 0h | Sexta-feira: 11h – 0h | Sábado: 11h – 0h | Domingo: 11h – 0h,adega-da-cachaca_porquinho-no-espeto.jpg,"[{""nome"":""Porquinho no Espeto"",""descricao"":""Bolinhas de suã de porco fritas. Servidas em formato de miniespetinho, são acompanhadas de farofa de baru, finalizadas com geleia agridoce de pequi e ora-pro-nóbis frito."",""foto"":""adega-da-cachaca_porquinho-no-espeto.jpg""}]",https://comidadibuteco.com.br/buteco/adega-da-cachaca/
3,aflora-bar,Aflora Bar,CLN 107  Asa Norte,Asa Norte,Brasília,brasilia-butecos,2026,-15.7633484,-47.8809147,61998608898,Quarta-feira: 17h – 23h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h | Domingo: 17h – 23h,aflora-bar_voa-periquita.jpg,"[{""nome"":""Voa, Periquita"",""descricao"":""Disco de falafel com ora-pro-nóbis, recheado com coalhada da casa, acompanhado de creme de cajupiry, tomate confitado e molho de pimenta."",""foto"":""aflora-bar_voa-periquita.jpg""}]",https://comidadibuteco.com.br/buteco/aflora-bar/
4,arere-gourmet,Arerê Gourmet,SRIA QE 40 Brasília - DF,Guará II,Brasília,brasilia-butecos,2026,-15.8138701,-47.9864684,61995237673,Segunda-feira: 16h – 0h | Terça-feira: 16h – 0h | Quarta-feira: 16h – 0h | Quinta-feira: 16h – 0h | Sexta-feira: 16h – 0h | Sábado: 16h – 0h | Domingo: 16h – 0h,arere-gourmet_arere-do-dimas.jpg,"[{""nome"":""Arerê do Dimas"",""descricao"":""Corte de Prime Rib de porco, grelhado na brasa, servido com couve na manteiga refogada com bacon e batatas."",""foto"":""arere-gourmet_arere-do-dimas.jpg""}]",https://comidadibuteco.com.br/buteco/arere-gourmet/
5,bahea-cozinha-baiana,Bahea Cozinha Baiana,"QSB 08, 40 – Loja 02",Taguatinga Sul,Brasília,brasilia-butecos,2026,-15.8420121,-48.051755,61998538297,Terça-feira: 11h – 22h | Quarta-feira: 11h – 22h | Quinta-feira: 11h – 22h | Sexta-feira: 11h – 22h | Sábado: 11h – 22h | Domingo: 11h – 15h,bahea-cozinha-baiana_quiabada.jpg,"[{""nome"":""Quiabada"",""descricao"":""Um cozido com peito bovino, camarão seco, bacon, calabresa e quiabo, finalizado com dendê, leite de coco e coentro. Acompanha farofa d’água e couve refogada."",""foto"":""bahea-cozinha-baiana_quiabada.jpg""}]",https://comidadibuteco.com.br/buteco/bahea-cozinha-baiana/
6,bar-e-restaurante-nordestino,Bar e Restaurante Nordestino,"Terceira Avenida - Área Especial, 0 – Mercado do Núcleo Bandeirante, Box 13, 15 e 17",Núcleo Bandeirante - DF,Brasília,brasilia-butecos,2026,,,61982888589,Segunda-feira: 8h – 18h30 | Terça-feira: 8h – 18h30 | Quarta-feira: 8h – 18h30 | Quinta-feira: 8h – 18h30 | Sexta-feira: 8h – 18h30 | Sábado: 8h – 18h30,bar-e-restaurante-nordestino_desbravador-do-sertao.jpg,"[{""nome"":""Desbravador do Sertão"",""descricao"":""Almôndegas de bode ao molho."",""foto"":""bar-e-restaurante-nordestino_desbravador-do-sertao.jpg""}]",https://comidadibuteco.com.br/buteco/bar-e-restaurante-nordestino/
7,boteco-do-cantinho,Boteco do Cantinho,"Avenida das Castanheiras, 1060 - Edifício Vila Mall",Águas Claras,Brasília,brasilia-butecos,2026,-15.8349571,-48.0069286,6134350973,Domingo: 11h – 22h30 | Segunda-feira: 11h – 22h30 | Terça-feira: 11h – 22h30 | Quarta-feira: 11h – 22h30 | Quinta-feira: 11h – 22h30 | Sexta-feira: 11h – 22h30 | Sábado: 11h – 22h30,boteco-do-cantinho_cama-de-kenga.jpg,"[{""nome"":""Cama de Kenga"",""descricao"":""Frango cremoso com couve-flor gratinada, acompanhado de torradas temperadas."",""foto"":""boteco-do-cantinho_cama-de-kenga.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-do-cantinho/
8,boteco-veio-chico,Boteco Véio Chico,"Av. Alameda Gravatá, 301",Águas Claras,Brasília,brasilia-butecos,2026,-15.8293697,-48.0148003,61983055972,Segunda-feira: 16h – 23h30 | Terça-feira: 16h – 23h30 | Quarta-feira: 16h – 23h30 | Quinta-feira: 16h – 23h30 | Sexta-feira: 16h – 23h30 | Sábado: 12h – 23h30,boteco-veio-chico_medalhao-sertanejo.jpg,"[{""nome"":""Medalhão Sertanejo"",""descricao"":""Bistecas de porco marinadas em temperos típicos, recheadas com bacon e linguiça calabresa, acompanhadas de uma farofa de couve na manteiga de garrafa e finalizadas com um molho cremoso de ervas."",""foto"":""boteco-veio-chico_medalhao-sertanejo.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-veio-chico/
9,buteco-avenida-cozinha-e-bar,Buteco Avenida Cozinha e Bar,"Segunda Avenida, 4",Núcleo Bandeirante - DF,Brasília,brasilia-butecos,2026,-15.8699617,-47.9698941,6191345271,Segunda-feira: 11h – 23h | Terça-feira: 11h – 23h | Quarta-feira: 11h – 23h | Quinta-feira: 11h – 23h | Sexta-feira: 11h – 0h | Sábado: 11h – 0h | Domingo: 11h – 16h,buteco-avenida-cozinha-e-bar_gandaia-suina.jpg,"[{""nome"":""Gandaia Suína"",""descricao"":""Espetinho de lombo suíno, recheado com presunto, queijo provolone, rúcula e tomate seco."",""foto"":""buteco-avenida-cozinha-e-bar_gandaia-suina.jpg""}]",https://comidadibuteco.com.br/buteco/buteco-avenida-cozinha-e-bar/
10,ceara-carne-de-sol,Ceará Carne de Sol,"QE 04 - Área Especial C, 0",GUARÁ I,Brasília,brasilia-butecos,2026,,,6132575672,Segunda-feira: 11h – 0h | Terça-feira: 11h – 0h | Quarta-feira: 11h – 0h | Quinta-feira: 11h – 0h | Sexta-feira: 11h – 01h | Sábado: 11h – 01h | Domingo: 11h – 0h,ceara-carne-de-sol_coxinha-verde.jpg,"[{""nome"":""Coxinha Verde"",""descricao"":""Uma releitura da coxinha clássica, feita com massa verde de couve com batata inglesa e recheio de carne de sol."",""foto"":""ceara-carne-de-sol_coxinha-verde.jpg""}]",https://comidadibuteco.com.br/buteco/ceara-carne-de-sol/
