id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,3100-revision-v1,222,"R. Francisco Deslandes, 222",Cruzeiro,Belo Horizonte,belo-horizonte,2026,-19.9441031,-43.9300901,3135643061,Terça-feira: 18h – 23h30 | Quarta-feira: 18h – 23h30 | Quinta-feira: 18h – 23h30 | Sexta-feira: 18h – 23h30 | Sábado: 11h – 23h30 | Domingo: 11h – 19h30,222_buraquim-quente.jpg,"[{""nome"":""Buraquim Quente"",""descricao"":""Minipães de sal com gergelim, recheados com carne de panela e finalizados com queijo canastra e couve crispy."",""foto"":""222_buraquim-quente.jpg""}]",https://comidadibuteco.com.br/buteco/3100-revision-v1/
2,alexandres-bar,Alexandre’s Bar,"R. David Alves do Vale, 68",Santa Rosa,Belo Horizonte,belo-horizonte,2026,-19.8634011,-43.9441692,31997753957,Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 12h – 23h | Domingo: 12h – 22h,alexandre-s-bar_porco-amostarda.jpg,"[{""nome"":""Porco “AMOSTARDA”"",""descricao"":""Costela suína no purê de moranga com tapenade de mostarda com azeitona preta."",""foto"":""alexandre-s-bar_porco-amostarda.jpg""}]",https://comidadibuteco.com.br/buteco/alexandres-bar/
3,andrades-beer,Andrade’s Beer,"R. Dona Geni, 32",Maria Helena,Belo Horizonte,belo-horizonte,2026,-19.8013309,-43.9965515,31989145104,Segunda-feira: 17h – 23h | Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 16h – 23h | Domingo: 16h – 23h,andrade-s-beer_ossadinha-atolada.jpg,"[{""nome"":""Ossadinha Atolada"",""descricao"":""Pescoço de boi com mandioca cozida e agrião, acompanhado de paçoca de carne de sol e torresmo."",""foto"":""andrade-s-beer_ossadinha-atolada.jpg""}]",https://comidadibuteco.com.br/buteco/andrades-beer/
4,armazem-santa-amelia,Armazém Santa Amélia,"Rua da Sinfonia, 253",Santa Amélia,Belo Horizonte,belo-horizonte,2026,-19.83273953764742,-43.973218581579644,31972174192,Terça-feira: 17h – 1h | Quarta-feira: 17h – 1h | Quinta-feira: 17h – 1h | Sexta-feira: 17h – 1h | Sábado: 13h – 1h | Domingo: 13h – 22h,armazem-santa-amelia_chucrute-de-mineiro.jpg,"[{""nome"":""Chucrute de Mineiro"",""descricao"":""Vinagrete de repolho, costelão de boi ao molho do Armazém, acompanhado de batatas-bravas, farofa de bacon crocante e chutney de abacaxi com pimenta-dedo-de-moça."",""foto"":""armazem-santa-amelia_chucrute-de-mineiro.jpg""}]",https://comidadibuteco.com.br/buteco/armazem-santa-amelia/
5,avalanche-bar-e-restaurante,Avalanche Bar e Restaurante,"R. Doutor Álvaro Camargos, 1113",São,Belo Horizonte,belo-horizonte,2026,-19.8286695,-43.9631565,31998990146,Segunda-feira: 17h – 0h | Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h | Domingo: 15h – 0h,avalanche-bar-e-restaurante_no-peito-e-na-raiz.jpg,"[{""nome"":""No Peito e na Raiz"",""descricao"":""Maçã de peito cozida com couve ao alho, acompanhada de purê cremoso de mandioca."",""foto"":""avalanche-bar-e-restaurante_no-peito-e-na-raiz.jpg""}]",https://comidadibuteco.com.br/buteco/avalanche-bar-e-restaurante/
6,azougue-fogo-e-bar,Azougue Fogo e Bar,"Rua do Ouro, 835",Serra,Belo Horizonte,belo-horizonte,2026,-19.9335106,-43.9234402,3135823109,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 12h – 23h | Domingo: 12h – 16h,azougue-fogo-e-bar_on-co-to.jpg,"[{""nome"":""On co tô"",""descricao"":""Moelinha de frango escondida sob purê de alho-poró e crispy de cebola."",""foto"":""azougue-fogo-e-bar_on-co-to.jpg""}]",https://comidadibuteco.com.br/buteco/azougue-fogo-e-bar/
7,baiuca,Baiúca,"R. Piauí, 1884",Funcionários,Belo Horizonte,belo-horizonte,2026,-19.9358597,-43.9279865,3132255602,Terça-feira: 12h – 21h30 | Quarta-feira: 12h – 21h30 | Quinta-feira: 12h – 21h30 | Sexta-feira: 12h – 21h30 | Sábado: 12h – 21h30 | Domingo: 12h – 16h,baiuca_pastel-pega-no-poro.jpg,"[{""nome"":""Pastel Pega no Poró"",""descricao"":""Pastel de alho-poró com queijo canastra acompanhado de farofa de couve, costelinha, gremolata e molho de goiabada."",""foto"":""baiuca_pastel-pega-no-poro.jpg""}]",https://comidadibuteco.com.br/buteco/baiuca/
8,barbambu,Bar Bambú,"R. Divisa Nova, 670",Salgado Filho,Belo Horizonte,belo-horizonte,2026,-19.9440127,-43.9840632,31995210404,Terça-feira: 18h – 23h30 | Quarta-feira: 18h – 23h30 | Quinta-feira: 18h – 23h30 | Sexta-feira: 18h – 23h30 | Sábado: 18h – 23h30 | Domingo: 18h – 23h30,bar-bambu_to-com-ragu-na-mao.jpg,"[{""nome"":""Tô com ragu na mão"",""descricao"":""Repolho ao creme com ragu de fraldinha."",""foto"":""bar-bambu_to-com-ragu-na-mao.jpg""}]",https://comidadibuteco.com.br/buteco/barbambu/
9,bar-bendita-baderna,Bar Bendita Baderna,"R. Silva Fortes, 47",União,Belo Horizonte,belo-horizonte,2026,-19.8811789,-43.9272578,31991823030,Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 12h – 0h | Domingo: 12h – 18h | Segunda-feira: 18h – 0h,bar-bendita-baderna_bendita-porpeta.jpg,"[{""nome"":""Bendita porpeta"",""descricao"":""Porpeta de cupim recheada com alho-poró e queijo canastra, ao molho de tomate da casa. Acompanha: farofa de costela (suína) com ora-pro-nóbis"",""foto"":""bar-bendita-baderna_bendita-porpeta.jpg""}]",https://comidadibuteco.com.br/buteco/bar-bendita-baderna/
10,bar-da-cintia,Bar da Cintia,"R. Pastor Rui Franco, 257",São João Batista (Venda Nova),Belo Horizonte,belo-horizonte,2026,-19.8168676,-43.9694756,36469725,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 15h – 23h | Domingo: 15h – 22h,bar-da-cintia_chuleta-descontraida.jpg,"[{""nome"":""Chuleta Descontraída"",""descricao"":""Chuleta empanada, molho bechamel com repolho, bacon crispy salpicado por cima, acompanhada de um delicioso melaço para dar um toque agridoce ao prato."",""foto"":""bar-da-cintia_chuleta-descontraida.jpg""}]",https://comidadibuteco.com.br/buteco/bar-da-cintia/
11,bar-da-fia,Bar da Fia,"R. dos Astecas, 2722",Santa Mônica,Belo Horizonte,belo-horizonte,2026,-19.8299231,-43.9791637,31985402775,Terça-feira: 11h – 0h | Quarta-feira: 11h – 0h | Quinta-feira: 11h – 0h | Sexta-feira: 11h – 0h | Sábado: 11h – 0h | Domingo: 11h – 23h,bar-da-fia_boca-quente-coracao-mole.jpg,"[{""nome"":""Boca quente, coração mole"",""descricao"":""Pernil assado, acompanhado de tomate recheado com pimenta-dedo-de-moça, geleia de maracujá e finalizado com queijo minas e couve crispy."",""foto"":""bar-da-fia_boca-quente-coracao-mole.jpg""}]",https://comidadibuteco.com.br/buteco/bar-da-fia/
12,bar-da-gisa,Bar da Gisa,"Rua Maria Ferreira da Silva, 367",Fernão Dias,Belo Horizonte,belo-horizonte,2026,-19.8742124,-43.9146333,31984840138,Terca a sexta 15:00 às 00:00 | sábado 10:00 às 00:00 | Domingo  10:00 às 16:00,bar-da-gisa_ajoelhou-tem-que-rezar.jpg,"[{""nome"":""Ajoelhou tem que rezar"",""descricao"":""Joelho de porco acompanhado de ora-pro-nóbis e polenta frita."",""foto"":""bar-da-gisa_ajoelhou-tem-que-rezar.jpg""}]",https://comidadibuteco.com.br/buteco/bar-da-gisa/
13,bar-da-lu,Bar da Lu,"R. Geralda Marinho, 41",São João Batista (Venda Nova),Belo Horizonte,belo-horizonte,2026,-19.8268831,-43.9645853,31999327787,Segunda-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 12h30 – 22h | Domingo: 12h30 – 19h,bar-da-lu_popeye-mineiro.jpg,"[{""nome"":""Popeye Mineiro"",""descricao"":""Parmegiana de alcatra regada com molho pomodoro artesanal, manjericão e muçarela derretida. Acompanhada de molho bechamel de espinafre e torradas rústicas."",""foto"":""bar-da-lu_popeye-mineiro.jpg""}]",https://comidadibuteco.com.br/buteco/bar-da-lu/
14,bar-da-praca,Bar da Praça,"Rua Oeste, 517",Calafate,Belo Horizonte,belo-horizonte,2026,-19.9230609,-43.969218,(31) 9147-2685,Segunda-feira: 16h – 21h | Terça-feira: 16h – 21h | Quarta-feira: 16h – 21h | Quinta-feira: 16h – 21h | Sexta-feira: 16h – 21h,bar-da-praca_cadim-de-nos.jpg,"[{""nome"":""Cadim de Nós"",""descricao"":""Bolinho de carne recheado com alho-poró, requeijão e queijo parmesão, com farofa de couve com torresmo e molho da casa."",""foto"":""bar-da-praca_cadim-de-nos.jpg""}]",https://comidadibuteco.com.br/buteco/bar-da-praca/
15,bar-da-silvania,Bar da Silvânia,"R. Soares Nogueira, 801",Camargos,Belo Horizonte,belo-horizonte,2026,-19.9402357,-44.0216093,31993387815,Terça-feira: 17h30 – 0h30 | Quarta-feira: 17h30 – 0h30 | Quinta-feira: 17h30 – 0h30 | Sexta-feira: 17h30 – 0h30 | Sábado: 17h30 – 0h30,bar-da-silvania_tesouro-caipira-com-encanto-da-horta.jpg,"[{""nome"":""Tesouro caipira com encanto da horta"",""descricao"":""Corte suíno ao molho curto, creme de mandioca, farofa de couve com bacon e acelga fresca ao alho."",""foto"":""bar-da-silvania_tesouro-caipira-com-encanto-da-horta.jpg""}]",https://comidadibuteco.com.br/buteco/bar-da-silvania/
16,bar-do-bartolomeu,Bar do Bartolomeu,"R. Arthur Luchesi, 356",Santa Helena (Barreiro),Belo Horizonte,belo-horizonte,2026,-19.985134,-44.0112649,31975479909,Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 14h – 23h | Domingo: 14h – 23h,bar-do-bartolomeu_trio-mineiro-bao-di-mais.jpg,"[{""nome"":""Trio Mineiro-Bão di Mais"",""descricao"":""Maçã de peito cozida com molho da casa, purê de batata com queijo, couve com bacon."",""foto"":""bar-do-bartolomeu_trio-mineiro-bao-di-mais.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-bartolomeu/
17,bar-do-bem,Bar do Bem,"Rua Vicentina Coutinho Camargos, 100",Álvaro Camargos,Belo Horizonte,belo-horizonte,2026,-19.9153621,-44.0062588,31991745708,Terça-feira: 18h30 – 0h | Quarta-feira: 18h30 – 0h | Quinta-feira: 18h30 – 0h | Sexta-feira: 18h30 – 0h | Sábado: 14h – 0h | Domingo: 13h – 17h,bar-do-bem_brasileirinho-raiz.jpg,"[{""nome"":""Brasileirinho Raiz"",""descricao"":""Ossobuco com angu ‘molin’, ‘temperadim’, com couve rasgadinha e molho da casa."",""foto"":""bar-do-bem_brasileirinho-raiz.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-bem/
18,3121-revision-v1,Bar do Dedinho,"Avenida Guarapari, 872",Santa Amélia,Belo Horizonte,belo-horizonte,2026,-19.8388542,-43.977372,31999902018,Segunda-feira: 17h – 23h30 | Terça-feira: 17h – 23h30 | Quarta-feira: 17h – 23h30 | Quinta-feira: 17h – 23h30 | Sexta-feira: 12h – 0h30 | Sábado: 11h – 0h30 | Domingo: 11h – 22h,bar-do-dedinho_kaftei-vossa-vontade.jpg,"[{""nome"":""Kaftei Vossa Vontade"",""descricao"":""Kafta recheada com queijo, acompanha batata da mamãe e salada americana. Com molhos da casa."",""foto"":""bar-do-dedinho_kaftei-vossa-vontade.jpg""}]",https://comidadibuteco.com.br/buteco/3121-revision-v1/
