id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,1-poco-loco,1 Poco Loco,"Rua Eduardo Tozzi, 115",Jaguariuna,Campinas,campinas,2026,,,19994737373,Terça-feira: 16h – 22h | Quarta-feira: 16h – 22h | Quinta-feira: 16h – 22h | Sexta-feira: 16h – 23h | Sábado: 11h – 23h | Domingo: 11h – 18h,1-poco-loco_burrito-loco-veg.jpg,"[{""nome"":""Burrito Loco Veg"",""descricao"":""Burrito recheado com farofa de couve-flor & brócolis no azeite ao funghi, mix de cogumelos e uma salada oriental com cenoura, abobrinha e maçã-verde. Servidos com maionese de pequi e uma dose de cachaça de pequi."",""foto"":""1-poco-loco_burrito-loco-veg.jpg""}]",https://comidadibuteco.com.br/buteco/1-poco-loco/
2,bar-da-loira,Bar da Loira,"R. Conselheiro Martim Francisco, 443",Jardim Campos Elíseos,Campinas,campinas,2026,-22.9227295,-47.102959,19995514768,Segunda-feira: 11h – 14h30 | Terça-feira: 11h – 22h | Quarta-feira: 11h – 22h | Quinta-feira: 11h – 22h | Sexta-feira: 11h – 22h | Sábado: 11h – 22h,bar-da-loira_croc-rib-bbq.jpg,"[{""nome"":""Croc Rib BBQ"",""descricao"":""Costelinha suína em ripa, assada ao molho de BBQ, empanada com farinha panko. Acompanha molho de rúcula."",""foto"":""bar-da-loira_croc-rib-bbq.jpg""}]",https://comidadibuteco.com.br/buteco/bar-da-loira/
3,bar-da-vila,Bar da Vila,"R. Madalena Barbosa Ferreira, 178",Vila Lemos,Campinas,campinas,2026,-22.9221769,-47.0343546,19999779942,Terça-feira: 16h – 22h | Quarta-feira: 16h – 22h | Quinta-feira: 16h – 22h | Sexta-feira: 16h – 22h | Sábado: 10h – 22h | Domingo: 8h – 15h,bar-da-vila_porpeta-do-popeye.jpg,"[{""nome"":""Porpeta do Popeye"",""descricao"":""Porpeta de fraldinha com espinafre. Acompanha maionese de hortelã e vinagrete de maracujá."",""foto"":""bar-da-vila_porpeta-do-popeye.jpg""}]",https://comidadibuteco.com.br/buteco/bar-da-vila/
4,bar-do-bau-2,Bar do Bau,"Av. Francisco de Paula Oliveira Nazareth, 1193",Parque Industrial,Campinas,campinas,2026,-22.9200994,-47.0856176,1932728062,Terça-feira: 11h – 22h | Quarta-feira: 11h – 22h | Quinta-feira: 11h – 22h | Sexta-feira: 11h – 22h | Sábado: 11h – 22h,bar-do-bau_petisco-da-chef.jpg,"[{""nome"":""Petisco da Chef"",""descricao"":""Bolinhos de carne-seca recheados com alho-poró, cream cheese e um toque de mel. Acompanha maionese especial da casa."",""foto"":""bar-do-bau_petisco-da-chef.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-bau-2/
5,bar-do-braz,Bar do Braz,"Rua Itapecerica da Serra, 1445",Cidade Jardim,Campinas,campinas,2026,-22.918695,-47.0966069,1932691672,Segunda-feira: 12h – 22h30 | Terça-feira: 12h – 22h30 | Quarta-feira: 12h – 22h30 | Quinta-feira: 12h – 22h30 | Sexta-feira: 12h – 22h30 | Sábado: 12h – 19h30,bar-do-braz_olivia-palito.jpg,"[{""nome"":""Olívia Palito"",""descricao"":""Palitos de massa de pastel recheados de espinafre, gorgonzola e muçarela. Acompanha vinagrete de espinafre."",""foto"":""bar-do-braz_olivia-palito.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-braz/
6,bar-do-cacao,Bar do Cação,"Av. Doutor Armando Sales de Oliveira, 55",Taquaral,Campinas,campinas,2026,-22.8807472,-47.0513992,1932557346,Segunda-feira: 17h – 22h30 | Terça-feira: 17h – 22h30 | Quarta-feira: 17h – 22h30 | Quinta-feira: 17h – 22h30 | Sexta-feira: 17h – 22h30 | Sábado: 12h30 – 22h30,bar-do-cacao_maresias.jpg,"[{""nome"":""Maresias"",""descricao"":""Empadas de camarão com alho-poró."",""foto"":""bar-do-cacao_maresias.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-cacao/
7,3330-revision-v1,Bar do Carioca,"R. Erasmo Braga, 1067",Jardim Chapadão,Campinas,campinas,2026,-22.8942899,-47.077822,1932120968,Segunda-feira: 16h30 – 23h | Terça-feira: 16h30 – 23h | Quarta-feira: 16h30 – 23h | Quinta-feira: 16h30 – 23h | Sexta-feira: 16h30 – 23h | Sábado: 12h – 23h,bar-do-carioca_moderacao.jpg,"[{""nome"":""Moderação"",""descricao"":""Coxinhas de arancini com camarão e cabotiá, recheadas de queijo e couve, empanadas com mix de farinhas crocantes."",""foto"":""bar-do-carioca_moderacao.jpg""}]",https://comidadibuteco.com.br/buteco/3330-revision-v1/
8,bar-do-durante,Bar do Durante,"Praça Menegon, 93",Vila São José,Campinas,campinas,2026,,,19998679633,Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 13h – 20h | Domingo: 10h – 14h,bar-do-durante_torresmo-de-rolo-defumado-a-pururuca.jpg,"[{""nome"":""Torresmo de Rolo defumado à Pururuca."",""descricao"":""Torresmo defumado em lenha frutífera, temperado e enrolado artesanalmente. Acompanha geleia de pimenta caseira, limão, pimenta-biquinho e salada de rúcula com molho caseiro e alho-poró frito."",""foto"":""bar-do-durante_torresmo-de-rolo-defumado-a-pururuca.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-durante/
9,bar-do-furlan,Bar do Furlan,"R. Dr. Delfino Cintra, 539",Botafogo,Campinas,campinas,2026,-22.8998134,-47.0680082,1932342747,Segunda-feira: 11h30 – 14h e 18h – 22h30 | Terça-feira: 11h30 – 14h e 18h – 22h30 | Quarta-feira: 11h30 – 14h e 18h – 22h30 | Quinta-feira: 11h30 – 14h e 18h – 22h30 | Sexta-feira: 11h30 – 14h e 18h – 22h30 | Sábado: 12h – 19h,bar-do-furlan_mery-lu.jpg,"[{""nome"":""Mery Lu"",""descricao"":""Porção de filé de frango em cubos com tempero especial do chef. Acompanha farofa de acelga, fatias de pão e pimenta da casa."",""foto"":""bar-do-furlan_mery-lu.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-furlan/
10,bar-do-leo,Bar do Léo,"R. José dos Santos, 260",Jardim Aurélia,Campinas,campinas,2026,-22.9098202,-47.0996491,19992182405,Segunda-feira: 11h30 – 15h | Terça-feira: 11h30 – 15h | Quarta-feira: 11h30 – 15h e 17h30 – 22h | Quinta-feira: 11h30 – 15h e 17h30 – 22h | Sexta-feira: 11h30 – 15h e 17h30 – 22h | Sábado: 11h30 – 21h | Domingo: 11h30 – 17h,bar-do-leo_lingua-da-perpetua.jpg,"[{""nome"":""Língua da Perpétua"",""descricao"":""Cebola-roxa recheada com língua e um creme de queijo com brócolis e acelga."",""foto"":""bar-do-leo_lingua-da-perpetua.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-leo/
