id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,anita-restaurante-e-petiscaria,Anita Restaurante e Petiscaria,"R. Anita Garibaldi, 4596",Barreirinha,Curitiba,curitiba-butecos,2026,-25.3756914,-49.2627748,4133540069,Terça-feira: 12h – 13h30 | Terça-feira: 18h30 – 23h | Quarta-feira: 12h – 13h30 e 18h30 – 23h | Quinta-feira: 12h – 13h30 e 18h30 – 23h | Sexta-feira: 12h – 13h30 e 18h30 – 23h | Sábado: 18h30 – 23h,anita-restaurante-e-petiscaria_fuzileti-de-buteco.jpg,"[{""nome"":""Fuzileti de Buteco"",""descricao"":""Alcatra angus suculenta em cubos feitos à milanesa, ao molho bechamel com alho-poró e quatro queijos, finalizada com queijo gratinado, servida em um cesto de massa crocante comestível. Acompanha pesto de rúcula e torradas temperadas."",""foto"":""anita-restaurante-e-petiscaria_fuzileti-de-buteco.jpg""}]",https://comidadibuteco.com.br/buteco/anita-restaurante-e-petiscaria/
2,armazem-california,Armazém Califórnia,"Rua Saldanha Marinho, 68",Centro,Curitiba,curitiba-butecos,2026,-25.4290164,-49.2725571,4132245629,Segunda-feira: 12h – 18h | Terça-feira: 12h – 18h | Quarta-feira: 12h – 18h | Quinta-feira: 12h – 18h | Sexta-feira: 12h – 18h | Sábado: 12h – 16h,armazem-california_sabores-do-libano.jpg,"[{""nome"":""Sabores do Líbano"",""descricao"":""Croquete de kafta, charutinho de folha de parreira, pasta de babaganush e tabule, acompanha pimenta à moda da casa à base de tahine e pão árabe."",""foto"":""armazem-california_sabores-do-libano.jpg""}]",https://comidadibuteco.com.br/buteco/armazem-california/
3,armazem-do-espetinho,Armazém do Espetinho,"Rua Barão de Santo Ângelo, 1507",Xaxim,Curitiba,curitiba-butecos,2026,-25.5154986,-49.2724203,41999280267,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 18h – 23h,armazem-do-espetinho_queijinho-intrometido-e-acompanhado.jpg,"[{""nome"":""Queijinho intrometido e acompanhado"",""descricao"":""Espetinho de carne, assado na brasa, desconstruído, coberto com molho de tomate rústico e queijo, acompanhado de couve-flor empanada."",""foto"":""armazem-do-espetinho_queijinho-intrometido-e-acompanhado.jpg""}]",https://comidadibuteco.com.br/buteco/armazem-do-espetinho/
4,4745-revision-v1,Baba Salim,"Rua Amintas de Barros, 45",Centro,Curitiba,curitiba-butecos,2026,-25.4277415,-49.2653985,4132227672,Segunda-feira: 18h – 0h | Terça-feira: 18h – 0h | Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 18h – 0h,baba-salim_magdoussa-salim.jpg,"[{""nome"":""Magdoussa Salim"",""descricao"":""Berinjela com carne à moda árabe, acompanha pão sírio."",""foto"":""baba-salim_magdoussa-salim.jpg""}]",https://comidadibuteco.com.br/buteco/4745-revision-v1/
5,bar-do-claudio,Bar do Cláudio,"Rua Niterói, 265",Cajuru,Curitiba,curitiba-butecos,2026,-25.4630711,-49.2147878,(41) 3365-8464 | (41) 99162-2318,Segunda-feira: 11h – 22h | Terça-feira: 11h – 22h | Quarta-feira: 11h – 22h | Quinta-feira: 11h – 22h | Sexta-feira: 11h – 22h | Sábado: 11h – 22h,bar-do-claudio_supply.jpg,"[{""nome"":""Supply"",""descricao"":""Bolinho de arroz e brócolis, recheado com costela. Acompanha molho de pimenta e creme de alho."",""foto"":""bar-do-claudio_supply.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-claudio/
6,4742-revision-v1,Bar do Edmundo,"Av. Prefeito Erasto Gaertner, 1764",Bacacheri,Curitiba,curitiba-butecos,2026,-25.3959746,-49.2314011,4132572407,Segunda-feira: 18h – 23h | Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 18h – 23h,bar-do-edmundo_pastel-de-bacalhau.jpg,"[{""nome"":""Pastel de bacalhau"",""descricao"":""Pastel com recheio de bacalhoada desconstruída, acompanha pesto de azeitona."",""foto"":""bar-do-edmundo_pastel-de-bacalhau.jpg""}]",https://comidadibuteco.com.br/buteco/4742-revision-v1/
7,3734-revision-v1,Bar do Gaúcho,"Rua Oliveira Viana, 513",Hauer,Curitiba,curitiba-butecos,2026,-25.4794788,-49.2564207,41999963676,Terça-feira: 16h30 – 1h | Quarta-feira: 16h30 – 1h | Quinta-feira: 16h30 – 1h | Sexta-feira: 16h30 – 1h | Sábado: 16h30 – 1h,bar-do-gaucho_pao-com-bolinho.jpg,"[{""nome"":""Pão com bolinho"",""descricao"":""Bolinho de carne, pão d’água, alface, tomate, queijo muçarela e maionese caseira, acompanha uma porção de torresmo."",""foto"":""bar-do-gaucho_pao-com-bolinho.jpg""}]",https://comidadibuteco.com.br/buteco/3734-revision-v1/
8,bar-do-gildo,Bar do Gildo,"Rua José Merhy, 745",Boa Vista,Curitiba,curitiba-butecos,2026,-25.394567,-49.2444826,4130397908,Segunda-feira: 16h – 22h30 | Terça-feira: 16h – 22h30 | Quarta-feira: 16h – 22h30 | Quinta-feira: 16h – 22h30 | Sexta-feira: 16h – 22h30,bar-do-gildo_alcatra-da-casa-com-verduras-do-campo.jpg,"[{""nome"":""Alcatra da casa com verduras do campo"",""descricao"":""Coração de alcatra ao molho madeira com couve-flor branqueada, broto de bambu e alho-poró salteado com folhas frescas de rúcula e alface. Acompanha molho rosê da casa e uma unidade de pão francês fatiado."",""foto"":""bar-do-gildo_alcatra-da-casa-com-verduras-do-campo.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-gildo/
9,bar-do-montejorge,Bar do Montejorge,"R. Professor Dario Velloso, 581",Vila Izabel,Curitiba,curitiba-butecos,2026,-25.4589415,-49.2951001,41991420505,Terça-feira: 16h – 22h15 | Quarta-feira: 16h – 22h15 | Quinta-feira: 16h – 22h15 | Sexta-feira: 16h – 22h15 | Sábado: 11h – 21h15 | Domingo: 11h – 15h15,bar-do-montejorge_canopolis.jpg,"[{""nome"":""Canópolis"",""descricao"":""Canudinho crocante com brócolis, creme de mandioca e linguiça Blumenau."",""foto"":""bar-do-montejorge_canopolis.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-montejorge/
10,bar-do-morango,Bar do Morango,"Rua David Geronasso, 567",Boa Vista,Curitiba,curitiba-butecos,2026,-25.3921147,-49.2516914,(41) 98444-4520 | (41) 99135-0012,Terça-feira: 15h – 22h | Quarta-feira: 15h – 22h | Quinta-feira: 15h – 22h | Sexta-feira: 15h – 22h | Sábado: 11h – 22h | Domingo: 11h – 17h,bar-do-morango_bolinho-de-frango-do-morango.jpg,"[{""nome"":""Bolinho de frango do Morango"",""descricao"":""Bolinho de frango com massa de batata e brócolis, recheado com catupiry empanado e frito. Acompanha bruschetta com caponata de berinjela."",""foto"":""bar-do-morango_bolinho-de-frango-do-morango.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-morango/
