id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,aukanaii,Aukanaii,"Rodovia Jornalista Manoel de Menezes, 1264",Barra da Lagoa,Florianópolis,florianopolis,2026,-27.5859755,-48.4365766,48999964326,Terça-feira: 8h – 18h | Quarta-feira: 8h – 18h | Quinta-feira: 8h – 18h | Sexta-feira: 8h – 20h | Sábado: 8h – 20h | Domingo: 8h – 20h,aukanaii_coxinha-terra-e-mar.jpg,"[{""nome"":""Coxinha Terra e Mar"",""descricao"":""Porção de coxinhas feitas com massa de milho, recheadas com alho-poró e siri. Acompanhadas de uma geleia de pimenta."",""foto"":""aukanaii_coxinha-terra-e-mar.jpg""}]",https://comidadibuteco.com.br/buteco/aukanaii/
2,bar-e-restaurante-tarrafada,Bar e Restaurante Tarrafada,"Av. das Rendeiras, 1796",Lagoa da Conceição,Florianópolis,florianopolis,2026,-27.6090744,-48.4542454,48988188537,Terça-feira: 11h – 22h | Quarta-feira: 11h – 22h | Quinta-feira: 11h – 22h | Sexta-feira: 11h – 22h | Sábado: 11h – 22h | Domingo: 11h – 22h,bar-e-restaurante-tarrafada_o-feitico-da-conceicao.jpg,"[{""nome"":""O Feitiço da Conceição"",""descricao"":""Siri no palito crocante, para mergulhar em um cremoso molho verde de queijos."",""foto"":""bar-e-restaurante-tarrafada_o-feitico-da-conceicao.jpg""}]",https://comidadibuteco.com.br/buteco/bar-e-restaurante-tarrafada/
3,bar-vodu,Bar Vodu,"Rua Victor Meirelles, 154",Centro,Florianópolis,florianopolis,2026,-27.5988556,-48.548503,Telefone: (48) 3209-2214,Terça-feira: 18h – 0h | Quarta-feira: 18h – 0h | Quinta-feira: 18h – 2h | Sexta-feira: 18h – 2h | Sábado: 18h – 2h,bar-vodu_caponata-de-alcachofra-com-pao-maltado-tostado.jpg,"[{""nome"":""Caponata de alcachofra com pão maltado tostado"",""descricao"":""Caponata de alcachofra, confitada no azeite de oliva."",""foto"":""bar-vodu_caponata-de-alcachofra-com-pao-maltado-tostado.jpg""}]",https://comidadibuteco.com.br/buteco/bar-vodu/
4,basilio-steakhouse,Basílio Steakhouse,"R. Intendente João Nunes Vieira, 1058",Ingleses,Florianópolis,florianopolis,2026,-27.4372764,-48.3927179,48988412702,Segunda-feira: 11h30 – 22h30 | Quarta-feira: 11h30 – 22h30 | Quinta-feira: 11h30 – 22h30 | Sexta-feira: 11h30 – 22h30 | Sábado: 11h30 – 22h30 | Domingo: 11h30 – 22h30,basilio-steakhouse_linguica-artesanal-do-basilio.jpg,"[{""nome"":""Linguiça artesanal do Basílio"",""descricao"":""Linguicinha artesanal recheada com alho-poró e requeijão cremoso. Acompanha torradas."",""foto"":""basilio-steakhouse_linguica-artesanal-do-basilio.jpg""}]",https://comidadibuteco.com.br/buteco/basilio-steakhouse/
5,bendito-boteco,Bendito Boteco,"Rua da Universidade, 346",Pedra Branca,Florianópolis,florianopolis,2026,,,48999697669,Terça-feira: 11h30 – 23h30 | Quarta-feira: 11h30 – 23h30 | Quinta-feira: 11h30 – 23h30 | Sexta-feira: 11h30 – 23h30 | Sábado: 11h30 – 23h30 | Domingo: 11h30 – 23h30,bendito-boteco_a-cola-da-mimosa.jpg,"[{""nome"":""A Cola da Mimosa"",""descricao"":""Croquete de rabada, crocante por fora e cremoso por dentro, empanado na farinha panko. Acompanha molho defumado."",""foto"":""bendito-boteco_a-cola-da-mimosa.jpg""}]",https://comidadibuteco.com.br/buteco/bendito-boteco/
6,boteco-do-alemao,Boteco do Alemão,"Av. Hercílio Luz, 692",Centro,Florianópolis,florianopolis,2026,-27.6018091,-48.5501763,48984090007,Segunda-feira: 17h – 0h | Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h,boteco-do-alemao_torpedo-de-costela.jpg,"[{""nome"":""Torpedo de costela"",""descricao"":""Torpedo de costela no aipim e alho-poró."",""foto"":""boteco-do-alemao_torpedo-de-costela.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-do-alemao/
7,boteco-do-paru,Boteco do Paru,"Rua José Bonifácio, 311",Canto,Florianópolis,florianopolis,2026,-27.5892168,-48.5858001,Telefone: (48) 99981-3784,Terça-feira: 18h30 – 23h | Quarta-feira: 18h30 – 23h | Quinta-feira: 18h30 – 23h | Sexta-feira: 18h30 – 23h | Sábado: 11h – 14h30,boteco-do-paru_escondidinho-de-siri.jpg,"[{""nome"":""Escondidinho de Siri"",""descricao"":""Escondidinho de aipim com siri."",""foto"":""boteco-do-paru_escondidinho-de-siri.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-do-paru/
8,botequim-das-flores,Botequim das Flores,"Rod. Gilson da Costa Xavier, 1520",Sambaqui,Florianópolis,florianopolis,2026,,,48991767806,Segunda-feira: 12h – 22h | Quarta-feira: 12h – 22h | Quinta-feira: 12h – 22h | Sexta-feira: 12h – 22h | Sábado: 12h – 22h | Domingo: 12h – 20h,botequim-das-flores_caldeirao-da-magia.jpg,"[{""nome"":""Caldeirão da Magia"",""descricao"":""Camarões selados e regados ao creme de brócolis, gratinado com queijo, geleia de cebola e finalizado com crispy de batata-doce. Acompanha torradas."",""foto"":""botequim-das-flores_caldeirao-da-magia.jpg""}]",https://comidadibuteco.com.br/buteco/botequim-das-flores/
9,camarao-do-rafa,Camarão do Rafa,"Rua Hypólito Gregório Pereira, 605",Canasvieiras,Florianópolis,florianopolis,2026,-27.4293294,-48.4590843,48998656566,Segunda-feira: 19h – 1h | Terça-feira: 19h – 1h | Quarta-feira: 19h – 1h | Quinta-feira: 19h – 1h | Sexta-feira: 19h – 1h | Sábado: 19h – 1h | Domingo: 19h – 1h,camarao-do-rafa_bolinho-de-feijoada.jpg,"[{""nome"":""Bolinho de feijoada"",""descricao"":""Bolinho de feijoada com recheio de couve, bacon e calabresa."",""foto"":""camarao-do-rafa_bolinho-de-feijoada.jpg""}]",https://comidadibuteco.com.br/buteco/camarao-do-rafa/
10,camarao-manezinho,Camarão Manezinho,"Av. Leoberto Leal, 1066",Barreiros,Florianópolis,florianopolis,2026,-27.5937926,-48.5509299,4832460909,Segunda-feira: 11h – 15h e 18h – 0h | Terça-feira: 11h – 15h | Quarta-feira: 11h – 15h e 18h – 0h | Quinta-feira: 11h – 15h e 18h – 0h | Sexta-feira: 18:00 até 23:30 | Sábado: 18:00 até 23:30 | Domingo: 18:00 até 23:30,camarao-manezinho_ostra-real.jpg,"[{""nome"":""Ostra Real"",""descricao"":""Ostras frescas gratinadas com molho de alho-poró e creme de queijos, finalizadas com lâminas de amêndoas crocantes."",""foto"":""camarao-manezinho_ostra-real.jpg""}]",https://comidadibuteco.com.br/buteco/camarao-manezinho/
11,centro-social-da-cerveja,Centro Social da Cerveja,"Av. César Seara, 19",Carvoeira,Florianópolis,florianopolis,2026,-27.6023523,-48.5260291,4832381867,Segunda-feira: 17h30 – 0h | Terça-feira: 17h30 – 0h | Quarta-feira: 17h30 – 0h | Quinta-feira: 17h30 – 0h | Sexta-feira: 17h30 – 0h | Sábado: 17h30 – 0h,centro-social-da-cerveja_catupykinsh.jpg,"[{""nome"":""Catupykinsh"",""descricao"":""Guiozas em massa de pastel, recheadas com camarão, catupiry e kimchi, servidas com maionese verde de agrião."",""foto"":""centro-social-da-cerveja_catupykinsh.jpg""}]",https://comidadibuteco.com.br/buteco/centro-social-da-cerveja/
