id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,10094-revision-v1,Bar do Nem,R. General Clarindo de Queiroz,Centro,Fortaleza,fortaleza,2026,,,85988943469,Terça-feira: 7h – 15h | Quarta-feira: 7h – 15h | Quinta-feira: 7h – 15h | Sexta-feira: 7h – 15h | Sábado: 7h – 15h | Domingo: 7h – 12h,bar-do-nem_sertao-verde-no-chao-coracao.jpg,"[{""nome"":""Sertão Verde no chão, coração"",""descricao"":""Bolinho de feijão-verde recheado com carne de sol suína e queijo coalho, acompanhado de vinagrete, muffin vegano, linguiça artesanal de língua com farofa de abacaxi e molhos da casa."",""foto"":""bar-do-nem_sertao-verde-no-chao-coracao.jpg""}]",https://comidadibuteco.com.br/buteco/10094-revision-v1/
2,3801-revision-v1,Bar O Camocim,"R. Padre Mororó, 1012",Centro,Fortaleza,fortaleza,2026,-3.7255516,-38.5376141,85992110959,Terça-feira: 11h – 15h e 17h – 23h | Quarta-feira: 11h – 15h e 17h – 23h | Quinta-feira: 11h – 15h e 17h – 23h | Sexta-feira: 11h – 15h e 17h – 23h | Sábado: 11h – 20h | Domingo: 11h – 20h,bar-o-camocim_tropeirao-da-casa.jpg,"[{""nome"":""Tropeirão da Casa"",""descricao"":""Carne de charque com couve, feijão, farinha de mandioca, finalizada com queijo coalho."",""foto"":""bar-o-camocim_tropeirao-da-casa.jpg""}]",https://comidadibuteco.com.br/buteco/3801-revision-v1/
3,boteco-di-garagem,Boteco Di Garagem,"Rua Bento Gonçalves, 703 - Loja 07",Novo Mondubim,Fortaleza,fortaleza,2026,-3.8103432,-38.5863405,85988337594,Quarta-feira: 18h – 22h45 | Quinta-feira: 18h – 22h45 | Sexta-feira: 18h – 0h | Sábado: 18h – 0h | Domingo: 18h – 22h45,boteco-di-garagem_ninho-caipira.jpg,"[{""nome"":""Ninho Caipira"",""descricao"":""Feijão-verde cremoso, preparado com couve-manteiga, queijo coalho, requeijão, leite e creme de leite, com adição de frango desfiado, carne de sol refogada na manteiga, bacon em cubos, ovo de codorna e finalizado com salsinha e pimenta-biquinho!"",""foto"":""boteco-di-garagem_ninho-caipira.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-di-garagem/
4,buteco-afonso-pescados,Buteco Afonso Pescados,"Alameda das Begônias, 202 - Casa",Cidade 2000,Fortaleza,fortaleza,2026,-3.7487024,-38.4731698,85988732303,Terça-feira: 11h – 22h | Quarta-feira: 11h – 22h | Quinta-feira: 11h – 22h | Sexta-feira: 11h – 22h | Sábado: 11h – 22h | Domingo: 11h – 18h30,buteco-afonso-pescados_camarao-croc-croc.jpg,"[{""nome"":""Camarão Croc Croc"",""descricao"":""Tempurá de camarões e legumes crocantes com maionese cítrica de coentro."",""foto"":""buteco-afonso-pescados_camarao-croc-croc.jpg""}]",https://comidadibuteco.com.br/buteco/buteco-afonso-pescados/
5,estaleiro-do-gaucho,Estaleiro do Gaúcho,"Av. Beira Mar, 4436 - Lojas 7/8",Meireles,Fortaleza,fortaleza,2026,-3.7250152,-38.4988118,85999978761,Segunda-feira: 11h – 23h30 | Terça-feira: 11h – 23h30 | Quarta-feira: 11h – 23h30 | Quinta-feira: 11h – 23h30 | Sexta-feira: 11h – 0h | Sábado: 11h – 0h | Domingo: 11h – 23h30,estaleiro-do-gaucho_flor-de-fogo.jpg,"[{""nome"":""Flor de  FOGO"",""descricao"":""Croquete com recheio de costela bovina e queijo cremoso, envolto em base de couve-flor e espinafre. Empanado em farinha panko  e servido com molhos especiais."",""foto"":""estaleiro-do-gaucho_flor-de-fogo.jpg""}]",https://comidadibuteco.com.br/buteco/estaleiro-do-gaucho/
6,gpetiscos,GPetiscos,"Rua Sousa Girão, 133",José Bonifácio,Fortaleza,fortaleza,2026,-3.741446,-38.5250376,85996111660,Terça-feira: 17h30 – 23h30 | Quarta-feira: 17h30 – 23h30 | Quinta-feira: 17h30 – 23h30 | Sexta-feira: 17h30 – 23h30 | Sábado: 17h30 – 23h30,gpetiscos_sabores-da-terra.jpg,"[{""nome"":""Sabores da Terra"",""descricao"":""Quiche de espinafre com queijo parmesão, acompanhado de couve-flor à milanesa e couve crocante (crispy)."",""foto"":""gpetiscos_sabores-da-terra.jpg""}]",https://comidadibuteco.com.br/buteco/gpetiscos/
7,juju-boa-ideia,Juju Boa Ideia,"Rua Pescador João Santana, 49",Mucuripe,Fortaleza,fortaleza,2026,-3.7268959,-38.4742606,85986249975,Segunda-feira: 18h – 23h | Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 18h – 0h,juju-boa-ideia_arraia-tropicana.jpg,"[{""nome"":""Arraia Tropicana"",""descricao"":""Pimentão recheado de arraia e alho-poró, acompanhado de farofa de banana."",""foto"":""juju-boa-ideia_arraia-tropicana.jpg""}]",https://comidadibuteco.com.br/buteco/juju-boa-ideia/
8,long-beer,Long Beer,"R. Bélgica, 1050 - A",Maraponga,Fortaleza,fortaleza,2026,-3.7901247,-38.566023,85998519788,Terça-feira: 16h – 0h | Quarta-feira: 16h – 0h | Quinta-feira: 16h – 1h | Sexta-feira: 16h – 1h | Sábado: 16h – 1h,long-beer_jeitinho-nordestino.jpg,"[{""nome"":""Jeitinho nordestino"",""descricao"":""Purê de abobrinha com carne de costela ao molho, acompanhado de brócolis ao requeijão empanado com Doritos e salada de repolho, abacaxi e manga."",""foto"":""long-beer_jeitinho-nordestino.jpg""}]",https://comidadibuteco.com.br/buteco/long-beer/
9,mar-de-rosas,Mar de Rosas,"Rua dos Tabajaras, 542",Praia de Iracema,Fortaleza,fortaleza,2026,-3.7197786,-38.5150068,85986063389,Terça-feira: 11h – 22h | Quarta-feira: 11h – 22h | Quinta-feira: 11h – 22h | Sexta-feira: 11h – 22h | Sábado: 11h – 22h | Domingo: 11h – 16h,mar-de-rosas_charutinho-do-mar.jpg,"[{""nome"":""Charutinho do Mar"",""descricao"":""Charuto de repolho recheado com beijupirá, pimenta-de-cheiro e especiarias. Acompanhado por molho de tucupi e pimentão vermelho."",""foto"":""mar-de-rosas_charutinho-do-mar.jpg""}]",https://comidadibuteco.com.br/buteco/mar-de-rosas/
10,morerinha-grill,Moreirinha Grill,"Rua Recanto Tranquilo, 310",Itaperi,Fortaleza,fortaleza,2026,-3.7916955,-38.5456745,85981392663,Quarta-feira: 10h – 19h | Quinta-feira: 10h – 19h | Sexta-feira: 10h – 20h | Sábado: 10h – 20h | Domingo: 10h – 20h,moreirinha-grill_do-pato-ao-prato.png,"[{""nome"":""Do Pato ao Prato"",""descricao"":""Pato ao molho com cuscuz e alho-poró."",""foto"":""moreirinha-grill_do-pato-ao-prato.png""}]",https://comidadibuteco.com.br/buteco/morerinha-grill/
