id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,1960-bar,1960 Bar,"Rua 237, 307",Setor Coimbra,Goiás,goias,2026,-16.6833935,-49.2805141,62992362753,Segunda-feira: 18h – 22h | Terça-feira: 18h – 22h | Quarta-feira: 18h – 22h | Quinta-feira 18h – 22h _ Sexta-feira: 18h – 22h | Sábado: 12h – 16h,1960-bar_rabo-do-popeye.jpg,"[{""nome"":""Rabo do Popeye"",""descricao"":""Croqueta de rabada com alho-poró recheada com cream cheese de espinafre."",""foto"":""1960-bar_rabo-do-popeye.jpg""}]",https://comidadibuteco.com.br/buteco/1960-bar/
2,bar-do-rochinha,Bar do Rochinha,"Avenida R 11, 240",Setor Oeste,Goiás,goias,2026,-16.6876406,-49.2739679,6236385296,Segunda-feira: 18h – 23h30 | Terça-feira: 18h – 23h30 | Quarta-feira: 18h – 23h30 | Quinta-feira: 18h – 23h30 | Sexta-feira: 18h – 23h30,bar-do-rochinha_charutinho-tropical.jpg,"[{""nome"":""Charutinho tropical"",""descricao"":""Costelinha suína envolvida no repolho com couve crispy, acompanhada de geleia picante de abacaxi."",""foto"":""bar-do-rochinha_charutinho-tropical.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-rochinha/
3,bar-dodo,Bar Dodô,"Rua Horizonte, 160",Setor Aeroviário,Goiás,goias,2026,-16.6632238,-49.307872,6236120605,Segunda-feira: 17h – 0h | Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 12h – 23h30,bar-dodo_lampiao-e-maria-bonita.jpg,"[{""nome"":""Lampião e Maria Bonita"",""descricao"":""Croquete de cabotiá e taioba com maionese de manteiga do sertão e dadinho de tapioca com geleia de abacaxi e rapadura."",""foto"":""bar-dodo_lampiao-e-maria-bonita.jpg""}]",https://comidadibuteco.com.br/buteco/bar-dodo/
4,bar-frango-gaucho,Bar Frango Gaúcho,"Av. C 104, 1644",Jardim América,Goiás,goias,2026,-16.7049557,-49.289967,6232863626,Segunda-feira: 11h30 – 23h | Terça-feira: 11h30 – 23h | Quarta-feira: 11h30 – 23h | Quinta-feira: 11h30 – 23h | Sexta-feira: 11h30 – 23h | Sábado: 11h30 – 23h | Domingo: 11h30 – 23h,bar-frango-gaucho_croquete-do-popeye.jpg,"[{""nome"":""Croquete do Popeye"",""descricao"":""Croquete com massa de mandioca, recheado com carne, espinafre e queijo parmesão."",""foto"":""bar-frango-gaucho_croquete-do-popeye.jpg""}]",https://comidadibuteco.com.br/buteco/bar-frango-gaucho/
5,bar-ponto-18,Bar Ponto 18,"Rua 21, 133",Setor Central,Goiás,goias,2026,-16.6751559,-49.249871,6232252673,Segunda-feira: 16h – 23h30 | Terça-feira: 16h – 23h30 | Quarta-feira: 16h – 23h30 | Quinta-feira: 16h – 23h30 | Sexta-feira: 16h – 23h30 | Sábado: 11h – 23h30,bar-ponto-18_verdosa.jpg,"[{""nome"":""Verdosa"",""descricao"":""Coxinhas recheadas com lagarto desfiado e queijo muçarela. Acompanham: molho verde de hortelã e sobremesa de doce de mamão com hortelã."",""foto"":""bar-ponto-18_verdosa.jpg""}]",https://comidadibuteco.com.br/buteco/bar-ponto-18/
6,barbosa-estufa-brasa,Barbosa Estufa & Brasa,Avenida dos Flamboyants,Parque das Laranjeiras,Goiás,goias,2026,-16.7269724,-49.2296562,62992395056,Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 12h – 0h | Domingo: 12h – 0h,barbosa-estufa-brasa_barbositos.jpg,"[{""nome"":""Barbositos"",""descricao"":""Croqueta de linguiça desconstruída, com requeijão moreno. Acompanha geleia de pimenta."",""foto"":""barbosa-estufa-brasa_barbositos.jpg""}]",https://comidadibuteco.com.br/buteco/barbosa-estufa-brasa/
7,bendito-bar-e-restaurante,Bendito Bar e Restaurante,"Av. Barão do Rio Branco, 27",Jardim Luz,Goiás,goias,2026,-16.7485089,-49.2782022,62991000449,Segunda-feira: 10h – 15h | Terça-feira: 10h – 0h | Quarta-feira: 10h – 0h | Quinta-feira: 10h – 0h | Sexta-feira: 10h – 0h | Sábado: 10h – 0h | Domingo: 10h – 0h,bendito-bar-e-restaurante_bendita-tapas.jpg,"[{""nome"":""Bendita Tapas"",""descricao"":""Pastel aberto recheado com carne temperada e pimentões, coberta com alho-poró crocante."",""foto"":""bendito-bar-e-restaurante_bendita-tapas.jpg""}]",https://comidadibuteco.com.br/buteco/bendito-bar-e-restaurante/
8,5495-revision-v1,Bistrô Chica Doida,"Av. Virgílio Joaquim Ferreira, 23",Parque Flamboyant,Goiás,goias,2026,-16.7359795,-49.2172998,6230853508,Terça-feira: 18h – 0h | Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 11h30 – 0h | Domingo: 11h30 – 16h,bistro-chica-doida_tira-teima.jpg,"[{""nome"":""Tira-Teima"",""descricao"":""Picanha assada na brasa com batatas rústicas com ervas. Acompanhada de molho verde finalizado com folhas de rúcula."",""foto"":""bistro-chica-doida_tira-teima.jpg""}]",https://comidadibuteco.com.br/buteco/5495-revision-v1/
9,boteco-corro-e-gigi,Boteco Corró e Gigi,Rua dos Eucaliptos,Loteamento Alphaville Residencial,Goiás,goias,2026,-16.7294183,-49.3754865,62982708334,Terça-feira: 16h – 22h | Quarta-feira: 16h – 22h | Quinta-feira: 8h – 22h | Sexta-feira: 8h – 22h | Sábado: 8h – 22h | Domingo: 8h – 22h,boteco-corro-e-gigi_almondegas-sertanejas.jpg,"[{""nome"":""Almôndegas sertanejas"",""descricao"":""Almôndega de carne e bacon, recheada com muçarela ao molho de tomate e creme de batata."",""foto"":""boteco-corro-e-gigi_almondegas-sertanejas.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-corro-e-gigi/
10,boteco-do-mala,Boteco do Mala,"Av. Niemeyer, 162",Jardim Buriti Sereno,Goiás,goias,2026,-16.6850159,-49.2986253,62994889853,Terça-feira: 17h30 – 0h | Quarta-feira: 17h30 – 0h | Quinta-feira: 17h30 – 0h | Sexta-feira: 17h30 – 0h | Sábado: 17h30 – 0h | Domingo: 17h30 – 0h,boteco-do-mala_hoje-eu-to-crocante.jpg,"[{""nome"":""Hoje Eu Tô Crocante"",""descricao"":""Cestinha crocante, recheada com costela, brócolis e molho siciliano finalizado com couve Crisp, pimenta-biquinho e azeitona."",""foto"":""boteco-do-mala_hoje-eu-to-crocante.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-do-mala/
