id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,350-lanches,350 Lanches,"R. Albano Schmidt, 1061",Boa Vista,Joinville,joinville,2026,-26.3069235,-48.826462,4799019151,Segunda-feira: 17h – 0h | Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h,350-lanches_crispy-real.jpg,"[{""nome"":""Crispy Real"",""descricao"":""Filé de peito de frango empanado na farinha panko e alho-poró. Acompanha molho de maionese da casa e molho de maionese com mostarda e tay sweet chilli."",""foto"":""350-lanches_crispy-real.jpg""}]",https://comidadibuteco.com.br/buteco/350-lanches/
2,alho-e-menta-e-acaideira,Alho e Menta e Açaideira,"Rua Mário César Machado dos Santos, 358",Fátima,Joinville,joinville,2026,-26.3315526,-48.8177865,47999538981,Segunda-feira: 18h – 0h | Terça-feira: 18h – 0h | Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 18h – 0h,alho-e-menta-e-acaideira_maria-mineira.jpg,"[{""nome"":""Maria Mineira"",""descricao"":""Bolinhos de feijoada recheados com bacon, servidos com torresmos à pururuca e costelinha suína ao molho barbecue. Acompanham creme de alho e molho barbecue."",""foto"":""alho-e-menta-e-acaideira_maria-mineira.jpg""}]",https://comidadibuteco.com.br/buteco/alho-e-menta-e-acaideira/
3,bar-do-adolfo,Bar do Adolfo,"R. Alagoas, 303",Anita Garibaldi,Joinville,joinville,2026,-26.316979,-48.8533534,4734330175,Segunda-feira: 16h – 0h | Terça-feira: 16h – 0h | Quarta-feira: 16h – 0h | Quinta-feira: 16h – 0h | Sexta-feira: 16h – 0h | Sábado: 10h – 15h,bar-do-adolfo_chapeado-do-adolfo.jpg,"[{""nome"":""Chapeado do Adolfo"",""descricao"":""Chapeado de carne, verdura, legumes e molho shoyu, acompanhado de fatias de pão francês com queijo gratinado."",""foto"":""bar-do-adolfo_chapeado-do-adolfo.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-adolfo/
4,boteco-do-jota,Boteco do Jota,"Rua Xanxerê, 667",Saguaçu,Joinville,joinville,2026,-26.2733998,-48.8400768,47996080089,Terça-feira: 16h – 22h | Quarta-feira: 16h – 22h | Quinta-feira: 16h – 22h | Sexta-feira: 16h – 22h | Sábado: 11h – 22h | Domingo: 11h – 20h,boteco-do-jota_boi-no-poro.jpg,"[{""nome"":""Boi no Poró"",""descricao"":""Pastel de costela bovina com alho-poró. Acompanha molho vinagrete."",""foto"":""boteco-do-jota_boi-no-poro.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-do-jota/
5,casa-amarela-2,Casa Amarela,"R. Dona Francisca, 773",Saguaçu,Joinville,joinville,2026,-26.2951063,-48.8419772,4732711377,Segunda-feira: 11h – 23h | Terça-feira: 11h – 23h | Quarta-feira: 11h – 23h | Quinta-feira: 11h – 0h | Sexta-feira: 11h – 0h | Sábado: 11h – 0h,casa-amarela_camarao-crocante.jpg,"[{""nome"":""Camarão Crocante"",""descricao"":""Camarões brancos temperados e envoltos no tempurá e panko, acompanhados de batatas rústicas da casa e molhos."",""foto"":""casa-amarela_camarao-crocante.jpg""}]",https://comidadibuteco.com.br/buteco/casa-amarela-2/
6,dovah-lanches-e-shawarmas,Dovah Lanches e Shawarmas,"R. Graciosa, 935",Guanabara,Joinville,joinville,2026,-26.3196602,-48.8314284,47999772078,Segunda-feira: 18h – 23h30 | Terça-feira: 18h – 23h30 | Quarta-feira: 18h – 23h30 | Quinta-feira: 18h – 23h30 | Sexta-feira: 18h – 23h30 | Sábado: 18h – 23h30 | Domingo: 18h – 23h30,dovah-lanches-e-shawarmas_lanchinhos-da-nick.jpg,"[{""nome"":""Lanchinhos da Nick"",""descricao"":""Minishawarma de frango e costela, acompanhado de molho caseiro e creme de alho."",""foto"":""dovah-lanches-e-shawarmas_lanchinhos-da-nick.jpg""}]",https://comidadibuteco.com.br/buteco/dovah-lanches-e-shawarmas/
7,empadas-jerke,Empadas Jerke,"R. Doutor João Colin, 393",Centro,Joinville,joinville,2026,-26.2978087,-48.8480179,4734223739,Segunda-feira: 07h30 – 21h | Terça-feira: 7h30 – 21h | Quarta-feira: 7h30 – 21h | Quinta-feira: 7h30 – 21h | Sexta-feira: 7h30 – 21h | Sábado: 7h30 – 19h,empadas-jerke_camaraomelete.jpg,"[{""nome"":""CamarãOmelete"",""descricao"":""Omelete de camarão com alho-poró  e manjericão. Acompanha geleia de pimenta sweet chilli e torradas."",""foto"":""empadas-jerke_camaraomelete.jpg""}]",https://comidadibuteco.com.br/buteco/empadas-jerke/
8,espaco-sabor-2,Espaço Sabor,"R. Ricardo Stamm Gomes, 27 - Pça. Hercílio Luz",Bucarein,Joinville,joinville,2026,-26.3059915,-48.8402092,4730282260,Segunda-feira: 10h – 15h | Terça-feira: 10h – 19h30 | Quarta-feira: 10h – 19h30 | Quinta-feira: 10h – 19h30 | Sexta-feira: 10h – 19h30 | Sábado: 10h – 19h30,espaco-sabor_ambulante.jpg,"[{""nome"":""Ambulante"",""descricao"":""Cubos de alcatra mesclados com queijo, servidos em minipães franceses, com brotos de trevo."",""foto"":""espaco-sabor_ambulante.jpg""}]",https://comidadibuteco.com.br/buteco/espaco-sabor-2/
9,holy-meat,Holy Meat,"Rua Tijucas, 386",Centro,Joinville,joinville,2026,-26.296533,-48.8437787,4732026163,Terça-feira: 18h – 22h30 | Quarta-feira: 18h – 22h30 | Quinta-feira: 18h – 22h30 | Sexta-feira: 18h – 22h30 | Sábado: 18h – 22h30 | Domingo: 11h – 14h,holy-meat_dadinhos-de-tapioca-e-brocolis.jpg,"[{""nome"":""Dadinhos de Tapioca e Brócolis"",""descricao"":""Dadinhos de tapioca com brócolis, linguiça Blumenau e queijo coalho. Com aioli de alho confitado, geleia de laranja com pimenta e crispy de alho-poró."",""foto"":""holy-meat_dadinhos-de-tapioca-e-brocolis.jpg""}]",https://comidadibuteco.com.br/buteco/holy-meat/
10,joe-tekila,Joe Tekila,"R. Santa Catarina, 2349",Floresta,Joinville,joinville,2026,-26.3463918,-48.8470697,47999488449,Segunda-feira: 18h – 23h | Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h,joe-tekila_sabor-escondido.jpg,"[{""nome"":""Sabor Escondido"",""descricao"":""Petisco de boteco, escondidinho verde de camarão com alho-poró."",""foto"":""joe-tekila_sabor-escondido.jpg""}]",https://comidadibuteco.com.br/buteco/joe-tekila/
