id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,adega-bar,Adega Bar,"Av. Dr. Francisco Álvares de Assis, 490",Retiro,Juiz de Fora,juiz-de-fora,2026,-21.7819825,-43.2989466,32988931082,Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 12h – 0h | Domingo: 12h – 23h | Terça-feira: 18h – 23h,adega-bar_caruru-mineiro.jpg,"[{""nome"":""Caruru mineiro"",""descricao"":""Uma fusão da Bahia com Minas: caruru de taioba, finalizado com maçã de peito cozida. O sabor do dendê e da castanha se encontram com a taioba e a maçã de peito cozida na panela, resultando em um petisco raiz e cheio de brasilidade."",""foto"":""adega-bar_caruru-mineiro.jpg""}]",https://comidadibuteco.com.br/buteco/adega-bar/
2,3695-revision-v1,Bar Dias,"R. Luiz Rocha, 2",Santa Terezinha,Juiz de Fora,juiz-de-fora,2026,-21.7322716,-43.3644453,,Segunda-feira: 10h – 23h | Terça-feira: 10h – 23h | Quarta-feira: 10h – 23h | Quinta-feira: 10h – 23h | Sexta-feira: 10h – 23h | Sábado: 10h – 23h | Domingo: 10h – 19h,bar-dias_sabor-de-buteco.jpg,"[{""nome"":""Sabor de buteco"",""descricao"":""Nhoque de agrião acompanhado de ragu de rabada e crispim de parmesão."",""foto"":""bar-dias_sabor-de-buteco.jpg""}]",https://comidadibuteco.com.br/buteco/3695-revision-v1/
3,3697-revision-v1,Bar do Abílio,"R. Fonseca Hermes, 180",Centro,Juiz de Fora,juiz-de-fora,2026,-21.7584868,-43.3463655,3232156216,Segunda-feira: 11h – 22h | Terça-feira: 11h – 22h | Quarta-feira: 11h – 22h | Quinta-feira: 11h – 22h | Sexta-feira: 11h – 22h | Sábado: 11h – 16h30,bar-do-abilio_brigadeiro-de-buteco.jpg,"[{""nome"":""Brigadeiro de buteco"",""descricao"":""Bolinho de queijo muçarela e bacon, recheado com espinafre e goiabada cascão, empanado no macarrão cabelo-de-anjo."",""foto"":""bar-do-abilio_brigadeiro-de-buteco.jpg""}]",https://comidadibuteco.com.br/buteco/3697-revision-v1/
4,bar-do-antonio,Bar do Antônio,"R. José Lourenço, 1262",São Pedro,Juiz de Fora,juiz-de-fora,2026,-21.7721739,-43.3831057,32987090353,Terça-feira: 17h – 23h30 | Quarta-feira: 17h – 23h30 | Quinta-feira: 17h – 23h30 | Sexta-feira: 16h – 23h30 | Sábado: 11h – 23h30 | Domingo: 11h – 19h,bar-do-antonio_mostarda-mas-nao-falha.jpg,"[{""nome"":""Mostarda mas não falha"",""descricao"":""Cama de angu da roça temperado, rodeada de mostarda refogada, coroada com polpetas cozidas no molho de tomate artesanal, recheadas de queijo minas meia cura."",""foto"":""bar-do-antonio_mostarda-mas-nao-falha.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-antonio/
5,3699-revision-v1,Bar do Bené,"Rua João Batista Sampaio, 150",São Pedro,Juiz de Fora,juiz-de-fora,2026,-21.7754945,-43.3780193,32988136345,Terça-feira: 16h – 22h | Quarta-feira: 16h – 23h | Quinta-feira: 16h – 23h | Sexta-feira: 16h – 23h | Sábado: 11h30 – 23h30,bar-do-bene_deu-cupim-no-agriao.jpg,"[{""nome"":""Deu cupim no agrião"",""descricao"":""Bolinho de agrião recheado com cupim ao vinho e requeijão."",""foto"":""bar-do-bene_deu-cupim-no-agriao.jpg""}]",https://comidadibuteco.com.br/buteco/3699-revision-v1/
6,3703-revision-v1,Bar do Brejo,"R. Sebastião Garcia, 933",Juiz de Fora - MG,Juiz de Fora,juiz-de-fora,2026,-21.6853297,-43.4361256,3232227802,Terça-feira: 17h30 – 23h | Quarta-feira: 17h30 – 23h | Quinta-feira: 17h30 – 23h | Sexta-feira: 17h30 – 23h | Sábado: 17h30 – 23h,bar-do-brejo_agua-na-boca.jpg,"[{""nome"":""Água na boca"",""descricao"":""Terrine de alho-poró com bacon, acompanhada de torradinhas."",""foto"":""bar-do-brejo_agua-na-boca.jpg""}]",https://comidadibuteco.com.br/buteco/3703-revision-v1/
7,bar-do-jorge,Bar do Jorge,"Av. Pedro Henrique Krambeck, 210",São Pedro,Juiz de Fora,juiz-de-fora,2026,-21.7716521,-43.3801291,32988717429,Terça-feira: 16h – 23h | Quarta-feira: 16h – 23h | Quinta-feira: 16h – 23h | Sexta-feira: 16h – 23h | Sábado: 16h – 23h,bar-do-jorge_confusao-mineira.jpg,"[{""nome"":""Confusão Mineira"",""descricao"":""Bolinhas de queijo com espinafre, recheada com alcatra suína marinada na cerveja preta, com o toque da pimenta calabresa, que traz a picância ideal. Acompanhada de um creme de doce de leite com cachaça, trazendo o equilíbrio perfeito entre o doce, o álcool e a picância."",""foto"":""bar-do-jorge_confusao-mineira.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-jorge/
8,bar-do-marquim,Bar do Marquim,"R. Santo Antônio, 10",Centro,Juiz de Fora,juiz-de-fora,2026,-21.7648243,-43.3502772,(32) 99117-1813 | (32) 3215-2990,Segunda-feira: 17h – 23h | Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 14h – 23h,bar-do-marquim_achadinho.jpg,"[{""nome"":""Achadinho"",""descricao"":""Costela bovina cozida, refogada na cebola, tomate e agrião, servida com purê de mandioca cremoso e requeijão."",""foto"":""bar-do-marquim_achadinho.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-marquim/
9,bar-do-passarinho,Bar do Passarinho,"R. Rafael Zacarias, 500",Democrata,Juiz de Fora,juiz-de-fora,2026,-21.7482867,-43.3652109,32984021410,Quinta-feira: 18h – 22h | Sexta-feira: 18h – 22h | Sábado: 11h – 22h | Domingo: 11h – 16h,bar-do-passarinho_coracao-da-baronesa.jpg,"[{""nome"":""Coração da Baronesa"",""descricao"":""Coração refogado no alho, acompanhado de torresmo de barriga feito no bafo e brócolis no ponto certo do cozimento. Para equilibrar o prato, uma geleia de rapadura levemente apimentada."",""foto"":""bar-do-passarinho_coracao-da-baronesa.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-passarinho/
10,bar-do-tiao-3,Bar do Tião,"Rua José Appolônio dos Reis, 312",Aeroporto,Juiz de Fora,juiz-de-fora,2026,-21.7836447,-43.3791932,(32) 988471235,Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 15h30 – 23h | Segunda-feira: 17h – 23h | Domingo: 12h – 18h,bar-do-tiao_cestinha-de-sabor.jpg,"[{""nome"":""Cestinha de sabor"",""descricao"":""Cestinha de arroz recheada com paleta desfiada e creme de espinafre."",""foto"":""bar-do-tiao_cestinha-de-sabor.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-tiao-3/
11,10328-revision-v1,Bar do Torresmo,"Av. Darcy Vargas, 31",Ipiranga,Juiz de Fora,juiz-de-fora,2026,-21.7939277,-43.350252,32988215465,Terça-feira: 16h – 23h | Quarta-feira: 16h – 23h | Quinta-feira: 16h – 23h | Sexta-feira: 16h – 23h | Sábado: 16h – 23h,bar-do-torresmo_mega-galhao-de-sabor.jpg,"[{""nome"":""Mega-galhão de sabor"",""descricao"":""medalhão de pernil suína com repolho, recheado com catupiry e espinafre, empanado com farinha Panko e enrolado no bacon com o acompanhamento de um molho shoyu"",""foto"":""bar-do-torresmo_mega-galhao-de-sabor.jpg""}]",https://comidadibuteco.com.br/buteco/10328-revision-v1/
12,bar-du-buneco,Bar Du Buneco,"R. Eugênio Fontainha, 337",Manoel Honório,Juiz de Fora,juiz-de-fora,2026,-21.7413578,-43.3487739,3232379153,Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h30 | Quinta-feira: 17h – 23h30 | Sexta-feira: 17h – 23h30 | Sábado: 12h – 23h30 | Domingo: 12h – 21h,bar-du-buneco_oia-que-trem-bao.jpg,"[{""nome"":""Óia que Trem Bão"",""descricao"":""Óia que Trem Bão: polenta de milho em cubos fritos, servidos com um saboroso ragu de linguiça e bacon, com um frescor de um chimichurri de folhas verdes de agrião e espinafre e finalizado com tomate-cereja confitado."",""foto"":""bar-du-buneco_oia-que-trem-bao.jpg""}]",https://comidadibuteco.com.br/buteco/bar-du-buneco/
13,bar-du-chico,Bar Du Chico,"Av. Olegário Maciel, 1147",Paineiras,Juiz de Fora,juiz-de-fora,2026,-21.7684446,-43.3550443,32988994484,Terça-feira: 16h – 23h | Quarta-feira: 16h – 23h | Quinta-feira: 16h – 23h | Sexta-feira: 16h – 23h | Sábado: 16h – 23h | Domingo: 12h – 23h,bar-du-chico_porquinho-da-roca.jpg,"[{""nome"":""Porquinho da roça"",""descricao"":""Bolinho de pernil recheado com couve e bacon. Acompanha geleia de pimenta."",""foto"":""bar-du-chico_porquinho-da-roca.jpg""}]",https://comidadibuteco.com.br/buteco/bar-du-chico/
14,bar-santa-moderacao,Bar Santa Moderação,"R. Torreões, 57",Santa Luzia,Juiz de Fora,juiz-de-fora,2026,-21.786728,-43.3446396,(32) 99942-6767 | (32) 98702-3054,Terça-feira: 18h – 22h | Quarta-feira: 18h – 22h | Quinta-feira: 18h – 22h | Sexta-feira: 18h – 22h | Sábado: 14h – 22h,bar-santa-moderacao_vulcao-de-sabores.jpg,"[{""nome"":""Vulcão de Sabores"",""descricao"":""Carne moída modelada à mão, com recheio de muçarela e mostarda, acompanhada de molho de abacaxi com pimenta."",""foto"":""bar-santa-moderacao_vulcao-de-sabores.jpg""}]",https://comidadibuteco.com.br/buteco/bar-santa-moderacao/
15,batata-d-mola,Batata D’ Mola,"Av. dos Andradas, 183",Centro,Juiz de Fora,juiz-de-fora,2026,-21.7547113,-43.3513443,3230260080,Segunda-feira: 17h – 23h | Terça-feira: 17h – 23h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h | Domingo: 17h – 23h,batata-d-mola_lombao-uai.jpg,"[{""nome"":""LomBÃO, Uai!"",""descricao"":""Lombo assado, servido ao molho pomodoro com couve refogada na manteiga, acompanha polenta frita e creme de moranga."",""foto"":""batata-d-mola_lombao-uai.jpg""}]",https://comidadibuteco.com.br/buteco/batata-d-mola/
16,birosca,Birosca,"R. Profa. Dalva Menezes, 23",Juiz de Fora - MG,Juiz de Fora,juiz-de-fora,2026,-21.753579,-43.358713,32985224254,Terça-feira: 16h – 23h | Quarta-feira: 16h – 23h | Quinta-feira: 16h – 23h | Sexta-feira: 16h – 23h | Sábado: 12h – 22h | Domingo: 12h – 21h,birosca_verdinho-e-bochecha.jpg,"[{""nome"":""Verdinho e Bochecha"",""descricao"":""Bochecha de porco marinada e cozida lentamente, servida ao próprio molho. Acompanhada de farofa de flocos de milho e crispy de folha do brócolis, brócolis salteado e picles de cebola-roxa."",""foto"":""birosca_verdinho-e-bochecha.jpg""}]",https://comidadibuteco.com.br/buteco/birosca/
17,budega-do-papai,Budega do Papai,"R. Paracatu, 349",Santa Terezinha,Juiz de Fora,juiz-de-fora,2026,-21.7337927,-43.3577545,32998842970,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 12h – 23h | Domingo: 11h – 17h,budega-do-papai_budega-raiz.jpg,"[{""nome"":""Budega raiz"",""descricao"":""Costelinha de porco marinada em temperos especiais, acompanhada de polenta cremosa com toque de muçarela e finalizada com couve refogada salteada com alho, trazendo um toque de frescor e um contraste de texturas que eleva o prato a uma experiência única."",""foto"":""budega-do-papai_budega-raiz.jpg""}]",https://comidadibuteco.com.br/buteco/budega-do-papai/
