id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,assada-shangri-la,Assada Shangri-lá,"Rua Visconde de Mauá, 168",Londrina - PR,Londrina,londrina,2026,-23.3007172,-51.1754701,4333270805,Segunda-feira: 08h30 – 17h30 | Terça-feira: 07h30 – 18h30 | Quarta-feira: 07h30 – 18h30 | Quinta-feira: 07h30 – 18h30 | Sexta-feira: 07h30 – 18h30 | Sábado: 07h30 – 18h30 | Domingo: 07h30 – 12h30,assada-shangri-la_tempura-de-camarao-e-legumes.jpg,"[{""nome"":""Tempurá de camarão e legumes"",""descricao"":""Camarões com legumes frescos, empanados na tradicional massa japonesa e fritos até dourar."",""foto"":""assada-shangri-la_tempura-de-camarao-e-legumes.jpg""}]",https://comidadibuteco.com.br/buteco/assada-shangri-la/
2,bar-do-paulista,Bar do Paulista,"Rua Jorge Velho, 221",Centro,Londrina,londrina,2026,-23.3219436,-51.1580432,43996386585,Segunda-feira: 10h – 22h30 | Terça-feira: 10h – 22h30 | Quarta-feira: 10h – 22h30 | Quinta-feira: 10h – 22h30 | Sexta-feira: 10h – 22h30 | Sábado: 10h – 19h,bar-do-paulista_file-mignon-suino-com-brocolis.jpg,"[{""nome"":""Filé-mignon suíno com brócolis"",""descricao"":""Filé-mignon suíno ao molho shoyu com brócolis."",""foto"":""bar-do-paulista_file-mignon-suino-com-brocolis.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-paulista/
3,bar-do-valter,Bar do Valter,"Rua Belém, 245",Centro,Londrina,londrina,2026,-23.3044224,-51.1580084,43984489137,Segunda-feira: 9h – 21h | Terça-feira: 9h – 21h | Quarta-feira: 9h – 21h | Quinta-feira: 9h – 21h | Sexta-feira: 9h – 21h | Sábado: 9h – 21h | Domingo: 10h – 15h,bar-do-valter_petisco-comida-di-buteco.jpg,"[{""nome"":""Petisco Comida di Buteco"",""descricao"":""Porção de linguiça acebolada flambada na cachaça, torresmo de pancetta, tulipinha de frango à milanesa, torresmo de toucinho à pururuca. Acompanhada de salada de repolho agridoce, molho rosé à moda da casa, molho de pimenta, farinha e limão."",""foto"":""bar-do-valter_petisco-comida-di-buteco.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-valter/
4,bar-sao-vicente-2,Bar São Vicente,"Rua São Vicente, 1173",Jardim Palmares,Londrina,londrina,2026,-23.3003701,-51.1602627,43996078426,Segunda-feira: 17h – 22h30 | Terça-feira: 17h – 22h30 | Quarta-feira: 17h – 22h30 | Quinta-feira: 17h – 22h30 | Sexta-feira: 17h – 22h30 | Sábado: 12h – 21h,bar-sao-vicente_trio-blumenau.jpg,"[{""nome"":""Trio Blumenau"",""descricao"":""Bolinho de linguiça tipo Blumenau com provolone, pera e agrião. Acompanha geleia de pera com pimenta e maionese de alecrim e limão-rosa."",""foto"":""bar-sao-vicente_trio-blumenau.jpg""}]",https://comidadibuteco.com.br/buteco/bar-sao-vicente-2/
5,barile-bar,Barile Bar,"Rua Paranaguá, 1146",Centro,Londrina,londrina,2026,-23.3194654,-51.1692424,4333231800,Terça-feira: 16h30 – 0h | Quarta-feira: 16h30 – 0h | Quinta-feira: 16h30 – 0h | Sexta-feira: 16h30 – 0h | Sábado: 11h – 0h,barile-bar_barquinha-de-espinafre.jpg,"[{""nome"":""Barquinha de espinafre"",""descricao"":""Porção de seis barquinhas de carne suína moída, feita com espinafre, temperos e especiarias, moldadas em forma de barquinho, fritas e cobertas com creme de queijo. Acompanha molho de pimenta da casa e vinagrete de abacaxi."",""foto"":""barile-bar_barquinha-de-espinafre.jpg""}]",https://comidadibuteco.com.br/buteco/barile-bar/
6,bem-dito-bar,Bem Dito Bar,"Rua Araguaia, 43",Vila Nova,Londrina,londrina,2026,-23.2990548,-51.1680761,43991557999,Terça-feira: 17h30 – 22h | Quarta-feira: 17h30 – 22h | Quinta-feira: 17h30 – 22h | Sexta-feira: 17h30 – 22h | Sábado: 17h30 – 22h | Domingo: 17h30 – 22h,bem-dito-bar_carne-de-onca-com-creme-de-espinafre.jpg,"[{""nome"":""Carne de onça com creme de espinafre"",""descricao"":""Carne bovina magra moída, temperada com especiarias, servida em fatias de pão baguete, com uma camada de creme especial de espinafre, salpicada com farofinha de folhas de espinafre desidratado e fios de cebola-roxa."",""foto"":""bem-dito-bar_carne-de-onca-com-creme-de-espinafre.jpg""}]",https://comidadibuteco.com.br/buteco/bem-dito-bar/
7,chik-grill-petiscaria,Chik Grill Petiscaria,"Avenida Saul Elkind, 2244",Londrina - PR,Londrina,londrina,2026,-23.2609229,-51.1870258,4330377637,Segunda-feira: 11h – 23h | Terça-feira: 11h – 23h | Quarta-feira: 11h – 23h | Quinta-feira: 11h – 23h | Sexta-feira: 11h – 23h | Sábado: 11h – 23h | Domingo: 11h – 16h |,chik-grill-petiscaria_palitinho-de-espinafre-a-quatro-queijos.jpg,"[{""nome"":""Palitinho de espinafre a quatro queijos"",""descricao"":""Palitinho de espinafre a quatro queijos: muçarela, parmesão, ricota e provolone. Acompanhado de purê de batata-doce e geleia de pimenta e maçã."",""foto"":""chik-grill-petiscaria_palitinho-de-espinafre-a-quatro-queijos.jpg""}]",https://comidadibuteco.com.br/buteco/chik-grill-petiscaria/
8,churraskin-espetaria-e-choperia,Churraskin Espetaria e Choperia,"Avenida Celso Garcia Cid, 330",Centro,Londrina,londrina,2026,-23.313932,-51.1514536,43988078291,Segunda-feira: 17h – 0h | Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h,churraskin-espetaria-e-choperia_bolinho-de-feijoada.jpg,"[{""nome"":""Bolinho de feijoada"",""descricao"":""Bolinho de feijoada com geleia de laranja com pimenta."",""foto"":""churraskin-espetaria-e-choperia_bolinho-de-feijoada.jpg""}]",https://comidadibuteco.com.br/buteco/churraskin-espetaria-e-choperia/
9,cicero-grill,Cícero Grill,"Rua Figueira, 822",Jd. Santa Rita,Londrina,londrina,2026,-23.2829983,-51.1963275,(43) 3348-6938 | (43) 99159-8262,Segunda-feira: 14h – 23h30 | Terça-feira: 14h – 23h30 | Quarta-feira: 14h – 23h30 | Quinta-feira: 14h – 23h30 | Sexta-feira: 14h – 23h30 | Sábado: 14h – 23h30,cicero-grill_panceta-a-pururuca.jpg,"[{""nome"":""Panceta à pururuca"",""descricao"":""Panceta à pururuca, acompanha molhos de alho-poró e cenoura."",""foto"":""cicero-grill_panceta-a-pururuca.jpg""}]",https://comidadibuteco.com.br/buteco/cicero-grill/
10,distrito-43-gastrobar-2,Distrito 43 Gastrobar,"Avenida Garibaldi Deliberador, 800",Parque Residencial Alcântara,Londrina,londrina,2026,-23.340801,-51.1694323,4333613343,Terça-feira: 17h30 – 22h30 | Quarta-feira: 17h30 – 22h30 | Quinta-feira: 17h30 – 22h30 | Sexta-feira: 17h30 – 22h30 | Sábado: 17h30 – 22h30,distrito-43-gastrobar_bolinho-cremoso-de-calabresa-e-alho-poro.jpg,"[{""nome"":""Bolinho cremoso de calabresa e alho-poró"",""descricao"":""Bolinho cremoso de calabresa e alho-poró."",""foto"":""distrito-43-gastrobar_bolinho-cremoso-de-calabresa-e-alho-poro.jpg""}]",https://comidadibuteco.com.br/buteco/distrito-43-gastrobar-2/
11,duda-bar-espetaria,Duda Bar & Espetaria,"Rua Rio Paraná, 198",Jardim do Café,Londrina,londrina,2026,-23.2948028,-51.2490596,43996479074,Segunda-feira: 18h – 23h | Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h,duda-bar-espetaria_trio-porkpan.jpg,"[{""nome"":""Trio Porkpan"",""descricao"":""Releitura do clássico choripán, feito na brasa com pão francês crocante recheado com muçarela, um blend suíno artesanal e chimichurri de alho-poró, acompanha abacaxi em pedaços com sal, mel e raspas de limão."",""foto"":""duda-bar-espetaria_trio-porkpan.jpg""}]",https://comidadibuteco.com.br/buteco/duda-bar-espetaria/
