id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,armonico-bar,Armônico Bar,"R. Dr. Saulo Porto Virmond, 478 - A",Chácara Paulista,Maringá,maringa,2026,-23.4412381,-51.9285775,44988317340,Terça-feira: 18h – 0h | Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 18h – 0h | Domingo: 18h – 0h,armonico-bar_pastel-armonico.jpg,"[{""nome"":""Pastel Armônico"",""descricao"":""Porção com quatro pastéis empanados e recheados de carne-seca com alho-poró. Acompanha maionese de alho."",""foto"":""armonico-bar_pastel-armonico.jpg""}]",https://comidadibuteco.com.br/buteco/armonico-bar/
2,atari-bar,Atari bar,"Av. Prudente de Morais, 945",Maringá - PR,Maringá,maringa,2026,-23.4158298,-51.94142,(44) 3040-4185 | (44) 99700-5767,Quarta-feira: 18h – 23h30 | Quinta-feira: 18h – 23h30 | Sexta-feira: 18h – 0h | Sábado: 18h – 0h | Domingo: 17h – 23h,atari-bar_coxinha-cremosa-de-frango-com-espinafre.jpg,"[{""nome"":""Coxinha cremosa de frango com espinafre"",""descricao"":""Coxinha de frango e espinafre em textura cremosa e com casquinha crocante. Acompanha maionese de rúcula com picles."",""foto"":""atari-bar_coxinha-cremosa-de-frango-com-espinafre.jpg""}]",https://comidadibuteco.com.br/buteco/atari-bar/
3,bar-do-clebinho,Bar do Clebinho,"Av. Paranavaí, 697",Maringá - PR,Maringá,maringa,2026,-23.4247894,-51.969447,44991090661,Segunda-feira: 16h – 23h | Terça-feira: 16h – 23h | Quarta-feira: 16h – 23h | Quinta-feira: 16h – 23h | Sexta-feira: 16h – 23h | Sábado: 11h – 23h,bar-do-clebinho_medalhao-de-couve.jpg,"[{""nome"":""Medalhão de couve"",""descricao"":""Folha de couve enrolada com uma fatia de queijo e bacon, empanada até ficar crocante. Acompanha dois molhos: uma pasta de pimenta com limão e uma maionese de rúcula cremosa."",""foto"":""bar-do-clebinho_medalhao-de-couve.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-clebinho/
4,bar-do-ponce,Bar do Ponce,"R. La Paz, 1055",Vila Morangueira,Maringá,maringa,2026,-23.4127357,-51.9079843,4432683915,Quarta-feira: 14h – 22h | Quinta-feira: 14h – 22h | Sexta-feira: 14h – 22h | Sábado: 10h30 – 19h30,bar-do-ponce_arancini-de-carreteiro.jpg,"[{""nome"":""Arancini de carreteiro"",""descricao"":""Bolinho de arroz carreteiro da casa, acompanhado de maionese de rúcula e vinagrete de agrião."",""foto"":""bar-do-ponce_arancini-de-carreteiro.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-ponce/
5,boteco-do-binho,Boteco do Binho,"Avenida Tuiuti, 1427",Vila Morangueira,Maringá,maringa,2026,-23.41391,-51.9032206,44998538069,Segunda-feira: 15h – 0h | Terça-feira: 15h – 0h | Quarta-feira: 15h – 0h | Quinta-feira: 15h – 0h | Sexta-feira: 15h – 0h | Sábado: 10h – 0h,boteco-do-binho_rabada-com-agriao.jpg,"[{""nome"":""Rabada com agrião"",""descricao"":""Rabada com polenta e agrião."",""foto"":""boteco-do-binho_rabada-com-agriao.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-do-binho/
6,boteco-do-pinguim,Boteco do Pinguim,"Av. Cerro Azul, 2377",Gleba Ribeirão Pinguim,Maringá,maringa,2026,-23.4589626,-51.9220182,4433544389,Terça-feira: 16h – 0h | Quarta-feira: 16h – 0h | Quinta-feira: 16h – 0h | Sexta-feira: 16h – 0h | Sábado: 16h – 0h | Domingo: 16h – 0h,boteco-do-pinguim_porquinho-crocante.jpg,"[{""nome"":""Porquinho Crocante"",""descricao"":""Pernil suíno desossado, empanado e frito, servido com salada de repolho levemente picante."",""foto"":""boteco-do-pinguim_porquinho-crocante.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-do-pinguim/
7,budega-do-vizinho,Budega do Vizinho,"Av. Alziro Zarur, 919",Vila Vardelina,Maringá,maringa,2026,-23.4010945,-51.9628074,44999929469,Segunda-feira: 17h30 – 23h | Terça-feira: 17h30 – 23h | Quarta-feira: 17h30 – 23h | Quinta-feira: 17h30 – 23h | Sexta-feira: 17h30 – 23h | Sábado: 17h30 – 23h,budega-do-vizinho_tartine-tropical.jpg,"[{""nome"":""Tartine tropical"",""descricao"":""Torrada com guacamole, rúcula, tomate-cereja e queijo muçarela."",""foto"":""budega-do-vizinho_tartine-tropical.jpg""}]",https://comidadibuteco.com.br/buteco/budega-do-vizinho/
8,buteco-do-kaka,Buteco do Kaká,"Av. Colombo, 7282",Maringá - PR,Maringá,maringa,2026,-23.4185665,-51.9716611,44999649732,Segunda-feira: 9h – 13h e 15h – 22h30 | Terça-feira: 9h – 13h e 15h – 22h30 | Quarta-feira: 9h – 13h e 15h – 22h30 | Quinta-feira: 9h – 13h e 15h – 22h30 | Sexta-feira: 9h – 13h e 15h – 22h30,buteco-do-kaka_bolinho-do-boi-bandido.jpg,"[{""nome"":""Bolinho do boi bandido"",""descricao"":""Bolinho de carne bovina recheado com couve e bacon, acompanha geleia de pimenta."",""foto"":""buteco-do-kaka_bolinho-do-boi-bandido.jpg""}]",https://comidadibuteco.com.br/buteco/buteco-do-kaka/
9,buteco-do-ney,Buteco do Ney,"Av. Doutor Alexandre Rasgulaeff, 4175",Jardim Imperial II,Maringá,maringa,2026,-23.3965063,-51.9348301,(44) 99179-3333 | (44) 99964-8023,Segunda-feira: 16h – 0h | Terça-feira: 16h – 0h | Quarta-feira: 16h – 0h | Quinta-feira: 16h – 0h | Sexta-feira: 16h – 0h | Sábado: 11h – 0h | Domingo de 15h à 00h,buteco-do-ney_bolinho-do-buteco.jpg,"[{""nome"":""Bolinho do buteco"",""descricao"":""Bolinho de carne recheado com brócolis, couve-flor e repolho, acompanha maionese verde e molho de pimenta."",""foto"":""buteco-do-ney_bolinho-do-buteco.jpg""}]",https://comidadibuteco.com.br/buteco/buteco-do-ney/
10,casa-do-guina-petiscaria,Casa do Guina Petiscaria,"Avenida Kakogawa, 919",Parque das Bandeiras,Maringá,maringa,2026,-23.3854192,-51.9318961,44999305561,Segunda-feira: 17h – 23h | Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 17h – 23h,casa-do-guina-petiscaria_caldo-verde-do-guina.jpg,"[{""nome"":""Caldo verde do Guina"",""descricao"":""Caldo à base de batatas, com bacon, calabresa e couve, acompanha pão e torradas."",""foto"":""casa-do-guina-petiscaria_caldo-verde-do-guina.jpg""}]",https://comidadibuteco.com.br/buteco/casa-do-guina-petiscaria/
