id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,alhos-e-bugalhos,Alhos e Bugalhos,"R. Desembargador Lima Castro, 66",Fonseca,Rio de Janeiro - Niterói,niteroi,2026,-22.8820354,-43.0858595,21999284160,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 12h – 23h | Domingo: 12h – 17h,alhos-e-bugalhos_na-ponta-da-lingua.jpg,"[{""nome"":""Na Ponta da Língua"",""descricao"":""Cestinha de brócolis recheada com língua bovina desfiada com bacon, flambados na cachaça artesanal. Para equilibrar, um vinagrete de maxixe, laranja e mel."",""foto"":""alhos-e-bugalhos_na-ponta-da-lingua.jpg""}]",https://comidadibuteco.com.br/buteco/alhos-e-bugalhos/
2,alto-da-ilha-bar,Alto da Ilha Bar,"Rua Cruzeiro, 317",Ilha da Conceição,Rio de Janeiro - Niterói,niteroi,2026,-22.8703057,-43.1147864,21983677730,Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 14h – 23h | Domingo: 14h – 23h,alto-da-ilha-bar_do-mar-ao-bar.jpg,"[{""nome"":""Do mar ao bar"",""descricao"":""Caldinho cremoso de frutos do mar com camarões, lula e polvo, que se unem ao sabor do frescor do agrião."",""foto"":""alto-da-ilha-bar_do-mar-ao-bar.jpg""}]",https://comidadibuteco.com.br/buteco/alto-da-ilha-bar/
3,ancoras-itaipu,Âncoras Itaipu,"Praia de Itaipu, 24",Itaipu,Rio de Janeiro - Niterói,niteroi,2026,-22.9719974,-43.0450575,21977304506,Segunda-feira: 10h30 – 16h30 | Terça-feira: 10h30 – 16h30 | Quinta-feira: 10h30 – 16h30 | Sexta-feira: 10h30 – 16h30 | Sábado: 10h30 – 16h30 | Domingo: 10h30 – 16h30,ancoras-itaipu_a-magia-do-buteco.jpg,"[{""nome"":""A Magia do Buteco"",""descricao"":""Dois donuts salgados que lembram sobremesa, mas escondem um recheio cremoso de camarão com catupiry ou salmão com cream cheese. Para acompanhar, maionese rústica de couve com bacon e duas geleias artesanais, abacaxi e maracujá com pimenta."",""foto"":""ancoras-itaipu_a-magia-do-buteco.jpg""}]",https://comidadibuteco.com.br/buteco/ancoras-itaipu/
4,armazem-7-bar-e-pub,Armazém 7 Bar e Pub,"R. Visconde de Morais, 270",Ingá,Rio de Janeiro - Niterói,niteroi,2026,-22.9013949,-43.1254618,21999703590,Terça-feira: 18h – 0h | Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 16h – 0h,armazem-7-bar-e-pub_torresmona.jpg,"[{""nome"":""Torresmona"",""descricao"":""Trouxinhas de repolho recheadas com pimentões coloridos e abobrinha refogada, servidas com torresminhos crocantes de berinjela e acompanhadas de um molho cremoso de alho assado."",""foto"":""armazem-7-bar-e-pub_torresmona.jpg""}]",https://comidadibuteco.com.br/buteco/armazem-7-bar-e-pub/
5,armazem-caranguejo,Armazém do Caranguejo,"R. Visconde de Itaboraí, 196",Centro,Rio de Janeiro - Niterói,niteroi,2026,-22.8860735,-43.1223499,(21) 99571-4234 | (21) 99632-6241,Segunda-feira: 11h – 20h | Terça-feira: 11h – 20h | Quarta-feira: 11h – 20h | Quinta-feira: 11h – 20h | Sexta-feira: 11h – 20h | Sábado: 11h – 20h | Domingo: 11h – 17h,armazem-do-caranguejo_trio-parada-dura.jpg,"[{""nome"":""Trio Parada Dura"",""descricao"":""Bolinho de caranguejo, acompanhado por um molho de cebolas frescas com azeite."",""foto"":""armazem-do-caranguejo_trio-parada-dura.jpg""}]",https://comidadibuteco.com.br/buteco/armazem-caranguejo/
6,armazem-granel,Armazém Granel,"R. Vereador Duque Estrada, 50",Santa Rosa,Rio de Janeiro - Niterói,niteroi,2026,-22.8970069,-43.0985232,2136299629,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 12h – 23h | Sábado: 12h – 23h | Domingo: 12h – 17h,armazem-granel_canape-de-porco-doido-de-lata.jpg,"[{""nome"":""Canapé de Porco Doído de Lata"",""descricao"":""Canapé de pernil de porco da lata desfiado, montado em fatia de pão de fubá com requeijão com salpicão agridoce de acelga."",""foto"":""armazem-granel_canape-de-porco-doido-de-lata.jpg""}]",https://comidadibuteco.com.br/buteco/armazem-granel/
7,bar-da-laura-2,Bar da Laura,"R. Visconde do Uruguai, 183",Centro,Rio de Janeiro - Niterói,niteroi,2026,,,21999814199,Terça-feira: 13h – 22h | Quarta-feira: 13h – 22h | Quinta-feira: 13h – 22h | Sexta-feira: 13h – 22h | Sábado: 12h – 20h | Domingo: 12h – 18h,bar-da-laura_encanto-de-camarao.jpg,"[{""nome"":""Encanto de Camarão"",""descricao"":""Uma empadinha artesanal com massa amanteigada com espinafre, recheada com camarões refogados e creme de catupiry."",""foto"":""bar-da-laura_encanto-de-camarao.jpg""}]",https://comidadibuteco.com.br/buteco/bar-da-laura-2/
8,4054-revision-v1,Bar do Peixe,"Estrada Caetano Monteiro, 1994 - Loja 106",Badu,Rio de Janeiro - Niterói,niteroi,2026,-22.9048877,-43.0517816,21965086264,Terça-feira: 8h – 16h | Quarta-feira: 8h – 16h | Quinta-feira: 8h – 16h | Sexta-feira: 8h – 16h | Sábado: 8h – 16h | Domingo: 8h – 16h,bar-do-peixe_cubinhos-do-mar-martins.jpg,"[{""nome"":""Cubinhos do Mar Martins"",""descricao"":""Cubinhos de sardinha temperados com alho-poró, cebola e um toque de batata para dar textura leve, empanados e dourados no azeite. Acompanhados de um cremoso molho de espinafre."",""foto"":""bar-do-peixe_cubinhos-do-mar-martins.jpg""}]",https://comidadibuteco.com.br/buteco/4054-revision-v1/
9,bar-do-tiao,Bar do Tião,"Praia de Itaipu, 23 - Loja",Itaipu,Rio de Janeiro - Niterói,niteroi,2026,-22.9719974,-43.0450575,(21) 97509-7999,Segunda-feira: 11h – 17h | Terça-feira: 11h – 17h | Quarta-feira: 11h – 17h | Quinta-feira: 11h – 17h | Sexta-feira: 11h – 17h | Sábado: 11h – 17h | Domingo: 11h – 17h,bar-do-tiao_mexilhoba.jpg,"[{""nome"":""Mexilhoba"",""descricao"":""Mexilhão ao molho de tomate, cebola, pimentão, coentro e taioba. Acompanhado de torrada temperada com orégano e azeite."",""foto"":""bar-do-tiao_mexilhoba.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-tiao/
10,beco-jt,Beco JT,"Rua Joaquim Távora, 101",Icaraí,Rio de Janeiro - Niterói,niteroi,2026,-22.9109594,-43.1039171,2127048694,Segunda-feira: 11h – 17h | Terça-feira: 11h – 17h | Quarta-feira: 11h – 22h | Quinta-feira: 11h – 22h | Sexta-feira: 11h – 22h | Sábado: 11h – 22h | Domingo: 11h – 17h,beco-jt_porquinho-enrolado.jpg,"[{""nome"":""Porquinho enrolado"",""descricao"":""Costelinhas enroladas em couve."",""foto"":""beco-jt_porquinho-enrolado.jpg""}]",https://comidadibuteco.com.br/buteco/beco-jt/
