id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,adegadega,Adegadega,"R. Juiz Aderbal de Oliveira, 209",Centro,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,2127563237,Segunda-feira: 17h – 22h | Terça-feira: 17h – 22h | Quarta-feira: 17h – 22h | Quinta-feira: 17h – 22h | Sexta-feira: 11h – 22h | Sábado: 11h – 22h,adegadega_perola-rosa-do-mar.jpg,"[{""nome"":""Pérola Rosa do Mar"",""descricao"":""Almôndega com molho de coentro com base de omelete de alface."",""foto"":""adegadega_perola-rosa-do-mar.jpg""}]",https://comidadibuteco.com.br/buteco/adegadega/
2,bar-cevina-lounge,Bar Cevina Lounge,"Rod. Washington Luiz, 2500",Pq. Duque de Caxias,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,21980999222,Segunda-feira: 12h – 22h | Terça-feira: 12h – 22h | Quarta-feira: 12h – 22h | Quinta-feira: 12h – 22h | Sexta-feira: 12h – 23h | Sábado: 12h – 22h | Domingo: 12h – 20h,bar-cevina-lounge_bau-da-felicidade.jpg,"[{""nome"":""Baú da felicidade"",""descricao"":""Três bolinhos recheados com costela desfiada, queijo muçarela, gorgonzola e alho-poró. Servido em forma de pérolas preciosas em cama crocante sabor bacon, em uma forma bem inusitada. Acompanhados de geleia de manga com pimenta, maionese artesanal de especiarias e ouro comestível."",""foto"":""bar-cevina-lounge_bau-da-felicidade.jpg""}]",https://comidadibuteco.com.br/buteco/bar-cevina-lounge/
3,bar-do-diretor,Bar do Diretor,"R. Major Correia de Melo, 353",Jardim Vinte e Cinco de Agosto,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,21964271810,Segunda-feira: 11h30 – 15h | Terça-feira: 11h30 – 15h | Quarta-feira: 11h30 – 15h | Quinta-feira: 11h30 – 22h | Sexta-feira: 11h30 – 22h | Sábado: 11h30 – 22h | Domingo: 11h30 – 15h,bar-do-diretor_sanduiche-de-carne-louca-crocante.jpg,"[{""nome"":""Sanduíche de carne louca crocante"",""descricao"":""Um pão ciabatta recheado com carne louca (carne desfiada), aioli de ervas, queijo muçarela, alface-americana e cebola crocante, acompanhado de batata canoa."",""foto"":""bar-do-diretor_sanduiche-de-carne-louca-crocante.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-diretor/
4,bar-parada-16,Bar Parada 16,"R. Deputado Sá Rego, 289",Vila São Luís,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,21982226000,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 13h – 23h30 | Domingo: 13h – 22h,bar-parada-16_sabor-da-saudade.jpg,"[{""nome"":""Sabor da Saudade"",""descricao"":""Bolinho com carne bovina, com um toque de brócolis, ricota e ervas finas, finalizado com queijo meia cura e cream cheese. Acompanha geleia de maracujá levemente apimentada."",""foto"":""bar-parada-16_sabor-da-saudade.jpg""}]",https://comidadibuteco.com.br/buteco/bar-parada-16/
5,beer-soccer-club,Beer Soccer Club,"R. Passo da Pátria, 228 - Loja",Jardim Vinte e Cinco de Agosto,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,2126532196,Segunda-feira: 11h30 – 22h | Terça-feira: 11h30 – 22h | Quarta-feira: 11h30 – 22h | Quinta-feira: 11h30 – 22h | Sexta-feira: 11h30 – 23h | Sábado: 11h30 – 23h | Domingo: 11h30 – 22h,beer-soccer-club_hat-trick-de-camarao-na-cestinha-crocante.jpg,"[{""nome"":""Hat-trick de camarão na cestinha crocante"",""descricao"":""Três cestinhas crocantes, recheadas com camarão cremoso e gratinado. Acompanhadas pelos molhos vermelho e amarelo."",""foto"":""beer-soccer-club_hat-trick-de-camarao-na-cestinha-crocante.jpg""}]",https://comidadibuteco.com.br/buteco/beer-soccer-club/
6,bela-gastrobar,Bela Gastrobar,"Av. Presidente Lincoln, 263",Jardim Meriti,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,21980326861,Terça-feira: 11h – 15h e 18h – 23h | Quarta-feira: 11h – 15h e 18h – 23h | Quinta-feira: 11h – 15h e 18h – 23h | Sexta-feira: 11h – 15h e 18h – 23h | Sábado: 11h – 15h e 18h – 23h | Domingo: 18h – 23h,bela-gastrobar_bela-crocancia.jpg,"[{""nome"":""Bela Crocância"",""descricao"":""Harumaki de camarão, cream cheese e repolho."",""foto"":""bela-gastrobar_bela-crocancia.jpg""}]",https://comidadibuteco.com.br/buteco/bela-gastrobar/
7,boteco-du-nada,Boteco Du nada,"Rua Caburi, 60",Califórnia,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,21969375254,Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h | Domingo: 17h – 0h,boteco-du-nada_naquela-mesa-com-seu-joaquim.jpg,"[{""nome"":""Naquela mesa com seu Joaquim"",""descricao"":""Barquetes com recheio de camarão e alho-poró."",""foto"":""boteco-du-nada_naquela-mesa-com-seu-joaquim.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-du-nada/
8,calcadas-grill,Calçadas Grill,"R. Estudante Galdêncio Miguel, 530",Centro,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,21970475903,Terça-feira: 11h – 23h | Quarta-feira: 11h – 23h | Quinta-feira: 11h – 23h | Sexta-feira: 11h – 23h | Sábado: 11h – 23h | Domingo: 11h – 17h | Segunda-feira: 11h – 23h,calcadas-grill_pirulito-de-bacalhau.jpg,"[{""nome"":""Pirulito de Bacalhau"",""descricao"":""Creme de bacalhau com alho-poró, frito na farinha panko em formato de pirulito."",""foto"":""calcadas-grill_pirulito-de-bacalhau.jpg""}]",https://comidadibuteco.com.br/buteco/calcadas-grill/
9,camarao-da-lu,Camarão da Lu,"R. Alberto Teixeira da Cunha, 1046",Centro,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,21968106125,Quarta-feira: 18h – 1h | Quinta-feira: 18h – 1h | Sexta-feira: 18h – 1h | Sábado: 18h – 1h | Domingo: 12h – 0h,camarao-da-lu_raizes-da-lu.jpg,"[{""nome"":""Raízes da Lu"",""descricao"":""Coxinha com massa de abóbora com recheio de camarão, muçarela ralada, alho-poró, cebola, coentro picado e cream cheese."",""foto"":""camarao-da-lu_raizes-da-lu.jpg""}]",https://comidadibuteco.com.br/buteco/camarao-da-lu/
10,chopperia-do-baixinho,Chopperia do Baixinho,"Av. Automóvel Clube, 2697",Vilar dos Teles,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,21974268605,Segunda-feira: 15h – 0h | Terça-feira: 15h – 0h | Quarta-feira: 15h – 0h | Quinta-feira: 15h – 0h | Sexta-feira: 15h – 0h | Sábado: 15h – 0h,chopperia-do-baixinho_porconzola.jpg,"[{""nome"":""Porconzola"",""descricao"":""Bolinho de porco desfiado, combinado com bacon crocante e recheado com creme de gorgonzola e abacaxi caramelizado. Coberto com geleia de maracujá."",""foto"":""chopperia-do-baixinho_porconzola.jpg""}]",https://comidadibuteco.com.br/buteco/chopperia-do-baixinho/
11,5874-revision-v1,Edinho do Caranguejo,"R. Humberto de Campos, 143",Centro,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,2127721319,Segunda-feira: 12h – 23h | Terça-feira: 12h – 23h | Quarta-feira: 12h – 23h | Quinta-feira: 12h – 23h | Sexta-feira: 12h – 23h30 | Sábado: 12h – 23h30,edinho-do-caranguejo_mare-alta.jpg,"[{""nome"":""Maré Alta"",""descricao"":""Peixe e camarão, finalizado com uma crosta de queijo, acompanha um molho de espinafre."",""foto"":""edinho-do-caranguejo_mare-alta.jpg""}]",https://comidadibuteco.com.br/buteco/5874-revision-v1/
12,kings-bar,King’s Bar,"R. Estudante Eliane Castanheira, 808",Centro,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,21969420755,Segunda-feira: 17h – 1h | Terça-feira: 17h – 1h | Quarta-feira: 17h – 1h | Quinta-feira: 17h – 1h | Sexta-feira: 17h – 1h | Sábado: 17h – 1h | Domingo: 17h – 1h |,king-s-bar_tacomigo.jpg,"[{""nome"":""TaComigo"",""descricao"":""Uma “dupla de dois” tacos de milho crocantes recheados com picanha suína desfiada e defumada com banana-da-terra grelhada, maionese de alecrim e finalização com crispy de couve e queijo muçarela. Servido com molho escuro e toque de limão."",""foto"":""king-s-bar_tacomigo.jpg""}]",https://comidadibuteco.com.br/buteco/kings-bar/
13,massaretto-bar,Massaretto Bar,"Av. Carioca, 181 -",Vila Rosali,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,21973521928,,massaretto-bar_couve-que-te-quero-carne.jpg,"[{""nome"":""Couve que te quero Carne"",""descricao"":""Massa de pastel crocante, couve refogada no azeite e alho, costela assada lentamente e desfiada. Acompanhado de molho agridoce de pimenta."",""foto"":""massaretto-bar_couve-que-te-quero-carne.jpg""}]",https://comidadibuteco.com.br/buteco/massaretto-bar/
14,nosso-canto,Nosso Canto,"R. Genuíno Siqueira, 1395 - Loja",Jardim Meriti,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,2127520955,Terça-feira: 12h – 17h | Quarta-feira: 12h – 20h | Quinta-feira: 12h – 21h | Sexta-feira: 12h – 22h | Sábado: 11h – 22h | Domingo: 11h – 20h,nosso-canto_pra-pedir-musica-no-fantastico.jpg,"[{""nome"":""Pra pedir música no fantástico"",""descricao"":""Cestinha de costela e linguiça na brasa, recheada com creme de espinafre, com toque de gorgonzola e coberto por muçarela."",""foto"":""nosso-canto_pra-pedir-musica-no-fantastico.jpg""}]",https://comidadibuteco.com.br/buteco/nosso-canto/
15,panela-velha-gastronomia,Panela Velha Gastronomia,"Estr. Vereador Oscar Dias Oliveira, 210",Vila São Sebastião,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,21984278700,Terça-feira: 18h – 0h30 | Quarta-feira: 18h – 0h30 | Quinta-feira: 18h – 0h30 | Sexta-feira: 18h – 0h30 | Sábado: 18h – 0h30 | Domingo: 18h – 0h30,panela-velha-gastronomia_xerife.jpg,"[{""nome"":""Xerife"",""descricao"":""Croquete de batata com espinafre e ervas, com cream cheese de camarão, cebolinha e alga nori, servido em formato de estrela de massa de pastel frita, finalizando por um camarão “pistola”."",""foto"":""panela-velha-gastronomia_xerife.jpg""}]",https://comidadibuteco.com.br/buteco/panela-velha-gastronomia/
16,pasta-da-nonna,Pasta da Nonna,"Avenida Brasil, 367",Vila São Luís,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,2127710403,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h30 | Sábado: 13h – 23h30 | Domingo: 13h – 23h,pasta-da-nonna_ninho-da-nonna.jpg,"[{""nome"":""Ninho da Nonna"",""descricao"":""Cestinha recheada com uma carne bovina desfiada, creme de queijo e azeite de rúcula com parmesão."",""foto"":""pasta-da-nonna_ninho-da-nonna.jpg""}]",https://comidadibuteco.com.br/buteco/pasta-da-nonna/
17,taina-gourmet,Tainá Gourmet,"Av. Expedicionário José Amaro, 838",Vila São Luís,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,21981005236,Segunda-feira: 11h30 – 23h | Terça-feira: 11h30 – 23h | Quarta-feira: 11h30 – 23h | Quinta-feira: 11h30 – 23h | Sexta-feira: 11h30 – 23h | Sábado: 11h30 – 23h | Domingo: 11h30 – 22h,taina-gourmet_flor-de-boteco.jpg,"[{""nome"":""Flor de Boteco"",""descricao"":""Flor de massa de pastel com costela desfiada e queijo derretido, com vinagrete e couve crispy."",""foto"":""taina-gourmet_flor-de-boteco.jpg""}]",https://comidadibuteco.com.br/buteco/taina-gourmet/
18,tiririkas-grill,Tiririkas Grill,"R. Dr. Manuel Reis, 910 - Pça. Osmar S. de Carvalho",Centro,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,21970074626,Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 0h | Sábado: 11h – 0h | Domingo: 11h – 17h,tiririkas-grill_cupim-na-bengala-do-tiririkas.jpg,"[{""nome"":""Cupim na bengala do tiririkas"",""descricao"":""Cupim no bafo em um sanduíche de pão bengala com pasta de alho e uma salada com alface-americana, tomate e cebola-roxa."",""foto"":""tiririkas-grill_cupim-na-bengala-do-tiririkas.jpg""}]",https://comidadibuteco.com.br/buteco/tiririkas-grill/
19,tsuba-izakaya,Tsuba Izakaya,"R. Joaquim Cardoso de Matos, 745",Luz,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,21980319863,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 18h – 23h | Domingo: 18h – 22h,tsuba-izakaya_guioza-bok-choy.jpg,"[{""nome"":""Guioza Bok Choy"",""descricao"":""Guioza é um pastel chinês com carne suína, camarão, acelga chinesa (bok choy) e broto de alho (nirá)"",""foto"":""tsuba-izakaya_guioza-bok-choy.jpg""}]",https://comidadibuteco.com.br/buteco/tsuba-izakaya/
20,villa-182-gastronomia,Villa 182 Gastronomia,R. José Amaro,Vila São Sebastião,Rio de Janeiro - Baixada Fluminense,nova-iguacu-duque-de-caxias,2026,,,21974574762,Terça-feira: 18h – 22h30 | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h30 | Sábado: 13h – 23h30 | Domingo: 13h – 23h30,villa-182-gastronomia_porco-loko.jpg,"[{""nome"":""Porco Loko"",""descricao"":""Crocante de porco desfiado com abacaxi caramelizado, cream cheese, pimenta-do-reino e rúcula. Acompanhamento: maionese defumada de alho."",""foto"":""villa-182-gastronomia_porco-loko.jpg""}]",https://comidadibuteco.com.br/buteco/villa-182-gastronomia/
