slug,nome,endereco,bairro,url
adegadega,Adegadega,"R. Juiz Aderbal de Oliveira, 209",Centro,https://comidadibuteco.com.br/buteco/adegadega/
bar-cevina-lounge,Bar Cevina Lounge,"Rod. Washington Luiz, 2500",Pq. Duque de Caxias,https://comidadibuteco.com.br/buteco/bar-cevina-lounge/
bar-do-diretor,Bar do Diretor,"R. Major Correia de Melo, 353",Jardim Vinte e Cinco de Agosto,https://comidadibuteco.com.br/buteco/bar-do-diretor/
bar-parada-16,Bar Parada 16,"R. Deputado Sá Rego, 289",Vila São Luís,https://comidadibuteco.com.br/buteco/bar-parada-16/
beer-soccer-club,Beer Soccer Club,"R. Passo da Pátria, 228 - Loja",Jardim Vinte e Cinco de Agosto,https://comidadibuteco.com.br/buteco/beer-soccer-club/
bela-gastrobar,Bela Gastrobar,"Av. Presidente Lincoln, 263",Jardim Meriti,https://comidadibuteco.com.br/buteco/bela-gastrobar/
boteco-du-nada,Boteco Du nada,"Rua Caburi, 60",Califórnia,https://comidadibuteco.com.br/buteco/boteco-du-nada/
calcadas-grill,Calçadas Grill,"R. Estudante Galdêncio Miguel, 530",Centro,https://comidadibuteco.com.br/buteco/calcadas-grill/
camarao-da-lu,Camarão da Lu,"R. Alberto Teixeira da Cunha, 1046",Centro,https://comidadibuteco.com.br/buteco/camarao-da-lu/
chopperia-do-baixinho,Chopperia do Baixinho,"Av. Automóvel Clube, 2697",Vilar dos Teles,https://comidadibuteco.com.br/buteco/chopperia-do-baixinho/
5874-revision-v1,Edinho do Caranguejo,"R. Humberto de Campos, 143",Centro,https://comidadibuteco.com.br/buteco/5874-revision-v1/
kings-bar,King’s Bar,"R. Estudante Eliane Castanheira, 808",Centro,https://comidadibuteco.com.br/buteco/kings-bar/
massaretto-bar,Massaretto Bar,"Av. Carioca, 181 -",Vila Rosali,https://comidadibuteco.com.br/buteco/massaretto-bar/
nosso-canto,Nosso Canto,"R. Genuíno Siqueira, 1395 - Loja",Jardim Meriti,https://comidadibuteco.com.br/buteco/nosso-canto/
panela-velha-gastronomia,Panela Velha Gastronomia,"Estr. Vereador Oscar Dias Oliveira, 210",Vila São Sebastião,https://comidadibuteco.com.br/buteco/panela-velha-gastronomia/
pasta-da-nonna,Pasta da Nonna,"Avenida Brasil, 367",Vila São Luís,https://comidadibuteco.com.br/buteco/pasta-da-nonna/
taina-gourmet,Tainá Gourmet,"Av. Expedicionário José Amaro, 838",Vila São Luís,https://comidadibuteco.com.br/buteco/taina-gourmet/
tiririkas-grill,Tiririkas Grill,"R. Dr. Manuel Reis, 910 - Pça. Osmar S. de Carvalho",Centro,https://comidadibuteco.com.br/buteco/tiririkas-grill/
tsuba-izakaya,Tsuba Izakaya,"R. Joaquim Cardoso de Matos, 745",Luz,https://comidadibuteco.com.br/buteco/tsuba-izakaya/
villa-182-gastronomia,Villa 182 Gastronomia,R. José Amaro,,https://comidadibuteco.com.br/buteco/villa-182-gastronomia/
