id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,bar-compadres,Bar Compadres,"Av. Hércules Frison, 1433 - Jardim Paraiso, Poços de Caldas - MG",Parque Esperança,Poços de Caldas,pocos-de-caldas,2026,-21.8305375,-46.5610947,35987065403,Quarta-feira: 11h – 22h | Quinta-feira: 11h – 22h | Sexta-feira: 11h – 22h | Sábado: 11h – 22h | Domingo: 11h – 22h,bar-compadres_que-mancada-dos-compadres.jpg,"[{""nome"":""Que mancada dos Compadres!"",""descricao"":""Joelho refogado com cebola e cozido com cerveja, agrião com alho e salsinha. Acompanha farofa da casa e pão francês."",""foto"":""bar-compadres_que-mancada-dos-compadres.jpg""}]",https://comidadibuteco.com.br/buteco/bar-compadres/
2,3727-revision-v1,Bar da Elaine,"R. Caetés, 64",Vila Togni,Poços de Caldas,pocos-de-caldas,2026,-21.7833141,-46.6051768,(35) 99116-7584 | (35) 99135-7525,Quarta-feira: 14h – 23h | Quinta-feira: 14h – 23h | Sexta-feira: 14h – 23h | Sábado: 11h – 0h | Domingo: 12h – 16h,bar-da-elaine_contra-na-folha.jpg,"[{""nome"":""Contra na Folha"",""descricao"":""Contrafilé na alface-americana, servido com pão."",""foto"":""bar-da-elaine_contra-na-folha.jpg""}]",https://comidadibuteco.com.br/buteco/3727-revision-v1/
3,bar-da-kombi,Bar da Kombi,"R. Aníbal José dos Reis, 89",Jardim Philadelphia,Poços de Caldas,pocos-de-caldas,2026,,,(35) 3301-3011/ (35) 98702-8410,Terça-feira: 16h – 23h | Quarta-feira: 16h – 23h | Quinta-feira: 16h – 23h | Sexta-feira: 16h – 23h | Sábado: 11h – 23h | Domingo: 11h – 17h,bar-da-kombi_kombitalia.jpg,"[{""nome"":""Kombitalia"",""descricao"":""Pão italiano recheado com paleta suína desfiada e agrião no molho da casa. Finalizado com queijo gratinado e pesto de agrião."",""foto"":""bar-da-kombi_kombitalia.jpg""}]",https://comidadibuteco.com.br/buteco/bar-da-kombi/
4,3518-revision-v1,Bar do David,"Av. Leonor Furlaneto Delgado, 140",Jardim Philadelphia,Poços de Caldas,pocos-de-caldas,2026,-21.8019431,-46.5150707,(35) 99858-5585,Domingo: 15h – 23h | Segunda-feira: 15h – 23h | Terça-feira: 15h – 23h | Quarta-feira: 15h – 23h | Quinta-feira: 15h – 23h | Sexta-feira: 15h – 23h | Sábado: 15h – 23h,bar-do-david_tropeirao-safado.jpg,"[{""nome"":""Tropeirão Safado"",""descricao"":""Feijão-tropeiro especial com o tempero da Vó Maria."",""foto"":""bar-do-david_tropeirao-safado.jpg""}]",https://comidadibuteco.com.br/buteco/3518-revision-v1/
5,3612-autosave-v1,Bar Original,"Avenida Francisco Salles, 36",Centro,Poços de Caldas,pocos-de-caldas,2026,-21.7852584,-46.5672171,3537218572,Terça-feira: 10h – 22h30 | Quarta-feira: 10h – 22h30 | Quinta-feira: 10h – 22h30 | Sexta-feira: 10h – 22h30 | Sábado: 10h – 22h30 | Domingo: 10h – 22h30,bar-original_sabor-de-buteco.jpg,"[{""nome"":""Sabor de Buteco"",""descricao"":""Copa lombo em cubos com cebola, alho-poró e brócolis. Acompanha: pão francês."",""foto"":""bar-original_sabor-de-buteco.jpg""}]",https://comidadibuteco.com.br/buteco/3612-autosave-v1/
6,birra-choperia,Birra Choperia,"R. Samuel Frazão, 5",Jardim Amaryllis,Poços de Caldas,pocos-de-caldas,2026,-21.8066945,-46.5429906,35998059889,Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 12h – 23h | Domingo: 12h – 15h,birra-choperia_cestini-do-birra.jpg,"[{""nome"":""Cestini do Birra"",""descricao"":""Cestinhas gratinadas recheadas com brócolis, bacon, catupiry e parmesão. Acompanha chips de batata caseira."",""foto"":""birra-choperia_cestini-do-birra.jpg""}]",https://comidadibuteco.com.br/buteco/birra-choperia/
7,black-jack-taphouse,Black Jack Taphouse,"R. Mato Grosso, 393",Centro,Poços de Caldas,pocos-de-caldas,2026,-21.7846448,-46.5697748,35999372391,Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h30 | Sábado: 16h – 23h30,black-jack-taphouse_ora-que-taco.jpg,"[{""nome"":""Ora, que taco!"",""descricao"":""Frango com ora-pro-nóbis servido com salada de folhas na massa de pastel. Acompanhado de molho de mel e mostarda."",""foto"":""black-jack-taphouse_ora-que-taco.jpg""}]",https://comidadibuteco.com.br/buteco/black-jack-taphouse/
8,boteco-breja,Boteco Breja,"Av. João Avelino de Melo, 285",Conjunto Habitacional,Poços de Caldas,pocos-de-caldas,2026,-21.8481335,-46.5688511,35998557848,Terça-feira: 16h30 – 23h | Quarta-feira: 16h30 – 23h | Quinta-feira: 16h30 – 23h | Sexta-feira: 16h30 – 23h | Sábado: 16h30 – 23h | Domingo: 15h – 22h,boteco-breja_breja-brocroc.jpg,"[{""nome"":""Breja Brocroc"",""descricao"":""Cestinha de brócolis com ricota. Acompanha: geleia de pimenta."",""foto"":""boteco-breja_breja-brocroc.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-breja/
9,10210-revision-v1,Boteco Cana Benta,"R. Camerino Nogueira da Silva, 15",Parque Primavera,Poços de Caldas,pocos-de-caldas,2026,-21.7882576,-46.5341072,35999501774,Segunda-feira: 17h – 23h | Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 12h – 23h,boteco-cana-benta_charuto-de-repolho-com-carne-e-bacon.jpg,"[{""nome"":""Charuto de repolho com carne e bacon"",""descricao"":""Charuto de repolho, recheado com carne moída e bacon, molho de tomate e gratinado com queijo."",""foto"":""boteco-cana-benta_charuto-de-repolho-com-carne-e-bacon.jpg""}]",https://comidadibuteco.com.br/buteco/10210-revision-v1/
10,boteco-do-tio,Boteco do Tio,"R. Nicarágua, 109",Jardim Bela Vista,Poços de Caldas,pocos-de-caldas,2026,-21.7957002,-46.5660738,(35) 99986-8998 / (35) 99755-0351,Segunda-feira: 16h – 23h | Terça-feira: 16h – 23h | Quarta-feira: 16h – 23h | Quinta-feira: 16h – 23h | Sexta-feira: 16h – 23h | Sábado: 12h – 23h,boteco-do-tio_boi-com-queijo.jpg,"[{""nome"":""Boi com Queijo"",""descricao"":""Pão de queijo com provolone, recheado com costela desfiada, refogada com rúcula, tomate, cebola e queijo. Finalizado com rúcula fresca e pimenta-biquinho. Acompanha maionese da casa e geleia de maçã com pimenta."",""foto"":""boteco-do-tio_boi-com-queijo.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-do-tio/
