id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,a-virgem-bar,A Virgem Bar,"R. Olavo Bilac, 251",Azenha,Porto Alegre,porto-alegre,2026,-30.0429561,-51.2167985,51991243362,Segunda-feira: 17h – 0h | Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 1h | Sábado: 17h – 1h,a-virgem-bar_bella-virgem.jpg,"[{""nome"":""Bella Virgem"",""descricao"":""Refogado de espinafre com molho três queijos. Acompanha: tirinhas de pão com azeite e ervas finas."",""foto"":""a-virgem-bar_bella-virgem.jpg""}]",https://comidadibuteco.com.br/buteco/a-virgem-bar/
2,annalu-churras-pub,Annalu Churras Pub,"R. Gomes de Freitas, 421",Jardim Itu,Porto Alegre,porto-alegre,2026,-30.0141466,-51.1433257,51995964278,Segunda-feira: 18h – 23h | Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 18h – 23h,annalu-churras-pub_espetinho-poro-e-brasa.jpg,"[{""nome"":""Espetinho Poró e Brasa"",""descricao"":""Espetinho de filé-mignon com molho autoral de tomate com alho-poró, acompanha batata frita e molho especial."",""foto"":""annalu-churras-pub_espetinho-poro-e-brasa.jpg""}]",https://comidadibuteco.com.br/buteco/annalu-churras-pub/
3,arvo-bar,Arvo Bar,"R. Coronel Fernando Machado, 1200",Centro,Porto Alegre,porto-alegre,2026,-30.0348067,-51.2365792,51980101187,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 18h – 23h | Domingo: 18h – 23h,arvo-bar_o-melhor-sanduba-do-mundo.jpg,"[{""nome"":""O melhor sanduba do mundo"",""descricao"":""Baguete crocante com dois recheios: entrecôte assado na brasa de um lado e queijo coalho braseado do outro. Acompanha maionese especial da casa, folhas frescas de rúcula e agrião, cebola roxa crocante, tomate confitado e queijo muçarela gratinado por cima."",""foto"":""arvo-bar_o-melhor-sanduba-do-mundo.jpg""}]",https://comidadibuteco.com.br/buteco/arvo-bar/
4,bah-brasa,Bah Brasa,"Av. Dr. Sezefredo Azambuja Vieira, 2240 Canoas - RS",,Porto Alegre,porto-alegre,2026,-29.9204464,-51.1175296,51996681116,Quarta-feira: 18h30 – 23h30 | Quinta-feira: 18h30 – 23h30 | Sexta-feira: 18h30 – 23h30 | Sábado: 18h30 – 23h30,bah-brasa_bolinho-do-brasa.jpg,"[{""nome"":""Bolinho do Brasa"",""descricao"":""Bolinho de batata-doce com couve e ora-pro-nóbis empanado com farofa de torresmo."",""foto"":""bah-brasa_bolinho-do-brasa.jpg""}]",https://comidadibuteco.com.br/buteco/bah-brasa/
5,bar-44-amarelinho,Bar 44 Amarelinho,"Av. Assis Brasil, 171",Santa Maria Gorete,Porto Alegre,porto-alegre,2026,-29.9741244,-51.1146966,51994442778,Segunda-feira: 11h30 – 14h30 e 17h30 – 22h30 | Terça-feira: 11h30 – 14h30 e 17h – 22h30 | Quarta-feira: 11h30 – 14h30 e 17h30 – 22h30 | Quinta-feira: 11h30 – 14h30 e 17h30 – 22h30 | Sexta-feira: 11h30 – 14h e 17h30 – 23h | Sábado: 11h30 – 14h e 17h30 – 23h | Domingo: 17h30 – 22h,bar-44-amarelinho_charutinhos-jalapenos.jpg,"[{""nome"":""Charutinhos Jalapeños"",""descricao"":""Charutos de massa de pastel caseira, recheados com repolho, queijo muçarela e passata de tomates; nas versões com lombo suíno, camarão e bacalhau desfiado."",""foto"":""bar-44-amarelinho_charutinhos-jalapenos.jpg""}]",https://comidadibuteco.com.br/buteco/bar-44-amarelinho/
6,bar-do-alemao-3,Bar do Alemão,"R. Doutor Timóteo, 201",Floresta,Porto Alegre,porto-alegre,2026,-30.0150343,-51.2004493,5132223148,Segunda-feira: 11h – 22h | Terça-feira: 11h – 22h | Quarta-feira: 11h – 22h | Quinta-feira: 11h – 22h | Sexta-feira: 11h – 22h | Sábado: 11h – 15h,bar-do-alemao_bolinho-de-couve-da-vovo.jpg,"[{""nome"":""Bolinho de couve da vovó"",""descricao"":""Bolinho de arroz com couve, sem glúten. Acompanhado de pasta de alho-poró."",""foto"":""bar-do-alemao_bolinho-de-couve-da-vovo.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-alemao-3/
7,9838-revision-v1,Barril Pub,"Av. Wenceslau Escobar, 2997",Cristal,Porto Alegre,porto-alegre,2026,-30.1006657,-51.2489033,5135162015,Segunda-feira: 11h30 – 23h | Terça-feira: 11h30 – 23h | Quarta-feira: 11h30 – 0h | Quinta-feira: 11h30 – 0h | Sexta-feira: 11h30 – 0h | Sábado: 11h30 – 0h,barril-pub_brocolis-na-rede.jpg,"[{""nome"":""Brócolis na rede!"",""descricao"":""Bolinho de aipim, recheado com brócolis cremoso. Acompanha maionese da casa e geleia de bergamota com pimenta."",""foto"":""barril-pub_brocolis-na-rede.jpg""}]",https://comidadibuteco.com.br/buteco/9838-revision-v1/
8,beladora,Beladora,"Avenida Guaíba, 10748",Ipanema,Porto Alegre,porto-alegre,2026,-30.1355654,-51.2324874,5131054661,Terça-feira: 16h – 1h | Quarta-feira: 16h – 1h | Quinta-feira: 16h – 1h | Sexta-feira: 16h – 1h | Sábado: 12h – 1h | Domingo: 12h – 1h,beladora_espetinho-beladora.jpg,"[{""nome"":""Espetinho Beladora"",""descricao"":""Espetinhos de brócolis, couve-flor, alho-poró, cenoura e queijo empanados e fritos. Acompanha molho verde."",""foto"":""beladora_espetinho-beladora.jpg""}]",https://comidadibuteco.com.br/buteco/beladora/
9,boteco-vitoria,Boteco Vitória,"R. Felizardo, 445",Jardim Botânico,Porto Alegre,porto-alegre,2026,-30.0496927,-51.1876599,51995043364,Terça-feira: 11h30 – 14h30 e 17h – 0h | Quarta-feira: 11h30 – 14h30 e 17h – 0h | Quinta-feira: 11h30 – 14h30 e 17h – 0h | Sexta-feira: 11h30 – 14h30 e 17h – 0h | Sábado: 12h – 0h30,boteco-vitoria_a-vaca-foi-para-o-brejo.jpg,"[{""nome"":""A vaca foi para o brejo"",""descricao"":""Aipim cozido e carne de panela, finalizado com farofa crocante e alho-poró"",""foto"":""boteco-vitoria_a-vaca-foi-para-o-brejo.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-vitoria/
10,buteco-petiscos,Buteco Petiscos,"R. Marechal Floriano Peixoto, 387",Centro,Porto Alegre,porto-alegre,2026,-30.0348781,-51.2272455,5132213989,Segunda-feira: 11h – 21h | Terça-feira: 11h – 21h | Quarta-feira: 11h – 21h | Quinta-feira: 11h – 21h | Sexta-feira: 11h – 21h | Sábado: 11h – 18h,buteco-petiscos_bacalhau-do-popeye-com-toque-de-olivia.jpg,"[{""nome"":""Bacalhau do Popeye com toque de Olívia"",""descricao"":""Bacalhau desfiado com espinafre e cubinhos de batatas ao molho branco. Finalizado com castanha-do-pará e gratinado no forno. Acompanha chips de batata-doce."",""foto"":""buteco-petiscos_bacalhau-do-popeye-com-toque-de-olivia.jpg""}]",https://comidadibuteco.com.br/buteco/buteco-petiscos/
