id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,allelos-bar,Allelos Bar,"R. Dr. Saraiba, 32",Bonfim Paulista,Ribeirão Preto,ribeirao-preto,2026,-21.2669244,-47.8185745,16992501017,Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 18h – 0h,allelos-bar_bolinho-tania-mara.jpg,"[{""nome"":""Bolinho Tânia Mara"",""descricao"":""Bolinho de mandioca recheado com frango, brócolis e requeijão cremoso."",""foto"":""allelos-bar_bolinho-tania-mara.jpg""}]",https://comidadibuteco.com.br/buteco/allelos-bar/
2,bar-a-toca,Bar A Toca,"R. Domingos Padovan, 1540",Jardim Anhanguera,Ribeirão Preto,ribeirao-preto,2026,-21.1801045,-47.7736286,16981053538,Terça-feira: 16h – 0h | Quarta-feira: 16h – 0h | Quinta-feira: 16h – 0h | Sexta-feira: 16h – 0h | Sábado: 11h – 0h | Domingo: 11h – 0h,bar-a-toca_tombei-no-bolinho.jpg,"[{""nome"":""Tombei no Bolinho"",""descricao"":""Bolinho de linguiça com couve."",""foto"":""bar-a-toca_tombei-no-bolinho.jpg""}]",https://comidadibuteco.com.br/buteco/bar-a-toca/
3,3565-revision-v1,Bar da Dona Celina,"R. José Aissum, 125",Parque dos Bandeirantes,Ribeirão Preto,ribeirao-preto,2026,-21.1838227,-47.7779668,(16) 3618-1393 | (16) 99119-5511,Segunda-feira: 18h – 23h | Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 12h – 23h,bar-da-dona-celina_berinjela-suprema.jpg,"[{""nome"":""Berinjela Suprema"",""descricao"":""Berinjela assada com carne moída temperada, molho bechamel, queijo gratinado e finalizada com crisps de couve e salsa."",""foto"":""bar-da-dona-celina_berinjela-suprema.jpg""}]",https://comidadibuteco.com.br/buteco/3565-revision-v1/
4,bar-da-duque,Bar da Duque,"R. Duque de Caxias, 1211",Centro,Ribeirão Preto,ribeirao-preto,2026,-21.1781671,-47.8039117,16988042634,Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h,bar-da-duque_tesouro-da-duquesa.jpg,"[{""nome"":""Tesouro da Duquesa"",""descricao"":""Salgado de fraldinha com alho-poró e aioli de rúcula com limão."",""foto"":""bar-da-duque_tesouro-da-duquesa.jpg""}]",https://comidadibuteco.com.br/buteco/bar-da-duque/
5,bar-da-patroa,Bar da Patroa,"R. Professor Pedreira de Freitas, 564",Parque Ribeirão Preto,Ribeirão Preto,ribeirao-preto,2026,-21.1656037,-47.8506223,16 997624685,Terça-feira: 18h – 0h | Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 18h – 0h | Domingo: 18h – 0h,bar-da-patroa_coxinha-de-feijuka.jpg,"[{""nome"":""Coxinha de Feijuka"",""descricao"":""Coxinha de feijoada recheada com couve."",""foto"":""bar-da-patroa_coxinha-de-feijuka.jpg""}]",https://comidadibuteco.com.br/buteco/bar-da-patroa/
6,3123-revision-v1,Bar do Gil,"Rua Franca, 432",Jardim Paulista,Ribeirão Preto,ribeirao-preto,2026,-21.1755214,-47.7949132,1632366243,Segunda-feira: 16h30 – 0h | Terça-feira: 16h30 – 0h | Quarta-feira: 16h30 – 0h | Quinta-feira: 16h30 – 0h | Sexta-feira: 16h30 – 0h | Sábado: 10h – 0h | Domingo: 10h – 0h,bar-do-gil_tira-de-lombo.jpg,"[{""nome"":""Tira de Lombo"",""descricao"":""Tiras de tapioca granulada com copa lombo, brócolis e bacon, com geleia picante de abacaxi."",""foto"":""bar-do-gil_tira-de-lombo.jpg""}]",https://comidadibuteco.com.br/buteco/3123-revision-v1/
7,bar-do-jefferson,Bar do Jefferson,"R. Edgard Patrick, 20",Jardim São José,Ribeirão Preto,ribeirao-preto,2026,-21.225718,-47.7666666,(16) 3237-2463 | (16) 99394-8585,Segunda-feira: 17h – 0h | Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h,bar-do-jefferson_mamma-mia.jpg,"[{""nome"":""Mamma Mia"",""descricao"":""Polpettines de linguiça toscana com rúcula, tomate seco, cebola, azeitonas pretas, queijo e especiarias. Poppers de calabresa recheados com creme de queijo, escarola e especiarias. Acompanham maionese de pesto e passata de tomate com vinho e aliche."",""foto"":""bar-do-jefferson_mamma-mia.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-jefferson/
8,bar-do-le,Bar do Lê,"Rua Capitão Salomão, 1439 - Campos Elísios",,Ribeirão Preto,ribeirao-preto,2026,-21.1685509,-47.8031984,16993155725,Segunda-feira: 16h30 – 0h30 | Terça-feira: 16h30 – 0h30 | Quarta-feira: 16h30 – 0h30 | Quinta-feira: 16h30 – 0h30 | Sexta-feira: 16h30 – 0h30,bar-do-le_tulipinha.jpg,"[{""nome"":""Tulipinha"",""descricao"":""Porção de tulipa com molho de alho e alho-poró."",""foto"":""bar-do-le_tulipinha.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-le/
9,bar-do-renato,Bar do Renato,"R. Contabilista Marcos Mendonça Coelho, 830",Ribeirão Preto - SP,Ribeirão Preto,ribeirao-preto,2026,-21.1055433,-47.8268487,(16) 98806-4167,Segunda-feira: 17h – 23h | Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h,bar-do-renato_macacos-me-mordam.jpeg,"[{""nome"":""Macacos me mordam"",""descricao"":""Croquete de costela recheado com agrião e meia cura com creme de espinafre picante e chutney de manga."",""foto"":""bar-do-renato_macacos-me-mordam.jpeg""}]",https://comidadibuteco.com.br/buteco/bar-do-renato/
10,bar-dona-helena,Bar Dona Helena,"R. Guido Borsaro, 625",Parque dos Bandeirantes,Ribeirão Preto,ribeirao-preto,2026,-21.1827498,-47.7828288,16991677059,Terça-feira: 11h – 0h | Quarta-feira: 11h – 0h | Quinta-feira: 11h – 0h | Sexta-feira: 11h – 0h | Sábado: 11h – 20h,bar-dona-helena_alta-tensao.jpg,"[{""nome"":""Alta Tensão"",""descricao"":""Panquecas recheadas com ragu de rabada e couve, salpicadas de salsinha e cebolinha, com um toque de parmesão ralado em grosso modo e azeite."",""foto"":""bar-dona-helena_alta-tensao.jpg""}]",https://comidadibuteco.com.br/buteco/bar-dona-helena/
