id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,alvoroco,Alvoroço,"Estrada dos Bandeirantes, 7967",Jacarepaguá,Rio de Janeiro,rio-de-janeiro,2026,-22.9700883,-43.4133357,21994390023,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 12h – 23h | Sexta-feira: 12h – 23h | Sábado: 12h – 23h | Domingo: 12h – 23h,alvoroco_moela-abaixo.jpg,"[{""nome"":""Moela abaixo"",""descricao"":""Uma mistura da tradição porteña com raízes dos nossos botecos tradicionais que se prezam. Empanada de moela com catupiry e chimichurri de alho-poró."",""foto"":""alvoroco_moela-abaixo.jpg""}]",https://comidadibuteco.com.br/buteco/alvoroco/
2,antonios-nordestino,Antônio’s Nordestino,"R. Ati, 365",Tanque,Rio de Janeiro,rio-de-janeiro,2026,-22.9216496,-43.3574916,21997988080,Terça-feira: 11h – 0h | Quarta-feira: 11h – 0h | Quinta-feira: 11h – 0h | Sexta-feira: 11h – 0h | Sábado: 11h – 0h | Domingo: 11h – 0h,antonio-s-nordestino_caminho-da-roca.jpg,"[{""nome"":""Caminho da Roça"",""descricao"":""Base de queijo coalho empanado, coberto com carne-seca desfiada e cream cheese. Servidos com couve crocante e crispy de alho-poró. Acompanha molho agridoce de melado de rapadura flambado na cachaça de jambu."",""foto"":""antonio-s-nordestino_caminho-da-roca.jpg""}]",https://comidadibuteco.com.br/buteco/antonios-nordestino/
3,armazem-sao-thiago,Armazém São Thiago,"R. Áurea, 26",Santa Teresa,Rio de Janeiro,rio-de-janeiro,2026,-22.9228736,-43.188443,2122320822,Segunda-feira: 12:00 – 23h | Terça-feira: 12h – 23h | Quarta-feira: 12h – 23h | Quinta-feira: 12h – 23h | Sexta-feira: 12h – 23h | Sábado: 12h – 23h | Domingo: 12h – 22h,armazem-sao-thiago_checkup.jpg,"[{""nome"":""Checkup"",""descricao"":""Almofadinhas recheadas: peito bovino com tomate seco e alho-poró, coração de alcatra com gorgonzola e espinafre e língua bovina ao molho madeira com agrião. Acompanha geleia de vinho."",""foto"":""armazem-sao-thiago_checkup.jpg""}]",https://comidadibuteco.com.br/buteco/armazem-sao-thiago/
4,3500-revision-v1,Art Chopp,"Estrada Macembu, 63 - 75",Taquara,Rio de Janeiro,rio-de-janeiro,2026,-22.9229766,-43.3776425,21995668424,Terça-feira: 12h – 0h30 | Quarta-feira: 12h – 0h30 | Quinta-feira: 12h – 0h30 | Sexta-feira: 12h – 0h30 | Sábado: 12h – 0h30 | Domingo: 12h – 23h,art-chopp_que-delicia-de-rabada.jpg,"[{""nome"":""Que delícia de rabada!"",""descricao"":""Rabada desfiada e defumada com agrião refogado e polenta frita."",""foto"":""art-chopp_que-delicia-de-rabada.jpg""}]",https://comidadibuteco.com.br/buteco/3500-revision-v1/
5,3508-revision-v1,Baixo Gago,"R. Gago Coutinho, 51",Laranjeiras,Rio de Janeiro,rio-de-janeiro,2026,-22.9314033,-43.1811229,(21) 98849-3672 | (21) 2556-0638,Segunda-feira: 12h – 22h | Terça-feira: 12h – 22h | Quarta-feira: 12h – 23h30 | Quinta-feira: 12h – 23h30 | Sexta-feira: 12h – 23h30 | Sábado: 12h – 23h30 | Domingo: 12h – 17h30,baixo-gago_porogodo.jpg,"[{""nome"":""Porogodó"",""descricao"":""Cestinhas de massa de pastel assadas, recheadas com costela bovina e alho-poró e carne-seca com alho-poró. Acompanha geleia artesanal de damasco."",""foto"":""baixo-gago_porogodo.jpg""}]",https://comidadibuteco.com.br/buteco/3508-revision-v1/
6,bar-da-aurea,Bar da Áurea,"Ladeira Ari Barroso, 20",Leme,Rio de Janeiro,rio-de-janeiro,2026,,,21992739273,Terça-feira: 12h – 21h | Quarta-feira: 12h – 21h | Quinta-feira: 12h – 21h | Sexta-feira: 12h – 21h | Sábado: 12h – 21h | Domingo: 12h – 21h,bar-da-aurea_brasileirinho-sou-brasileiro-e-nao-desisto-nunca.jpg,"[{""nome"":""Brasileirinho – Sou brasileiro e não desisto nunca"",""descricao"":""Uma releitura da feijoada em forma de charuto, acompanhada de um melado de laranja e farofa amarela."",""foto"":""bar-da-aurea_brasileirinho-sou-brasileiro-e-nao-desisto-nunca.jpg""}]",https://comidadibuteco.com.br/buteco/bar-da-aurea/
7,bar-da-tati,Bar da Tati,"Pça. Serzedelo Correia, 15",Copacabana,Rio de Janeiro,rio-de-janeiro,2026,,,2135183879,Terça-feira: 11h – 0h | Quarta-feira: 11h – 0h | Quinta-feira: 11h – 0h | Sexta-feira: 11h – 1h | Sábado: 11h – 1h | Domingo: 14h – 0h,bar-da-tati_maria-isabel-da-tati.jpg,"[{""nome"":""Maria Isabel da Tati"",""descricao"":""Carne-seca em arroz ao molho de tomate, com jerimum, maxixe e bacon. Finalizada com queijo coalho grelhado e acompanhada de farofa crocante de castanhas com couve crispy."",""foto"":""bar-da-tati_maria-isabel-da-tati.jpg""}]",https://comidadibuteco.com.br/buteco/bar-da-tati/
8,bar-do-aldo,Bar do Aldo,"Rua Ronald de Carvalho, 161",Copacabana,Rio de Janeiro,rio-de-janeiro,2026,-22.9642737,-43.17728,21979284388,Segunda-feira: 17h – 2h | Terça-feira: 17h – 2h | Quarta-feira: 17h – 2h | Quinta-feira: 17h – 2h | Sexta-feira: 17h – 2h | Sábado: 17h – 2h | Domingo: 17h – 2h,bar-do-aldo_camarao-folgado.jpg,"[{""nome"":""Camarão Folgado"",""descricao"":""Croquete de camarão com recheio de cream cheese e alho-poró. Servido com molho de ervas apimentado."",""foto"":""bar-do-aldo_camarao-folgado.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-aldo/
9,bar-do-augusto,Bar do Augusto,"Avenida Mem de Sá, 72",Centro,Rio de Janeiro,rio-de-janeiro,2026,-22.9117431,-43.1893447,21979379966,Segunda-feira: 12h – 0h | Terça-feira: 12h – 0h | Quarta-feira: 12h – 0h | Quinta-feira: 12h – 0h | Sexta-feira: 12h – 0h | Sábado: 12h – 0h | Domingo: 12h – 0h |,bar-do-augusto_la-vem-ele-de-novo.jpg,"[{""nome"":""Lá vem ele de novo"",""descricao"":""Bolinho à mineira, recheado com couve, tutu e costelinha suína. Finalizado com catupiry, pimenta-biquinho e cebola crispy."",""foto"":""bar-do-augusto_la-vem-ele-de-novo.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-augusto/
10,bar-do-canedo,Bar do Canedo,"R. Barão de Mesquita, 916",Grajaú,Rio de Janeiro,rio-de-janeiro,2026,-22.9238379,-43.2550402,2122383028,Segunda-feira: 12h – 22h | Terça-feira: 12h – 22h | Quarta-feira: 12h – 22h | Quinta-feira: 12h – 22h | Sexta-feira: 12h – 22h | Sábado: 12h – 22h | Domingo: 12h – 22h |,bar-do-canedo_yo-no-creo-en-brujas-pero-que-las-hay-las-hay.jpg,"[{""nome"":""Yo no creo en brujas, pero que las hay, las hay"",""descricao"":""Costela bovina em um creme especial de quatro queijos, servida numa caminha de aipim com tapioca fritos. “Chuva” de couve mineira frita para finalizar!"",""foto"":""bar-do-canedo_yo-no-creo-en-brujas-pero-que-las-hay-las-hay.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-canedo/
