id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,10256-revision-v1,Abará da Vovó,"R. Direita de Santo Antônio, 16",Santo Antônio,Salvador,salvador,2026,-12.964897,-38.5048152,(71) 98835-4769 | (71) 98749-3320,Terça-feira: 15h – 22h | Quarta-feira: 15h – 22h | Quinta-feira: 15h – 22h | Sexta-feira: 15h – 22h | Sábado: 15h – 22h,abara-da-vovo_efo.jpg,"[{""nome"":""Efó"",""descricao"":""Fritadas de efó e mariscos, servidas com bobó de frutos do mar."",""foto"":""abara-da-vovo_efo.jpg""}]",https://comidadibuteco.com.br/buteco/10256-revision-v1/
2,bar-dgente,Bar D’Gente,"Rua Thomaz Gonzaga, 144",Pernambués,Salvador,salvador,2026,-12.9755736,-38.454258,(71) 98502-9229,Quarta-feira: 14h – 21h | Quinta-feira: 14h – 21h | Sexta-feira: 14h – 21h | Sábado: 14h – 21h | Domingo: 13h – 18h,bar-d-gente_flor-rabada.jpg,"[{""nome"":""Flor & Rabada"",""descricao"":""Rabada cortada em rodelas com couve-flor."",""foto"":""bar-d-gente_flor-rabada.jpg""}]",https://comidadibuteco.com.br/buteco/bar-dgente/
3,3416-revision-v1,Bar das Meninas,"Avenida Iemanjá, 211",Boca do Rio,Salvador,salvador,2026,-12.9810953,-38.431613,7121376156,Quarta-feira: 11h – 21h | Quinta-feira: 11h – 21h | Sexta-feira: 11h – 21h | Sábado: 10h – 21h | Domingo: 11h – 17h,bar-das-meninas_vou-deitar-e-rolar.jpg,"[{""nome"":""Vou deitar e rolar"",""descricao"":""Pernil suíno com barbecue enrolado em folha de couve refogada, acompanhado de tulipa de frango e creme de brócolis com queijo."",""foto"":""bar-das-meninas_vou-deitar-e-rolar.jpg""}]",https://comidadibuteco.com.br/buteco/3416-revision-v1/
4,bar-do-bonito,Bar do Bonito,"R. Palame, 9",Itapuã,Salvador,salvador,2026,-12.9502464,-38.3685096,71992824925,Segunda-feira: 12h – 22h | Quarta-feira: 12h – 22h | Quinta-feira: 12h – 22h | Sexta-feira: 12h – 22h | Sábado: 12h – 22h | Domingo: 10h – 16h,bar-do-bonito_bolitos.jpg,"[{""nome"":""Bolitos"",""descricao"":""Bolinhos de chuva salgados, recheados com alho-poró, toscana, acompanha molho."",""foto"":""bar-do-bonito_bolitos.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-bonito/
5,bar-do-chico,Bar do Chico,"Rua Artur de Azevedo Machado, 65",STIEP,Salvador,salvador,2026,-12.9852945,-38.4485402,7135069163,Terça-feira: 12h – 22h | Quarta-feira: 12h – 22h | Quinta-feira: 12h – 22h | Sexta-feira: 12h – 23h | Sábado: 12h – 22h | Domingo: 12h – 17h,bar-do-chico_jangada-do-chico.jpg,"[{""nome"":""Jangada do Chico"",""descricao"":""Camarões, polvo e minilula refogados com azeite de oliva e leite de coco, com os repolhos frescos, acompanhados de torradas."",""foto"":""bar-do-chico_jangada-do-chico.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-chico/
6,xique-xique,Bar Xique Xique,"R. Rockefeller, 39",Barris,Salvador,salvador,2026,,,(71) 99179-0541 | (71) 3343-6098,Terça-feira: 14h – 22h | Quarta-feira: 14h – 22h | Quinta-feira: 14h – 22h | Sexta-feira: 14h – 22h | Sábado: 13h – 22h | Domingo: 13h – 21h,bar-xique-xique_q-bao-do-tabareu.jpg,"[{""nome"":""Q, bão do tabaréu"",""descricao"":""Bolinho em formato de quibe, feito com massa de couve-flor, recheado com charque e banana-da-terra. Servido com geleia de maçã e pimenta-biquinho."",""foto"":""bar-xique-xique_q-bao-do-tabareu.jpg""}]",https://comidadibuteco.com.br/buteco/xique-xique/
7,biritodromo-bar-de-praia,Biritódromo Bar de Praia,"R. Souza Uzel, 4",Federação,Salvador,salvador,2026,-12.9954193,-38.5100109,71993862601,Quarta-feira: 17h – 21h | Quinta-feira: 11h30 – 21h | Sexta-feira: 11h30 – 21h | Sábado: 11h30 – 21h | Domingo: 11h30 – 18h,biritodromo-bar-de-praia_delicias-do-mar.jpg,"[{""nome"":""Delícias do Mar"",""descricao"":""Refogado de polvo, camarão e salsão. Acompanhado de um purê de batata, farofa crocante e um vinagrete tropical de ora-pro-nóbis."",""foto"":""biritodromo-bar-de-praia_delicias-do-mar.jpg""}]",https://comidadibuteco.com.br/buteco/biritodromo-bar-de-praia/
8,bistro-negreiros,Bistrô Negreiros,"Rua do Alvo, 10",Saúde,Salvador,salvador,2026,-12.9710914,-38.5063407,71987941257,Quinta-feira: 11h – 21h30 | Sexta-feira: 11h – 21h30 | Sábado: 11h – 21h30 | Domingo: 11h – 15h,bistro-negreiros_tempura-baiana.jpg,"[{""nome"":""Tempurá Baiana"",""descricao"":""Tempurá de legumes, camarão e brócolis crocantes com molho de pimenta rubra gelado à moda baiana."",""foto"":""bistro-negreiros_tempura-baiana.jpg""}]",https://comidadibuteco.com.br/buteco/bistro-negreiros/
9,bistro9,Bistrô9,"Av. José Joaquim Seabra, 151",Baixa dos Sapateiros,Salvador,salvador,2026,-12.9752266,-38.5077728,71988067490,Terça-feira: 10h – 16h | Quarta-feira: 10h – 16h | Quinta-feira: 10h – 16h | Sexta-feira: 10h – 16h | Sábado: 10h – 16h | Domingo: 10h – 15h,bistro9_bocado-de-rabada.jpg,"[{""nome"":""Bocado de rabada"",""descricao"":""Rabada com agrião acompanhada de chips de batata-doce e torradas."",""foto"":""bistro9_bocado-de-rabada.jpg""}]",https://comidadibuteco.com.br/buteco/bistro9/
10,botecar-bar-e-petiscaria,Botecar Bar e Petiscaria,"Rua Andaraí, 723",Resgate,Salvador,salvador,2026,-12.9618242,-38.4616299,71992864302,Quarta-feira: 17h – 22h | Quinta-feira: 17h – 22h | Sexta-feira: 17h – 23h | Sábado: 16h – 23h | Domingo: 16h – 22h,botecar-bar-e-petiscaria_ate-banguelo-comi.jpg,"[{""nome"":""Até banguelo comi"",""descricao"":""Tulipas chili goiabada com alho-poró à milanesa."",""foto"":""botecar-bar-e-petiscaria_ate-banguelo-comi.jpg""}]",https://comidadibuteco.com.br/buteco/botecar-bar-e-petiscaria/
