id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,3371-revision-v1,7 Copas,"Rua Pedro Amaral, 1141",São José do Rio Preto - SP,São José do Rio Preto,sao-jose-do-rio-preto,2026,-20.8077906,-49.3789854,17991175725,Seg 18h00 – 22h30 // Ter 18h00 – 22h30 // Quarta 18h00 – 22h30 // Quin 18h00 – 22h30 // Sex – 18h00 – 22h30,7-copas_pasteis-do-jack.jpg,"[{""nome"":""Pastéis do Jack"",""descricao"":""Minipastéis de costela com queijo, tomate seco e rúcula, acompanhados de geleia de pimenta e vinagrete."",""foto"":""7-copas_pasteis-do-jack.jpg""}]",https://comidadibuteco.com.br/buteco/3371-revision-v1/
2,all-stars-sports-bar,All Stars Sports Bar,"R. Antônio de Godoy, 4151",São José do Rio Preto - SP,São José do Rio Preto,sao-jose-do-rio-preto,2026,-20.8263326,-49.3927821,17996139933,Terça-feira: 18h30 – 23h | Quarta-feira: 18h30 – 23h | Quinta-feira: 18h30 – 23h | Sexta-feira: 18h30 – 23h | Sábado: 18h30 – 23h,all-stars-sports-bar_buffalo-not-wings.jpg,"[{""nome"":""Buffalo Not-Wings"",""descricao"":""Uma versão alternativa das tradicionais wings da casa, substituindo o frango por couve-flor empanada e frita, mantendo a proposta original do preparo em um formato vegetariano.”"",""foto"":""all-stars-sports-bar_buffalo-not-wings.jpg""}]",https://comidadibuteco.com.br/buteco/all-stars-sports-bar/
3,baopadana,Bãopadaná,"R. Fiorindo Golghetto, 540",Bairro Pôr do Sol,São José do Rio Preto,sao-jose-do-rio-preto,2026,,,17992770041,Quinta-feira: 17h30 – 0h | Sexta-feira: 17h30 – 0h | Sábado: 17h30 – 0h,baopadana_pastelzinho-de-rucula.jpg,"[{""nome"":""Pastelzinho de Rúcula"",""descricao"":""Pastel recheado de rúcula, bacon e linguiça caipira. Acompanha vinagrete e molho de mostarda."",""foto"":""baopadana_pastelzinho-de-rucula.jpg""}]",https://comidadibuteco.com.br/buteco/baopadana/
4,bar-da-vilma-2,Bar da Vilma,"Av. México, 525",Jardim América,São José do Rio Preto,sao-jose-do-rio-preto,2026,-20.7995839,-49.3656539,17991456657,Terça-feira: 10h – 22h | Quarta-feira: 10h – 23h | Quinta-feira: 10h – 23h | Sexta-feira: 10h – 0h | Sábado: 10h – 22h,bar-da-vilma_temp-pork.jpg,"[{""nome"":""Temp Pork"",""descricao"":""Carne de porco na lata acompanhada de tempurá de verduras e legumes."",""foto"":""bar-da-vilma_temp-pork.jpg""}]",https://comidadibuteco.com.br/buteco/bar-da-vilma-2/
5,bar-do-cidinho,Bar do Cidinho,"R. Capitão José de Castro, 378",Vila Anchieta,São José do Rio Preto,sao-jose-do-rio-preto,2026,-20.7955335,-49.3728755,1732349427,Domingo: 15h – 22h | Segunda-feira: 11h – 23h | Terça-feira: 11h – 23h | Quarta-feira: 11h – 23h | Quinta-feira: 11h – 23h | Sexta-feira: 11h – 23h | Sábado: 11h – 23h,bar-do-cidinho_escarolina.jpg,"[{""nome"":""Escarolina"",""descricao"":""Bolinho de batata-doce, recheado com costela e escarola e queijo gratinado em cima. Acompanha molho de pimenta agridoce."",""foto"":""bar-do-cidinho_escarolina.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-cidinho/
6,bar-do-pirata-antigo-bar-do-paulo,Bar do Pirata (Antigo Bar do Paulo),"Rua Coronel Spínola de Castro, 4228",Redentora,São José do Rio Preto,sao-jose-do-rio-preto,2026,-20.8160825,-49.3885121,17991720100,Segunda-feira: 16h – 23h | Terça-feira: 16h – 23h | Quarta-feira: 16h – 23h | Quinta-feira: 16h – 23h | Sexta-feira: 16h – 23h | Sábado: 16h – 22h,bar-do-pirata-antigo-bar-do-paulo_lombo-do-paulo.jpg,"[{""nome"":""Lombo do Paulo"",""descricao"":""Lombo suíno assado na brasa, servido com salada de acelga e acompanhamentos."",""foto"":""bar-do-pirata-antigo-bar-do-paulo_lombo-do-paulo.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-pirata-antigo-bar-do-paulo/
7,3205-autosave-v1,Bar do Rubinho,"Av. Fernando Costa, 2590",Centro,São José do Rio Preto,sao-jose-do-rio-preto,2026,-20.8149747,-49.5137129,1732535858,Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 17h – 23h,bar-do-rubinho_cupim-do-rubinho.jpg,"[{""nome"":""Cupim do Rubinho"",""descricao"":""Cupim preparado por 14 horas no bafo, servido com salada, mandioca cozida e finalizado com queijo gratinado."",""foto"":""bar-do-rubinho_cupim-do-rubinho.jpg""}]",https://comidadibuteco.com.br/buteco/3205-autosave-v1/
8,bar-e-mercearia-js,Bar e Mercearia JS,"R. Elizabeth, 392",São José do Rio Preto - SP,São José do Rio Preto,sao-jose-do-rio-preto,2026,-20.8176658,-49.3529928,17991592054,Quinta-feira: 17h – 22h | Sexta-feira: 17h – 22h | Sábado: 17h – 22h,bar-e-mercearia-js_croquetes-js.jpg,"[{""nome"":""Croquetes JS"",""descricao"":""Croquete de couve-flor recheado com queijo muçarela."",""foto"":""bar-e-mercearia-js_croquetes-js.jpg""}]",https://comidadibuteco.com.br/buteco/bar-e-mercearia-js/
9,bom-bar-bar-do-marquinho,Bom Bar – Bar do Marquinho,"R. Coronel Spínola Castro, 4350",Centro,São José do Rio Preto,sao-jose-do-rio-preto,2026,-20.8077933,-49.379665,17981010664,Segunda-feira: 18h – 23h | Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 18h – 23h | Domingo: 18h – 23h,bom-bar-bar-do-marquinho_boquinha-de-anjo.jpg,"[{""nome"":""Boquinha de anjo"",""descricao"":""Sanduíche no pão de baguete, com rúcula, molho vinagrete e pernil desfiado acebolado."",""foto"":""bom-bar-bar-do-marquinho_boquinha-de-anjo.jpg""}]",https://comidadibuteco.com.br/buteco/bom-bar-bar-do-marquinho/
10,boteco-do-marcinho,Boteco do Marcinho,"Av. Vinte e Cinco de Janeiro, 404",Vila Anchieta,São José do Rio Preto,sao-jose-do-rio-preto,2026,-20.7705895,-49.3718167,17992378489,Segunda-feira: 11h – 23h | Terça-feira: 11h – 23h | Quarta-feira: 11h – 23h | Quinta-feira: 11h – 23h | Sexta-feira: 11h – 23h | Sábado: 11h – 23h,boteco-do-marcinho_vai-en-tender.jpg,"[{""nome"":""Vai En“Tender”"",""descricao"":""Croquete de tender desfiado, couve-flor, queijo provolone e muçarela. Acompanha creme de couve-flor e crispy de mostarda."",""foto"":""boteco-do-marcinho_vai-en-tender.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-do-marcinho/
11,brasaria-emporio-e-grill,Brasaria Empório e Grill,"R. Abrão Thomé, 602",Jardim Walkíria,São José do Rio Preto,sao-jose-do-rio-preto,2026,-20.8378318,-49.386036,17992563197,Terça-feira: 17h – 23h30 | Quarta-feira: 17h – 23h30 | Quinta-feira: 17h – 23h30 | Sexta-feira: 17h – 23h30 | Sábado: 17h – 23h30 | Domingo: 17h – 23h30,brasaria-emporio-e-grill_trouxinha-de-legumes.jpg,"[{""nome"":""Trouxinha de Legumes"",""descricao"":""Trouxinha crocante na massa de couve com legumes cozidos al dente."",""foto"":""brasaria-emporio-e-grill_trouxinha-de-legumes.jpg""}]",https://comidadibuteco.com.br/buteco/brasaria-emporio-e-grill/
12,buteco-du-gaucho,Buteco Du Gaúcho,"R. Coronel Spínola Castro, 4496",Centro,São José do Rio Preto,sao-jose-do-rio-preto,2026,-20.8077933,-49.379665,17991953390,Segunda-feira: 17h – 0h | Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h | Domingo: 17h – 0h,buteco-du-gaucho_carmen-miranda.jpg,"[{""nome"":""Carmen Miranda"",""descricao"":""Coxinhas preparadas com massa de batata e recheio de brócolis, cenoura, bacon crocante, queijos e temperos frescos."",""foto"":""buteco-du-gaucho_carmen-miranda.jpg""}]",https://comidadibuteco.com.br/buteco/buteco-du-gaucho/
