id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,a-juriti,A Juriti,"R. Amarante, 31",Cambuci,São Paulo,sao-paulo,2026,-23.5732337,-46.6226126,(11) 3207-3908,Terça-feira: 13h – 22h | Quarta-feira: 13h – 22h30 | Quinta-feira: 13h – 23h30 | Sexta-feira: 13h – 23h30 | Sábado: 11h – 22h30 | Domingo: 11h – 18h,a-juriti_o-classico-juriti-flamejante.jpg,"[{""nome"":""O clássico: Juriti flamejante"",""descricao"":""Linguiça assada fatiada, acompanhada de picles de brócolis, couve-flor, cenoura e pepino em conserva (vinagre, água e sal) e vinagrete de cebola e tomate temperado com azeite, vinagre, sal e salsinha."",""foto"":""a-juriti_o-classico-juriti-flamejante.jpg""}]",https://comidadibuteco.com.br/buteco/a-juriti/
2,a-ribeira,A Ribeira,"Al. Ribeiro da Silva, 909",Campos Elíseos,São Paulo,sao-paulo,2026,-22.9466673,-47.1207725,11978059991,Segunda-feira: 11h30 – 14h30 | Terça-feira: 11h30 – 14h30 | Quarta-feira: 11h30 – 14h30 | Quinta-feira: 11h30 – 14h30 | Sexta-feira: 11h30 – 14h30 a 18h – 23h30 | Sábado: 16h – 0h30,a-ribeira_tartar-a-moda-ribeira.jpg,"[{""nome"":""Tartar à moda Ribeira"",""descricao"":""Tartar de legumes ao molho de espinafre com chips de abóbora."",""foto"":""a-ribeira_tartar-a-moda-ribeira.jpg""}]",https://comidadibuteco.com.br/buteco/a-ribeira/
3,acaraje-e-delicias-da-bahia,Acarajé e Delícias da Bahia,"R. Arcipreste Ezequias, 116",Vila São José,São Paulo,sao-paulo,2026,-23.5871967,-46.6159824,1121551987,Terça-feira: 12h – 16h e 18h – 22h45 | Quarta-feira: 12h – 16h e 18h – 22h45 | Quinta-feira: 12h – 16h e 18h – 22h45 | Sexta-feira: 12h – 16h e 18h – 22h45 | Sábado: 12h – 22h45 | Domingo: 12h – 17h45,acaraje-e-delicias-da-bahia_pega-trouxa.jpg,"[{""nome"":""Pega Trouxa"",""descricao"":""Trouxinhas de arroz basmati, carne moída e cogumelos, enrolados na folha de taioba, raspas de limão-siciliano, acompanhadas de Pão Delícia."",""foto"":""acaraje-e-delicias-da-bahia_pega-trouxa.jpg""}]",https://comidadibuteco.com.br/buteco/acaraje-e-delicias-da-bahia/
4,almirante-bar-e-restaurante,Almirante Bar e Restaurante,"R. Agostinho Gomes, 2785",Ipiranga,São Paulo,sao-paulo,2026,-23.5950864,-46.6032944,11984628573,Segunda-feira: 15h – 0h | Terça-feira: 15h – 0h | Quarta-feira: 15h – 0h | Quinta-feira: 15h – 0h | Sexta-feira: 15h – 0h | Sábado: 12h – 0h,almirante-bar-e-restaurante_queijo-no-mato.jpg,"[{""nome"":""Queijo no mato"",""descricao"":""Bolinho feito com escarola, batata-inglesa, bacon e muçarela. Acompanhado de maionese temperada da casa."",""foto"":""almirante-bar-e-restaurante_queijo-no-mato.jpg""}]",https://comidadibuteco.com.br/buteco/almirante-bar-e-restaurante/
5,alquimia-restaurante,Alquimia Restaurante,"R. Bom Pastor, 1861",Ipiranga,São Paulo,sao-paulo,2026,-23.5929317,-46.6068075,11986434387,Segunda-feira: 12h – 22h | Terça-feira: 12h – 22h | Quarta-feira: 12h – 22h | Quinta-feira: 12h – 22h | Sexta-feira: 12h – 22h | Sábado: 12h – 22h,alquimia-restaurante_explosao-de-sabores.jpg,"[{""nome"":""Explosão de sabores"",""descricao"":""Bolinho elaborado com massa de abóbora cabotiá e alho-poró, recheio de rabada desfiada, servido com vinagrete de talos de agrião e geleia de pimenta."",""foto"":""alquimia-restaurante_explosao-de-sabores.jpg""}]",https://comidadibuteco.com.br/buteco/alquimia-restaurante/
6,altino-deck-bar,Altino Deck Bar,"R. Doutor José Augusto de Oliveira, 1",Presidente Altino,São Paulo,sao-paulo,2026,-23.5247943,-46.7725736,11966480198,Segunda-feira: 11h – 23h | Terça-feira: 11h – 23h | Quarta-feira: 11h – 23h | Quinta-feira: 11h – 23h | Sexta-feira: 11h – 23h | Sábado: 11h – 23h,altino-deck-bar_derrete-que-e-verde.jpg,"[{""nome"":""Derrete que é verde"",""descricao"":""Fondue de espinafre, acompanhado de polenta, cubinhos de carne, frango empanado, pão e goiabada."",""foto"":""altino-deck-bar_derrete-que-e-verde.jpg""}]",https://comidadibuteco.com.br/buteco/altino-deck-bar/
7,armazem-mandacaru,Armazém Mandacaru,"R. Dona Antônia de Queiroz, 5",Consolação,São Paulo,sao-paulo,2026,-23.5530904,-46.6521575,11992184019,Segunda-feira: 6h30 – 19h30 | Terça-feira: 6h30 – 19h30 | Quarta-feira: 6h30 – 19h30 | Quinta-feira: 6h30 – 19h30 | Sexta-feira: 6h30 – 19h30 | Sábado: 6h30 – 19h30 | Domingo: 9h – 17h,armazem-mandacaru_cumbuca-da-hora.jpg,"[{""nome"":""Cumbuca da Hora"",""descricao"":""Moela marinada com kimchi de acelga."",""foto"":""armazem-mandacaru_cumbuca-da-hora.jpg""}]",https://comidadibuteco.com.br/buteco/armazem-mandacaru/
8,balcao-304,Balcão 304,"R. Pitangueiras, 304",Mirandópolis,São Paulo,sao-paulo,2026,-23.6100427,-46.6387463,1143270017,Segunda-feira: 12h – 16h | Terça-feira: 12h – 16h | Quarta-feira: 12h – 22h | Quinta-feira: 12h – 22h | Sexta-feira: 12h – 22h | Sábado: 12h – 22h | Domingo: 12h – 17h,balcao-304_mariscos-de-floripa-com-alho-poro-ao-vinagrete-e-azeite-de-rucula.jpg,"[{""nome"":""Mariscos de Floripa com alho-poró ao vinagrete e azeite de rúcula"",""descricao"":""Seis unidades de mexilhão ao bafo com vinagrete de alho-poró e azeite de rúcula."",""foto"":""balcao-304_mariscos-de-floripa-com-alho-poro-ao-vinagrete-e-azeite-de-rucula.jpg""}]",https://comidadibuteco.com.br/buteco/balcao-304/
9,bambuteco,Bambuteco,"Av. Corifeu de Azevedo Marques, 1560",Butantã,São Paulo,sao-paulo,2026,-23.5748121,-46.7288435,11968439697,Segunda-feira: 12h – 22h | Terça-feira: 12h – 22h | Quarta-feira: 12h – 22h | Quinta-feira: 12h – 22h | Sexta-feira: 12h – 0h | Sábado: 12h – 0h | Domingo: 12h – 22h,bambuteco_bambuquiche.jpg,"[{""nome"":""Bambuquiche"",""descricao"":""Três miniquiches com uma salada servida com molho de alho e pimenta da casa."",""foto"":""bambuteco_bambuquiche.jpg""}]",https://comidadibuteco.com.br/buteco/bambuteco/
10,bar-espetaria-pai-berto,Bar & Espetaria Pai Berto,"R. Emília Marengo, 1374",Vila Regente Feijó,São Paulo,sao-paulo,2026,-23.5534958,-46.5615412,11914956053,Terça-feira: 17h – 23h30 | Quarta-feira: 17h – 23h30 | Quinta-feira: 17h – 23h30 | Sexta-feira: 17h – 23h30 | Sábado: 17h – 23h30 | Domingo: 17h – 23h30,bar-espetaria-pai-berto_rissoles-do-pai-berto.jpg,"[{""nome"":""Rissoles do Pai Berto"",""descricao"":""Seis unidades de rissoles com massa de espinafre, recheados com muçarela, bacon e um leve toque de orégano."",""foto"":""bar-espetaria-pai-berto_rissoles-do-pai-berto.jpg""}]",https://comidadibuteco.com.br/buteco/bar-espetaria-pai-berto/
