id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,armazem-simao-gastropub,Armazém Simão Gastropub,"Rua Joaquim Modesto, 357",Centro,Triângulo Mineiro,triangulo-mineiro,2026,,,34997971620,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 18h – 23h,armazem-simao-gastropub_tapa-do-simao.jpg,"[{""nome"":""Tapa do Simão"",""descricao"":""Fatias de ciabatta com creme de couve-flor assado na brasa, cobertas de fraldinha desfiada angus assada na parrilla e finalizadas com melaço de pimenta."",""foto"":""armazem-simao-gastropub_tapa-do-simao.jpg""}]",https://comidadibuteco.com.br/buteco/armazem-simao-gastropub/
2,banca-do-peixe-do-jau,Banca do Peixe do Jaú,"Avenida Miguel Assad Debs, 1560",Araguari - MG,Triângulo Mineiro,triangulo-mineiro,2026,,,3432460189,Segunda-feira: 18h – 22h | Terça-feira: 18h – 22h | Quarta-feira: 18h – 22h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 18h – 23h | Domingo: 18h – 22h,banca-do-peixe-do-jau_medalhao-de-tilapia-recheado.jpg,"[{""nome"":""Medalhão de Tilápia Recheado"",""descricao"":""Filé de tilápia envolto com bacon e recheado com provolone, empanado e frito, servido com molho de alho-poró."",""foto"":""banca-do-peixe-do-jau_medalhao-de-tilapia-recheado.jpg""}]",https://comidadibuteco.com.br/buteco/banca-do-peixe-do-jau/
3,bar-do-1berto,Bar do 1berto,"Rua do Dólar, 410",Uberlândia - MG,Triângulo Mineiro,triangulo-mineiro,2026,,,34998821593,"Terça a Sexta: 17h às 23h
Sábado: 12h às 19h",bar-do-1berto_maia-do-1berto.jpg,"[{""nome"":""Maia do 1berto"",""descricao"":""Maias acompanhadas com molho de alho poró"",""foto"":""bar-do-1berto_maia-do-1berto.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-1berto/
4,3195-revision-v1,Bar do Betão,"Av. João Pinheiro, 263",Centro,Triângulo Mineiro,triangulo-mineiro,2026,,,3432369130,Segunda-feira: 11h – 0h | Terça-feira: 11h – 0h | Quarta-feira: 11h – 0h | Quinta-feira: 11h – 0h | Sexta-feira: 11h – 0h | Sábado: 11h – 0h,bar-do-betao_trem-bao-uai.jpg,"[{""nome"":""Trem Bão, Uai!"",""descricao"":""Canudo de massa de pastel, recheado com mix de verduras, tomate seco, queijo minas meia cura e cream cheese. Acompanha: flores comestíveis e molhos da casa."",""foto"":""bar-do-betao_trem-bao-uai.jpg""}]",https://comidadibuteco.com.br/buteco/3195-revision-v1/
5,3197-revision-v1,Bar do Carlinho,"Rua Costa Pereira, 159",Bom Jesus,Triângulo Mineiro,triangulo-mineiro,2026,,,34999005868,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 18h – 23h | Sábado: 18h – 23h,bar-do-carlinho_bolinho-de-chucrute.jpg,"[{""nome"":""Bolinho de Chucrute"",""descricao"":""Bolinho de mandioca com repolho, frango, queijo e arroz. Acompanhado de molho de maçã, cebola e canela."",""foto"":""bar-do-carlinho_bolinho-de-chucrute.jpg""}]",https://comidadibuteco.com.br/buteco/3197-revision-v1/
6,3199-revision-v1,Bar do Dudu,"Rua Rafael Rinaldi, 1595",Uberlândia - MG,Triângulo Mineiro,triangulo-mineiro,2026,,,34992640501,Segunda-feira: 17h – 0h | Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h,bar-do-dudu_botequiche.jpg,"[{""nome"":""Botequiche"",""descricao"":""Quiche de alho-poró com muçarela. Servido com molho arretado."",""foto"":""bar-do-dudu_botequiche.jpg""}]",https://comidadibuteco.com.br/buteco/3199-revision-v1/
7,bar-do-ricardinho,Bar do Ricardinho,"Rua Tomé de Souza, 1338",Uberlândia - MG,Triângulo Mineiro,triangulo-mineiro,2026,,,34999126879,Terça-feira: 16h – 0h | Quarta-feira: 16h – 0h | Quinta-feira: 16h – 0h | Sexta-feira: 16h – 0h | Sábado: 10h – 18h30 | Domingo: 10h – 17h,bar-do-ricardinho_charutinho-do-sertao.jpg,"[{""nome"":""Charutinho do Sertão"",""descricao"":""Charutos de folha de couve, recheados com pernil desfiado, purê de batatas, bacon e abacaxi."",""foto"":""bar-do-ricardinho_charutinho-do-sertao.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-ricardinho/
8,bar-do-ze-gordo,Bar do Zé Gordo,"Av. Engenheiro Diniz, 1924",Martins,Triângulo Mineiro,triangulo-mineiro,2026,,,34996977028,Segunda-feira: 17h – 23h30 | Terça-feira: 17h – 23h30 | Quarta-feira: 17h – 23h30 | Quinta-feira: 17h – 23h30 | Sexta-feira: 17h – 23h30 | Sábado: 11h30 – 16h30,bar-do-ze-gordo_tilapia-tropical-do-ze-gordo.jpg,"[{""nome"":""Tilápia Tropical do Zé Gordo"",""descricao"":""Salada de repolho, alface, cenoura, tomate, maçã cortada em cubos, azeitona sem caroço, palmito. Acompanha iscas de tilápia empanada. Molho tártaro à parte."",""foto"":""bar-do-ze-gordo_tilapia-tropical-do-ze-gordo.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-ze-gordo/
9,bar-do-morenos,Bar dos Morenos,"Rua Salvador, 555",Nossa Sra. Aparecida,Triângulo Mineiro,triangulo-mineiro,2026,,,34991144022,Segunda-feira: 16h20 – 22h | Terça-feira: 16h20 – 22h | Quarta-feira: 16h20 – 22h | Quinta-feira: 16h20 – 22h | Sexta-feira: 16h20 – 22h | Sábado: 10h – 22h,bar-dos-morenos_longanizas-de-chillan.jpg,"[{""nome"":""Longanizas de Chillán"",""descricao"":""Linguiça suína recheada com jiló, couve e pimenta-de-cheiro. Acompanhada por mandioca cozida, tomate e cebola."",""foto"":""bar-dos-morenos_longanizas-de-chillan.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-morenos/
10,bar-sorvetao,Bar Sorvetão,"R. Uruguaiana, 208",Centro,Triângulo Mineiro,triangulo-mineiro,2026,,,34999263587,Segunda-feira: 17h – 0h | Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h,bar-sorvetao_porocroc.jpg,"[{""nome"":""PORÓCROC"",""descricao"":""Croquete de pernil desfiado, com muçarela e mandioca, recheado com molho de alho-poró, agrião e requeijão."",""foto"":""bar-sorvetao_porocroc.jpg""}]",https://comidadibuteco.com.br/buteco/bar-sorvetao/
