slug,nome,endereco,bairro,url
armazem-simao-gastropub,Armazém Simão Gastropub,"Rua Joaquim Modesto, 357",Centro,https://comidadibuteco.com.br/buteco/armazem-simao-gastropub/
banca-do-peixe-do-jau,Banca do Peixe do Jaú,"Avenida Miguel Assad Debs, 1560",Araguari - MG,https://comidadibuteco.com.br/buteco/banca-do-peixe-do-jau/
bar-do-1berto,Bar do 1berto,"Rua do Dólar, 410",Uberlândia - MG,https://comidadibuteco.com.br/buteco/bar-do-1berto/
3195-revision-v1,Bar do Betão,"Av. João Pinheiro, 263",Centro,https://comidadibuteco.com.br/buteco/3195-revision-v1/
3197-revision-v1,Bar do Carlinho,"Rua Costa Pereira, 159",Bom Jesus,https://comidadibuteco.com.br/buteco/3197-revision-v1/
3199-revision-v1,Bar do Dudu,"Rua Rafael Rinaldi, 1595",Uberlândia - MG,https://comidadibuteco.com.br/buteco/3199-revision-v1/
bar-do-ricardinho,Bar do Ricardinho,"Rua Tomé de Souza, 1338",Uberlândia - MG,https://comidadibuteco.com.br/buteco/bar-do-ricardinho/
bar-do-ze-gordo,Bar do Zé Gordo,"Av. Engenheiro Diniz, 1924",Martins,https://comidadibuteco.com.br/buteco/bar-do-ze-gordo/
bar-do-morenos,Bar dos Morenos,"Rua Salvador, 555",Nossa Sra. Aparecida,https://comidadibuteco.com.br/buteco/bar-do-morenos/
bar-sorvetao,Bar Sorvetão,"R. Uruguaiana, 208",Centro,https://comidadibuteco.com.br/buteco/bar-sorvetao/
bar-xega-ki,Bar Xega Ki,"Avenida Amazonas, 920",Brasil,https://comidadibuteco.com.br/buteco/bar-xega-ki/
baroa-bar,Baroa Bar,"Alameda Uberaba, 200",Santa Mônica,https://comidadibuteco.com.br/buteco/baroa-bar/
boteco-angara,Boteco Angara,"Av. Segismundo Pereira, 783",Santa Mônica,https://comidadibuteco.com.br/buteco/boteco-angara/
dedo-de-prosa-bar,Dedo de Prosa Bar,"Avenida Seme Simão, 1894",Uberlândia - MG,https://comidadibuteco.com.br/buteco/dedo-de-prosa-bar/
don-steak,Don Steak,"Av. Doutor Vicente Salles Guimarães, 525",Alto Umuarama,https://comidadibuteco.com.br/buteco/don-steak/
dona-antonia-raiz,Dona Antônia Raiz,"Av. Segismundo Pereira, 2343",Uberlândia - MG,https://comidadibuteco.com.br/buteco/dona-antonia-raiz/
duque-bar,Duque Bar,"R. Duque de Caxias, 1836 – Casa",Vila Saraiva,https://comidadibuteco.com.br/buteco/duque-bar/
espetaria-copacabana,Espetaria Copacabana,"R. Vinte e Nove de Outubro, 430",Uberlândia - MG,https://comidadibuteco.com.br/buteco/espetaria-copacabana/
esquina-do-espeto,Esquina do Espeto,"Av. Batalhão Mauá, 1958",Araguari - MG,https://comidadibuteco.com.br/buteco/esquina-do-espeto/
gamela-bar-e-restaurante,Gamela Bar e Restaurante,"Av. João Pinheiro, 1284",Aparecida,https://comidadibuteco.com.br/buteco/gamela-bar-e-restaurante/
grandis-spetus,Grandis Spetus,"Praça Hélvio Cardoso, 513",Uberlândia - MG,https://comidadibuteco.com.br/buteco/grandis-spetus/
petiscaria-cantinho-nobre,Petiscaria Cantinho Nobre,"Avenida dos Eucaliptos, 849",Jd. Patrícia,https://comidadibuteco.com.br/buteco/petiscaria-cantinho-nobre/
point-do-mercado,Point do Mercado,"R. Olegário Maciel, 255",Centro,https://comidadibuteco.com.br/buteco/point-do-mercado/
villa-di-suti,Villa di Suti,"Rua Tertuliano Goulart, 286",Araguari - MG,https://comidadibuteco.com.br/buteco/villa-di-suti/
