id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,bar-do-luciano,Bar do Luciano,"Av. Governador José de Magalhães Pinto, 1287",Coronel Fabriciano - MG,Vale do Aço,vale-do-aco,2026,-19.4992828,-42.6326163,3138411969,Segunda-feira: 16h30 – 0h | Terça-feira: 16h30 – 0h | Quarta-feira: 16h30 – 0h | Quinta-feira: 16h30 – 0h | Sexta-feira: 16h30 – 0h | Sábado: 09h – 0h30 | Domingo: 8h30 – 17h,bar-do-luciano_frango-na-horta.jpg,"[{""nome"":""Frango na Horta"",""descricao"":""1/2 frango assado acompanhado de uma farofa de couve com bacon e farinha de milho."",""foto"":""bar-do-luciano_frango-na-horta.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-luciano/
2,bar-do-macario,Bar do Macário,"R. Teresópolis, 225",Veneza,Vale do Aço,vale-do-aco,2026,-19.471635,-42.531467,31971439985,Terça-feira: 18h – 23h45 | Quarta-feira: 18h – 23h45 | Quinta-feira: 18h – 23h45 | Sexta-feira: 18h – 23h45 | Sábado: 18h – 23h45 | Domingo: 18h – 23h45,bar-do-macario_bolota-topzera.jpg,"[{""nome"":""Bolota Topzera"",""descricao"":""Bolinhas de carnes acolchoadas no purê de batata."",""foto"":""bar-do-macario_bolota-topzera.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-macario/
3,bar-galpao-2,Bar Galpão,"Av. José Fabrício Gomes, 213",Bethânia,Vale do Aço,vale-do-aco,2026,-19.4360136,-42.5509763,(31) 98888-4206 | (31) 99632-7980,Segunda-feira: 19h – 22h30 | Terça-feira: 19h – 22h30 | Quarta-feira: 19h – 22h30 | Sexta-feira: 19h – 22h30 | Sábado: 19h – 22h30 | Domingo: 19h – 22h30,bar-galpao_asas-indomaveis.jpg,"[{""nome"":""Asas Indomáveis"",""descricao"":""Meio da asa temperado com vinho de pêssego e servido com molho da casa e agrião, coberto com creme de mandioca, catupiry, queijo e cebola crispy agridoce. Acompanha coxinha de mexidão com recheio de pernil e creme."",""foto"":""bar-galpao_asas-indomaveis.jpg""}]",https://comidadibuteco.com.br/buteco/bar-galpao-2/
4,butiquim,Butiquim,"Rua Adriel Abílio Gonçalves, 126",Veneza,Vale do Aço,vale-do-aco,2026,-19.4640944,-42.5308153,31985577083,Segunda-feira: 19h – 23h30 | Terça-feira: 19h – 23h30 | Quarta-feira: 19h – 23h30 | Quinta-feira: 19h – 23h30 | Sexta-feira: 19h – 23h30 | Sábado: 19h – 23h30,butiquim_delicias-da-roca.jpg,"[{""nome"":""Delícias da Roça"",""descricao"":""Fraldinha ao queijo com alho-poró e couve-flor empanada, recheada com presunto e queijo. Pastéis recheados com polenta, couve, carne moída e queijo, acompanhados de farofa com couve, abacaxi e bacon."",""foto"":""butiquim_delicias-da-roca.jpg""}]",https://comidadibuteco.com.br/buteco/butiquim/
5,caladinho-bar,Caladinho Bar,"Rua dos Bororós, 65",Jardim Panorama,Vale do Aço,vale-do-aco,2026,,,31998782519,Segunda-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 15h – 23h | Domingo: 12h – 23h,caladinho-bar_na-horta-com-o-boi.jpg,"[{""nome"":""Na horta com o boi"",""descricao"":""Carne de boi desfiada (terra) coberta por salada de repolho ao creme (nuvem) com vinagrete de jiló. Servido numa panela, o pão é a “pá” para saborear essa horta de buteco."",""foto"":""caladinho-bar_na-horta-com-o-boi.jpg""}]",https://comidadibuteco.com.br/buteco/caladinho-bar/
6,cultura-e-malte,Cultura e Malte,"Av. Paladium, 295",Bom Retiro,Vale do Aço,vale-do-aco,2026,,,31997014192,Terça-feira: 18h – 23h30 | Quarta-feira: 18h – 23h30 | Quinta-feira: 18h – 23h30 | Sexta-feira: 18h – 23h30 | Sábado: 18h – 23h30,cultura-e-malte_a-porca-foi-pra-horta.jpg,"[{""nome"":""A porca foi pra horta"",""descricao"":""Bolinho empanado de copa lombo com repolho, acompanhado de maionese temperada."",""foto"":""cultura-e-malte_a-porca-foi-pra-horta.jpg""}]",https://comidadibuteco.com.br/buteco/cultura-e-malte/
7,espetinho-grill,Espetinho Grill,"Rua Itajaí, 320",Ipatinga - MG,Vale do Aço,vale-do-aco,2026,-19.4583302,-42.5360218,31986663990,Segunda-feira: 16h – 0h | Terça-feira: 16h – 0h | Quinta-feira: 16h – 0h | Sexta-feira: 16h – 0h | Sábado: 16h – 0h | Domingo: 16h – 0h,espetinho-grill_moela-de-gala.jpg,"[{""nome"":""Moela de Gala"",""descricao"":""Moelas cozidas na cerveja e finalizadas com melaço. Acompanhadas de torradas, purê de couve-flor ao molho com vegetais: cenoura, cebola, tomate e coentro."",""foto"":""espetinho-grill_moela-de-gala.jpg""}]",https://comidadibuteco.com.br/buteco/espetinho-grill/
8,nunes-bar,Nunes Bar,"Av. Londrina, 280",Veneza,Vale do Aço,vale-do-aco,2026,-19.4756641,-42.5213938,31996064377,Terça-feira: 17h30 – 23h | Quarta-feira: 17h30 – 23h | Quinta-feira: 17h30 – 23h | Sexta-feira: 17h30 – 23h | Sábado: 17h30 – 23h,nunes-bar_tem-franguinho-na-panela.jpg,"[{""nome"":""Tem franguinho na panela"",""descricao"":""Frango com quiabo, alho-poró e milho cozido. Acompanha: creme de milho verde defumado, bolinho de brócolis com queijo minas e uma cachaça amarela."",""foto"":""nunes-bar_tem-franguinho-na-panela.jpg""}]",https://comidadibuteco.com.br/buteco/nunes-bar/
9,open-bar,Open Bar,"Rua Pedras Preciosas, 551",Iguaçu,Vale do Aço,vale-do-aco,2026,-19.4720271,-42.5484285,31982792108,Terça-feira: 16h – 0h | Quarta-feira: 16h – 0h | Quinta-feira: 16h – 0h | Sexta-feira: 16h – 0h | Sábado: 10h – 0h | Domingo: 10h – 0h | Segunda-feira: 16h – 0h,open-bar_o-que-luzia-ganhou-atras-da-cerca-da-horta.jpg,"[{""nome"":""O que Luzia ganhou atrás da cerca da horta?"",""descricao"":""Salada composta por queijo, alface, couve crispy e tomate, com molho de mostarda e mel, acompanhada de filé de tilápia."",""foto"":""open-bar_o-que-luzia-ganhou-atras-da-cerca-da-horta.jpg""}]",https://comidadibuteco.com.br/buteco/open-bar/
10,pops-bar,Pop’s Bar,"Rua Mário de Andrade, 346",Cidade Nova,Vale do Aço,vale-do-aco,2026,-19.4679802,-42.5629202,31987163313,Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 18h – 0h | Domingo: 18h – 0h,pop-s-bar_quadradinho-de-sabores.jpg,"[{""nome"":""Quadradinho de sabores"",""descricao"":""Quadradinhos de massa de pastel: três recheados com ricota e espinafre, decorados com tomate-cereja, e três com pernil suíno desfiado, acompanhados de chimichurri."",""foto"":""pop-s-bar_quadradinho-de-sabores.jpg""}]",https://comidadibuteco.com.br/buteco/pops-bar/
